,Facility Identifier,GlobalID,Longitude,Latitude
1,DP01-12022-1,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},-117.71479,33.464085
2,DP01-12022-2,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},-117.716091,33.466503
3,DP04-12015-1,{B9E368D1-0601-4D99-B7EE-076F034D1D23},-117.7474477,33.50464905
4,DP06-12106-1,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},-117.688411,33.46389565
5,I00-11437-1,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},-117.7702547,33.53349571
6,I00-11453-1,{171AC70D-B722-42FD-9ADA-813B331846A7},-117.7805154,33.53709679
7,I00-11468-1,{60A6CD6E-DA16-422B-8EDA-6D2EFD365167},-117.7690133,33.53565787
8,I00-11518-1,{77142EB8-ED5A-457E-A15B-0DA4FE92CCF2},-117.7733308,33.52971644
9,I00-11518-2,{43927D34-5C8D-480F-9527-A565DA0C7C0C},-117.772636,33.528629
10,I01-11010-1,{25FC0B7A-A34B-48D1-86FD-00FA62D21B2B},-117.7834119,33.54416454
11,I01-11015-2,{7466B2A4-CC2D-4862-BC7C-0ABA52F841B0},-117.7815571,33.54790609
12,I01-11015-3,{DB9C2669-FA77-4FA1-A76C-F2D11E0410E4},-117.7815464,33.54793033
13,I01-11023-1,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},-117.7803262,33.54963669
14,I01-11023-2,{038D9EF3-E345-4A2B-A2E8-4C86B0814F1F},-117.7795866,33.55023025
15,I01-11023-3,{B1E7A48B-1DC2-43B1-BE7B-17B6936EF467},-117.7789163,33.55073178
16,I01-11023-4,{4299039A-0613-47FF-B808-7CF8CD065E00},-117.7782698,33.55119472
17,I01-11023-5,{37C6F748-E62C-4DCD-89A7-0CB6EFB76B47},-117.7782669,33.55124303
18,I01-11059-1,{C71E52F8-AC08-4469-BA89-8E02697C744D},-117.7755089,33.55357149
19,I01-11059-2,{8A75D24A-9302-4837-9C8D-5CEE11DCAB92},-117.7754408,33.5535769
20,I01-11059-3,{DB859266-5BF1-4E9B-91AB-9674CD92B469},-117.7753481,33.55369586
21,I01-11065-1,{343D946F-618A-4C8F-BECA-AAD6427C9CAA},-117.7731408,33.55771802
22,I01-11077-1,{ED3BCD26-6F4E-4AE2-9C8B-80EDA743C061},-117.7679944,33.56321823
23,I01-11077-2,{B9DC0E18-53B8-47A3-A9E6-B022A6119F8C},-117.7678685,33.56314232
