Jurisdiction,FacilityID,ObsRecordDate,FlowCondition,PersistentFlow,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,OCFSLocation,MaintenanceIssue,FlowConnectivity,PointY,PointX
Dana Point,DP01-12022-1,7/12/2022,Flowing,Yes,,,2985,,,Below Average Discharge,Not present,Not present,Unable to collect flow measurements,Sparse (<10 Items),In flow path of outfall,,,,Direct Connection,33.464085,-117.71479
Dana Point,DP01-12022-1,9/26/2022,Flowing,Yes,,,2650,0.0078,,Below Average Discharge,Not present,Not present,Flow observed along curb .  Waves crashing on rock near outfall.,Not Present (0 Items),,,,,Direct Connection,33.464085,-117.71479
Dana Point,DP01-12022-2,7/12/2022,Dry,Unknown,,,,,,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.466503,-117.716091
Dana Point,DP01-12022-2,9/26/2022,Dry,Unknown,,,,,,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.466503,-117.716091
Laguna Beach,DP04-12015-1,7/5/2022,Flowing,Unknown,Not A Priority,,3995,,,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.50464905,-117.7474477
Laguna Beach,DP04-12015-1,9/1/2022,Flowing,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Clear,Not enough flow to to floating leaf or volumetric measurement.,Sparse (<10 Items),Within area surrounding outfall,,,Other - See Comments,None - Flow Infiltrates or Outfall is Dry,33.50464905,-117.7474477
Dana Point,DP06-12106-1,7/12/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.46389565,-117.688411
Dana Point,DP06-12106-1,9/26/2022,Flowing,Yes,Not A Priority,,6540,0.09,,Below Average Discharge,Not present,Green tint,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.46389565,-117.688411
Laguna Beach,I00-11437-1,6/21/2022,Pooled or Ponded,Yes,Priority,48,,,,Below Average Discharge,Clear,Not present,,Not Present (0 Items),,Yes,,Graffiti,None - Flow Infiltrates or Outfall is Dry,33.53349571,-117.7702547
Laguna Beach,I00-11437-1,9/7/2022,Pooled or Ponded,Yes,Priority,48,,,,Below Average Discharge,Not present,Not present,Clear water,Sparse (<10 Items),In flow path of outfall,Yes,,Graffiti,Undetermined,33.53349571,-117.7702547
Laguna Beach,I00-11453-1,7/5/2022,Dry,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,Graffiti,None - Flow Infiltrates or Outfall is Dry,33.53709679,-117.7805154
Laguna Beach,I00-11453-1,8/16/2022,Dry,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,Graffiti,None - Flow Infiltrates or Outfall is Dry,33.53709679,-117.7805154
Laguna Beach,I00-11468-1,6/21/2022,Flowing,Yes,Priority,55,9274,0.0192,,Below Average Discharge,Not present,Not present,"Lots of dead leaves and vegetation, starts ponding at end of pipe",Moderate (11-50 Items),Within area surrounding outfall,Yes,,Overgrown,Direct Connection,33.53565787,-117.7690133
Laguna Beach,I00-11468-1,9/7/2022,Flowing,Yes,Priority,55,,0.005263,,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,Yes,,,Direct Connection,33.53565787,-117.7690133
Laguna Beach,I00-11518-1,7/5/2022,Pooled or Ponded,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,Closed off with plywood,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.52971644,-117.7733308
Laguna Beach,I00-11518-1,8/16/2022,Dry,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,Outfall boarded,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.52971644,-117.7733308
Laguna Beach,I00-11518-2,7/5/2022,Flowing,Yes,,,7941,,,Equal,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.528629,-117.772636
Laguna Beach,I00-11518-2,8/16/2022,,Yes,,,,,,Equal,Not present,Not present,No access - high tide,,,,,,,33.528629,-117.772636
Laguna Beach,I01-11010-1,6/21/2022,Flowing,Yes,Priority,57,4030,0.007407,,Below Average Discharge,Not present,Not present,Clear water,Not Present (0 Items),,Yes,,None,Direct Connection,33.54416454,-117.7834119
Laguna Beach,I01-11010-1,9/7/2022,Flowing,Yes,Priority,57,,,0.014,Below Average Discharge,,,,,,Yes,,,,33.54416454,-117.7834119
Laguna Beach,I01-11010-1,9/7/2022,Flowing,Yes,Priority,57,6067.75,0.013548,,Below Average Discharge,Not present,Not present,Clear water,Sparse (<10 Items),Within area surrounding outfall,Yes,,None,Direct Connection,33.54416454,-117.7834119
Laguna Beach,I01-11015-2,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.54790609,-117.7815571
Laguna Beach,I01-11015-2,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.54790609,-117.7815571
