OBJECTID,Location Description,Size 1,Last Update Date,Last Editor,Size 2,Size 3,CatchID,DrainID,Inspection Status,Facility Type,Jurisdiction,Watershed Management Area,GlobalID,PRIORITY,Flow Monitoring Status,Flow Monitoring Deploy Date,Flow Monitoring Return Date,Next Inspection Date,POINT_X,POINT_Y,Persistent Flow,Facility Identifier,Survey Link,Outfall Capture Feasibility Study,Dry Weather Samples,Accessibility,Flow Measurement Count,Last Discharge Observation,Last Discharge Measurement Trend,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE,OBJECTID2,Facility ID,Collection Staff,Inspection Date,Accessibility3,Flow Condition,Flow Velocity (Sec. / 6 Feet),Flow Width,Flow Depth,Biological Condition,Vegetative Condition,Trash Condition,Structural Condition,IDIC,Maintenance Issues,COMMENTS,LASTEDITOR,LASTUPDATE,Media Link,Visit Number,Connectivity to RW,Upstream RW Condition,Downstream RW Condition,Relative Contribution to RW Flow,GlobalID4,swDischargePointGUID,Conductivity,Algae Condition,Trash Location,OBSWEATHER,RW Vegetative Condition,RW Algae Conditions,Scour Pond Water Condition,Dissipator Water Condition
21177,Strand Beach,22,7/16/2021 18:12,OCENVRESUSER,,,12020,DP01,Verified,Outfall,Dana Point,South,{12E7317E-B0D1-44C4-A834-6F06D9921DC2},,,,,,-117.7178954,33.46919545,Unknown,DP01-12020-1,,,,Easily accessible,,,,,,,,,,130471,,CamilleA,6/22/2020 18:11,,Dry,0,0,0,Sparse,Moderate,Not Present (0 Items),Poor,,,Round grate over pipe broken. Tan/orange debris from dried flow line in pipe. Receiving water is ocean.,OCENVRESUSER,9/30/2020 18:39,,,,Flowing,Flowing,,{BBD56434-8D44-4C6F-AF02-D757C26F43BF},{12E7317E-B0D1-44C4-A834-6F06D9921DC2},,No Macroalgae,,Dry,,No Macroalgae,Not present,Not present
21177,Strand Beach,22,7/16/2021 18:12,OCENVRESUSER,,,12020,DP01,Verified,Outfall,Dana Point,South,{12E7317E-B0D1-44C4-A834-6F06D9921DC2},,,,,,-117.7178954,33.46919545,Unknown,DP01-12020-1,,,,Easily accessible,,,,,,,,,,143310,,GivenS,8/28/2020 19:05,,Dry,0,0,0,Sparse,Not Present,Sparse (<10 Items),Good,,,Light moisture inside pipe.  Ants in sand just below pipe.  ,OCENVRESUSER,9/30/2020 18:39,,,None - Flow Infiltrates or Outfall is Dry,,,,{BA60D07C-AE62-4AA9-8290-F2353F82AEC4},{12E7317E-B0D1-44C4-A834-6F06D9921DC2},,No Macroalgae,Within area surrounding outfall,Dry,,,Not present,Not present
17460,Strand Beach,48,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},,,,,,-117.71479,33.464085,Yes,DP01-12022-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9}&field:Station=DP01-12022-1,No,No,Difficult accessibility,4,0.111111,Above Average Discharge,0.475,0.095,4.6,0.067277,0.126,0.008,72391,,DCawthorne,5/30/2019 22:03,Difficult accessibility,Flowing,,,,Not Present,Not Present,Not Present (0 Items),Good,,,Access via gated community. Large flap gate wedged shut with sand.,OCPWPublisher,5/30/2019 22:06,,,None - Flow Infiltrates or Outfall is Dry,,,,{F7CA0988-9900-4203-A295-54BF5DBF92FA},{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},,,,,,,,
17460,Strand Beach,48,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},,,,,,-117.71479,33.464085,Yes,DP01-12022-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9}&field:Station=DP01-12022-1,No,No,Difficult accessibility,4,0.111111,Above Average Discharge,0.475,0.095,4.6,0.067277,0.126,0.008,97247,,GivenS,9/23/2019 20:03,,Flowing,5.4,0.5,0.2,Not Present,Not Present,Not Present (0 Items),Good,None,None,"Outfall located near south end of beach, large amounts of decaying vegetation at mouth of outfall affecting flow path and velocity, flow path meanders giving a range to flow velocity and width, measurements taken as water begins to form flowing velocity ",OCENVRESUSER,9/30/2020 20:16,,,Partial - Significant Distance,Flowing,Flowing,Small Fraction (<10%),{7E8A88B0-ABA8-4632-BC9A-B51F14B9A6CE},{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},1983.6,Small to Moderate Macroalgae,,,,,,
17460,Strand Beach,48,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},,,,,,-117.71479,33.464085,Yes,DP01-12022-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9}&field:Station=DP01-12022-1,No,No,Difficult accessibility,4,0.111111,Above Average Discharge,0.475,0.095,4.6,0.067277,0.126,0.008,119675,,GivenS,5/13/2020 17:47,,Flowing,4,0.7,0.12,Not Present,Not Present,Not Present (0 Items),Good,,Sediment,Flap gate wedged shut with sand.  Kelp and driftwood deposits.,OCENVRESUSER,9/30/2020 20:16,,,Partial - Significant Distance,,,,{210CFD15-3F45-4A0F-A69F-AA0D0D212CF0},{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},3868,No Macroalgae,,Dry,Not Present,No Macroalgae,Not present,Not present
17460,Strand Beach,48,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},,,,,,-117.71479,33.464085,Yes,DP01-12022-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9}&field:Station=DP01-12022-1,No,No,Difficult accessibility,4,0.111111,Above Average Discharge,0.475,0.095,4.6,0.067277,0.126,0.008,143307,,GivenS,8/28/2020 18:38,,Flowing,3,0.3,0.04,Sparse,Not Present,Sparse (<10 Items),Good,,Sediment,Sand blocking flap gate.  Kelp deposits near outfall.  Gnats,OCENVRESUSER,9/30/2020 20:16,,,Partial - Significant Distance,,,,{55E401B6-FB6C-47B1-8743-E4E37653B7A6},{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},3660,No Macroalgae,Within area surrounding outfall,Dry,,,Not present,Not present
17460,Strand Beach,48,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},,,,,,-117.71479,33.464085,Yes,DP01-12022-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9}&field:Station=DP01-12022-1,No,No,Difficult accessibility,4,0.111111,Above Average Discharge,0.475,0.095,4.6,0.067277,0.126,0.008,170124,,CamilleA,6/28/2021 15:39,,Flowing,6,0.4,0.02,Sparse,Moderate,Sparse (<10 Items),Good,None,None,Receiving water is ocean. Can see connection at high water mark.,OCPWPublisher,6/28/2021 15:43,,,Partial - Significant Distance,Flowing,Flowing,Small Fraction (<10%),{4EEEB3C5-BD75-48F4-9043-AE9984AC8797},{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},3919,No Macroalgae,Within area surrounding outfall,Dry,,,Clear,Clear
17459,Strand Beach,54,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},,,,,,-117.716091,33.466503,Unknown,DP01-12022-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={F1A20556-9AFE-4BFC-A5BD-765B4F16802D}&field:Station=DP01-12022-2,No,No,Difficult accessibility,,,,,,,,,,72390,,DCawthorne,5/30/2019 21:54,Difficult accessibility,Dry,0,0,0,Not Present,Not Present,Sparse (<10 Items),Good,,,Parked in gated community. Outfall covered by flap gate,OCENVRESUSER,9/30/2020 18:38,,,,,,,{5C7CE0DD-0573-4B06-B768-B1386DAD4DA7},{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},,,,,,,,
17459,Strand Beach,54,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},,,,,,-117.716091,33.466503,Unknown,DP01-12022-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={F1A20556-9AFE-4BFC-A5BD-765B4F16802D}&field:Station=DP01-12022-2,No,No,Difficult accessibility,,,,,,,,,,97248,,GivenS,9/23/2019 20:33,,Dry,0,0,0,Not Present,Not Present,Sparse (<10 Items),Good,None,None,"Outfall located directly under coastal access stairs, accumulation of sand covering bottom of gate of outfall, can hear small amounts of dropping water from within outfall, large rocks covering entrance to outfall to dissipate possible wave energy			",OCENVRESUSER,9/30/2020 18:38,,,Partial - Significant Distance,,,,{88AD7C99-37A2-4BCB-B405-7EB35A477DC1},{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},,No Macroalgae,In flow path of outfall,,,,,
17459,Strand Beach,54,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},,,,,,-117.716091,33.466503,Unknown,DP01-12022-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={F1A20556-9AFE-4BFC-A5BD-765B4F16802D}&field:Station=DP01-12022-2,No,No,Difficult accessibility,,,,,,,,,,119674,,GivenS,5/13/2020 17:40,,Dry,0,0,0,Not Present,Not Present,Sparse (<10 Items),Good,,,Connection at high tide ; kelp deposited near drain ,OCENVRESUSER,9/30/2020 18:38,,,Partial - Significant Distance,,,,{2759B51F-EED6-4F0A-951E-EF8604CE1C3E},{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},,No Macroalgae,In flow path of outfall,Dry,Not Present,No Macroalgae,Not present,Not present
