Time,J03_9368_2,J03_9368_2,J03_9368_2,J03_9368_1,J03_9368_1,J03_9368_1,J03_9215_3,J03_9215_3,J03_9215_3
and,236.34,231,262,236.34,231,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2021 0:00,49.1,0.16,0,39.6,0.07,0.001,44.1,0.39,0.022
10/2/2021 0:00,49.1,0.15,0,39.6,0.09,0.001,44.1,0.42,0.027
10/3/2021 0:00,49.1,0.17,0.001,39.6,0.1,0.002,44.1,0.41,0.025
10/4/2021 0:00,49,0.29,0.012,39.5,0.19,0.017,44,0.5,0.052
10/5/2021 0:00,48.9,0.38,0.041,39.4,0.26,0.037,43.9,0.61,0.129
10/6/2021 0:00,49,0.24,0.001,39.6,0.15,0.003,44.1,0.39,0.022
10/7/2021 0:00,49,0.24,0.001,39.5,0.16,0.003,44.1,0.47,0.033
10/8/2021 0:00,48.9,0.39,0.045,39.4,0.28,0.039,43.9,0.59,0.112
10/9/2021 0:00,49,0.21,0.001,39.6,0.1,0.002,44.1,0.39,0.023
10/10/2021 0:00,49,0.21,0.001,39.6,0.08,0.001,44.2,0.33,0.017
10/11/2021 0:00,49,0.27,0.003,39.6,0.12,0.002,44.1,0.39,0.023
10/12/2021 0:00,49.1,0.17,0.002,39.6,0.06,0.001,44.2,0.32,0.016
10/13/2021 0:00,49.1,0.14,0.001,39.6,0.06,0.001,44.1,0.38,0.022
10/14/2021 0:00,49.1,0.17,0.001,39.6,0.08,0.001,44.1,0.38,0.021
10/15/2021 0:00,49.1,0.16,0.001,39.6,0.1,0.003,44.1,0.4,0.024
10/16/2021 0:00,49.1,0.13,0,39.6,0.08,0.001,44.1,0.39,0.023
10/17/2021 0:00,49.1,0.2,0.002,39.6,0.12,0.002,44.1,0.4,0.023
10/18/2021 0:00,49,0.22,0.001,39.6,0.13,0.002,44.1,0.41,0.025
10/19/2021 0:00,49.1,0.18,0.001,39.6,0.11,0.002,44,0.55,0.109
10/20/2021 0:00,49.1,0.19,0.001,39.6,0.12,0.002,44.1,0.47,0.034
10/21/2021 0:00,49.1,0.18,0.001,39.6,0.12,0.002,44.1,0.45,0.031
10/22/2021 0:00,49,0.24,0.002,39.5,0.16,0.003,44,0.48,0.035
10/23/2021 0:00,49,0.24,0.001,39.5,0.15,0.004,44,0.5,0.037
10/24/2021 0:00,49.1,0.17,0.001,39.6,0.13,0.002,44.1,0.46,0.032
10/25/2021 0:00,48.6,0.65,0.699,38.7,1.01,1.4,43.6,0.92,0.42
10/26/2021 0:00,49,0.22,0.001,39.5,0.16,0.005,44,0.52,0.041
10/27/2021 0:00,49.1,0.19,0.001,39.6,0.14,0.004,44,0.53,0.042
10/28/2021 0:00,49.1,0.16,0.001,39.6,0.12,0.002,44,0.55,0.046
10/29/2021 0:00,49,0.22,0.002,39.6,0.14,0.003,44,0.56,0.047
10/30/2021 0:00,49,0.25,0.001,39.5,0.17,0.003,43.9,0.59,0.055
10/31/2021 0:00,49,0.21,0.001,39.6,0.14,0.002,44,0.52,0.041
11/1/2021 0:00,49.1,0.18,0.001,39.6,0.13,0.002,44,0.49,0.036
11/2/2021 0:00,49,0.21,0.001,39.6,0.15,0.003,44,0.51,0.038
11/3/2021 0:00,49,0.21,0.001,39.5,0.16,0.004,44,0.51,0.039
11/4/2021 0:00,49,0.21,0.001,39.6,0.14,0.002,44,0.51,0.039
11/5/2021 0:00,49,0.2,0.001,39.6,0.15,0.003,44,0.49,0.035
11/6/2021 0:00,,,,,,,,,
11/7/2021 0:00,49,0.2,0.001,39.5,0.17,0.004,44,0.52,0.041
11/8/2021 0:00,49.1,0.18,0.001,39.6,0.15,0.003,44.1,0.47,0.034
11/9/2021 0:00,49.1,0.19,0,39.5,0.18,0.004,44,0.5,0.037
11/10/2021 0:00,49.1,0.16,0.001,,,,44.1,0.46,0.032
11/11/2021 0:00,49.1,0.13,0,,,,44.1,0.48,0.036
11/12/2021 0:00,49.1,0.15,0.001,,,,44.1,0.46,0.033
11/13/2021 0:00,49.1,0.13,0,,,,44.1,0.44,0.03
11/14/2021 0:00,49.1,0.12,0,,,,44.1,0.42,0.028
11/15/2021 0:00,49.1,0.11,0,,,,44.1,0.43,0.027
11/16/2021 0:00,49.1,0.18,0,,,,44,0.52,0.04
11/17/2021 0:00,49.1,0.18,0.001,,,,44.1,0.47,0.033
11/18/2021 0:00,49.1,0.19,0.001,,,,44.1,0.42,0.027
11/19/2021 0:00,49,0.24,0.002,,,,44.1,0.43,0.027
11/20/2021 0:00,49,0.2,0.001,,,,44.1,0.44,0.029
11/21/2021 0:00,49.1,0.12,0.001,,,,44.1,0.42,0.027
11/22/2021 0:00,49.1,0.15,0.001,,,,,,
11/23/2021 0:00,49,0.25,0.002,,,,,,
11/24/2021 0:00,49,0.2,0.002,,,,44.2,0.37,0.022
11/25/2021 0:00,49.1,0.16,0.002,,,,,,
11/26/2021 0:00,49.1,0.13,0.001,,,,,,
11/27/2021 0:00,49.1,0.15,0.001,,,,,,
11/28/2021 0:00,49.1,0.14,0.001,,,,,,
11/29/2021 0:00,49.1,0.13,0,,,,,,
11/30/2021 0:00,49.1,0.19,0.001,,,,,,
12/1/2021 0:00,49,0.21,0.001,,,,44,0.48,0.034
12/2/2021 0:00,49,0.24,0.002,,,,44,0.49,0.035
12/3/2021 0:00,49,0.22,0.001,,,,44,0.49,0.036
12/4/2021 0:00,49.1,0.19,0.001,,,,44,0.48,0.034
12/5/2021 0:00,49,0.21,0.001,,,,44.1,0.46,0.032
12/6/2021 0:00,49,0.23,0.002,,,,44,0.49,0.036
12/7/2021 0:00,49,0.24,0.002,,,,44,0.49,0.037
12/8/2021 0:00,49,0.22,0.001,,,,44.1,0.43,0.028
12/9/2021 0:00,49,0.29,0.007,,,,44,0.53,0.05
12/10/2021 0:00,49,0.2,0.001,,,,44.1,0.46,0.032
12/11/2021 0:00,49.1,0.17,0,,,,44.1,0.44,0.029
12/12/2021 0:00,49.1,0.18,0.001,,,,44.1,0.44,0.029
12/13/2021 0:00,48.9,0.3,0.018,,,,44,0.53,0.043
12/14/2021 0:00,46.8,2.48,6.41,,,,42.6,1.95,1.99
12/15/2021 0:00,49,0.25,0.001,,,,44,0.49,0.036
12/16/2021 0:00,48.9,0.3,0.003,,,,44,0.51,0.039
12/17/2021 0:00,49,0.26,0.002,,,,44,0.48,0.035
12/18/2021 0:00,49.1,0.19,0.001,,,,44.1,0.42,0.027
12/19/2021 0:00,49.1,0.19,0.001,,,,44.1,0.41,0.025
12/20/2021 0:00,49,0.23,0.001,,,,44.1,0.47,0.033
12/21/2021 0:00,49,0.24,0.001,,,,44.1,0.43,0.028
12/22/2021 0:00,49,0.25,0.001,,,,44,0.48,0.034
12/23/2021 0:00,47.8,1.43,2.72,,,,43.1,1.45,0.943
12/24/2021 0:00,48.2,1.03,1.4,,,,43.4,1.17,0.832
12/25/2021 0:00,48.8,0.41,0.02,,,,43.9,0.63,0.081
12/26/2021 0:00,48.6,0.63,1,,,,43.6,0.88,0.687
12/27/2021 0:00,48.9,0.37,0.021,,,,43.9,0.58,0.075
12/28/2021 0:00,49,0.27,0.003,,,,44,0.5,0.038
12/29/2021 0:00,48.6,0.69,0.473,,,,43.6,0.89,0.262
12/30/2021 0:00,48.4,0.87,0.574,,,,,,
12/31/2021 0:00,48.9,0.33,0.004,,,,,,
1/1/2022 0:00,49,0.26,0.002,,,,44,0.51,0.039
1/2/2022 0:00,49,0.24,0.001,,,,44,0.49,0.036
1/3/2022 0:00,49,0.21,0.001,,,,44,0.48,0.034
1/4/2022 0:00,49,0.2,0.001,,,,44,0.48,0.035
1/5/2022 0:00,49.1,0.19,0.001,,,,44,0.49,0.036
1/6/2022 0:00,49.1,0.17,0,,,,44,0.52,0.04
1/7/2022 0:00,49,0.26,0.002,,,,44,0.53,0.043
1/8/2022 0:00,49,0.25,0.002,,,,44,0.5,0.037
1/9/2022 0:00,49.1,0.17,0,,,,44,0.5,0.039
1/10/2022 0:00,49,0.2,0.001,,,,44,0.51,0.04
1/11/2022 0:00,49.1,0.17,0.001,,,,44,0.51,0.04
1/12/2022 0:00,49,0.21,0.001,,,,44,0.51,0.04
1/13/2022 0:00,49,0.27,0.002,,,,44,0.53,0.042
1/14/2022 0:00,49,0.24,0.002,,,,44,0.5,0.037
1/15/2022 0:00,48.9,0.3,0.005,,,,44,0.52,0.043
1/16/2022 0:00,49,0.29,0.003,,,,44,0.53,0.042
1/17/2022 0:00,48.9,0.34,0.005,,,,44,0.55,0.045
1/18/2022 0:00,48.9,0.31,0.003,,,,44,0.54,0.043
