Time,J01_9005_3,J01_9005_3,J01_9005_3,NARCO_LAPAZ,NARCO_LAPAZ,J01_9364_3,J01_9364_3,J01_9364_3
and,236.34,231,262,232.37,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2021 0:00,59.9,3.57,0.019,2.93,16.5,32.4,20,0
10/2/2021 0:00,59.8,3.68,0.111,2.95,17,32.4,20,0
10/3/2021 0:00,59.8,3.64,0.054,2.95,16.3,32.9,19.5,0
10/4/2021 0:00,58.6,4.83,2.67,3.37,20,31.7,20.7,0.045
10/5/2021 0:00,58.1,5.34,3.69,3.35,20,21.3,31.1,2.54
10/6/2021 0:00,59.5,3.93,0.126,3.34,16.6,28.9,23.5,0.005
10/7/2021 0:00,59.2,4.27,0.449,3.52,19,29.7,22.7,0
10/8/2021 0:00,57,6.47,6.09,3.57,21.8,19.2,33.2,4.35
10/9/2021 0:00,59.2,4.23,0.363,2.78,11.1,27.2,25.2,0.081
10/10/2021 0:00,59.4,4.1,0.188,2.6,11.5,29.9,22.5,0
10/11/2021 0:00,59.3,4.15,0.226,2.89,9.87,30.6,21.8,0
10/12/2021 0:00,59.2,4.23,0.374,2.89,13.1,31.4,21,0
10/13/2021 0:00,59.1,4.38,0.404,3.03,17.1,31.6,20.8,0
10/14/2021 0:00,59.2,4.21,0.291,2.98,16.7,32,20.4,0
10/15/2021 0:00,58.8,4.68,0.798,2.89,15.9,31.8,20.6,0
10/16/2021 0:00,59,4.44,0.542,2.88,16.2,31.9,20.5,0
10/17/2021 0:00,58.8,4.6,0.667,3.11,16.8,31.9,20.5,0
10/18/2021 0:00,58.9,4.6,0.675,3.33,16.3,31.9,20.5,0
10/19/2021 0:00,58.9,4.54,0.634,3.17,17.6,31.9,20.5,0
10/20/2021 0:00,58.8,4.65,0.739,3.05,16.2,32,20.4,0
10/21/2021 0:00,58.9,4.57,0.616,2.93,15.2,32.1,20.3,0
10/22/2021 0:00,58.7,4.76,0.884,3.06,12.5,31.8,20.6,0
10/23/2021 0:00,58.6,4.9,1.05,2.87,8.92,31.5,20.9,0
10/24/2021 0:00,58.7,4.76,0.803,2.61,9.23,31.8,20.6,0
10/25/2021 0:00,56.1,7.35,8.07,3.65,23.1,20.8,31.6,7.21
10/26/2021 0:00,59,4.41,0.546,3.1,15.5,22,30.4,1.68
10/27/2021 0:00,59.5,3.94,0.104,2.68,13.1,27.6,24.8,0.037
10/28/2021 0:00,59.5,3.94,0.087,2.43,10.2,29.4,23,0
10/29/2021 0:00,59.3,4.14,0.227,2.59,10.2,30.5,21.9,0
10/30/2021 0:00,59.1,4.3,0.358,2.93,10.9,30.8,21.6,0
10/31/2021 0:00,59.2,4.28,0.341,3.13,13.1,31.2,21.2,0
11/1/2021 0:00,59.1,4.3,0.344,3.43,18,31.2,21.2,0
11/2/2021 0:00,58.6,4.84,0.946,3.16,15,31.2,21.2,0
11/3/2021 0:00,58,5.41,1.79,2.77,10.9,31.2,21.2,0
11/4/2021 0:00,57.7,5.78,2.4,2.73,9.47,31,21.4,0
11/5/2021 0:00,58,5.48,1.87,2.78,10.4,30.9,21.5,0
11/6/2021 0:00,,,,,,,,
11/7/2021 0:00,58.6,4.83,0.922,2.84,10.6,31.3,21.1,0
11/8/2021 0:00,58.7,4.73,0.839,3.05,13.4,31.3,21.1,0
11/9/2021 0:00,58.8,4.7,0.748,2.93,11.9,31.3,21.1,0
11/10/2021 0:00,58.8,4.65,0.688,2.9,12.7,31.3,21.1,0
11/11/2021 0:00,58.8,4.66,0.708,2.62,11.7,31.4,21,0
