Time,J06_10011_1,J06_10011_1,J06_10011_1,J06_9079_1,J06_9079_1,J06_9079_1,DAIRYFORK_MOULTON,DAIRYFORK_MOULTON
and,236.34,231,262,236.34,231,262,232.37,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2021 0:00,105,-19,2.4,68.2,0.48,0.022,0.63,1.09
10/2/2021 0:00,98.6,-12.2,0.001,68.3,0.48,0.021,0.622,1.04
10/3/2021 0:00,91.4,-4.89,2.08,68.2,0.48,0.021,0.614,0.981
10/4/2021 0:00,112,-25.9,3.48,67.8,0.9,0.278,0.768,3.55
10/5/2021 0:00,85.3,1.17,3.27,67.9,0.82,0.167,0.883,4.07
10/6/2021 0:00,78,8.48,0,68.3,0.46,0.02,0.767,2.21
10/7/2021 0:00,77.8,8.72,0.007,68.1,0.66,0.052,0.818,2.81
10/8/2021 0:00,75.6,10.8,1.05,67.5,1.27,0.414,1.01,7.18
10/9/2021 0:00,77.9,8.57,0,68.3,0.46,0.02,0.649,1.22
10/10/2021 0:00,77.9,8.55,0,68.3,0.43,0.017,0.647,1.2
10/11/2021 0:00,77.8,8.65,0,68.2,0.51,0.024,0.657,1.27
10/12/2021 0:00,77.9,8.57,0,68.2,0.49,0.022,0.652,1.24
10/13/2021 0:00,77.9,8.53,0,68.3,0.41,0.016,0.642,1.17
10/14/2021 0:00,77.9,8.53,0,68.4,0.36,0.017,0.642,1.17
10/15/2021 0:00,77.8,8.71,0.03,68.2,0.49,0.023,0.68,1.5
10/16/2021 0:00,78,8.47,0,68.3,0.46,0.02,0.735,1.91
10/17/2021 0:00,78,8.53,0,68.3,0.45,0.019,0.71,1.69
10/18/2021 0:00,77.9,8.6,0,68.2,0.58,0.032,0.734,1.9
10/19/2021 0:00,77.9,8.55,0,68.2,0.55,0.033,0.734,1.91
10/20/2021 0:00,77.9,8.6,0,68.3,0.45,0.019,0.72,1.77
10/21/2021 0:00,77.9,8.61,0,68.2,0.56,0.03,0.749,2.04
10/22/2021 0:00,77.8,8.72,0,68.2,0.53,0.027,0.774,2.28
10/23/2021 0:00,77.7,8.77,0.004,68.2,0.58,0.032,0.799,2.52
10/24/2021 0:00,77.8,8.66,0,68.3,0.43,0.017,0.782,2.35
10/25/2021 0:00,75.7,10.7,1.28,67.4,1.36,0.655,1,7.73
