,Inst Time,Flow (cfs)
3,10/1/2021 0:00,0.071
4,10/2/2021 0:00,0.062
5,10/3/2021 0:00,0.068
6,10/4/2021 0:00,0.735
7,10/5/2021 0:00,0.266
8,10/6/2021 0:00,0.054
9,10/7/2021 0:00,0.063
10,10/8/2021 0:00,0.718
11,10/9/2021 0:00,0.04
12,10/10/2021 0:00,0.047
13,10/11/2021 0:00,0.056
14,10/12/2021 0:00,0.058
15,10/13/2021 0:00,0.064
16,10/14/2021 0:00,0.056
17,10/15/2021 0:00,0.063
18,10/16/2021 0:00,0.051
19,10/17/2021 0:00,0.053
20,10/18/2021 0:00,0.072
21,10/19/2021 0:00,0.092
22,10/20/2021 0:00,0.08
23,10/21/2021 0:00,0.083
24,10/22/2021 0:00,0.084
25,10/23/2021 0:00,0.096
26,10/24/2021 0:00,0.069
27,10/25/2021 0:00,1.26
28,10/26/2021 0:00,0.036
29,10/27/2021 0:00,0.055
30,10/28/2021 0:00,0.028
31,10/29/2021 0:00,0.026
32,10/30/2021 0:00,0.045
33,10/31/2021 0:00,0.043
34,11/1/2021 0:00,0.052
35,11/2/2021 0:00,0.054
36,11/3/2021 0:00,0.044
37,11/4/2021 0:00,0.058
38,11/5/2021 0:00,0.06
39,11/6/2021 0:00,
40,11/7/2021 0:00,0.06
41,11/8/2021 0:00,0.064
42,11/9/2021 0:00,0.056
43,11/10/2021 0:00,0.065
44,11/11/2021 0:00,0.056
45,11/12/2021 0:00,0.073
46,11/13/2021 0:00,0.062
47,11/14/2021 0:00,0.039
48,11/15/2021 0:00,0.041
49,11/16/2021 0:00,0.059
50,11/17/2021 0:00,0.071
51,11/18/2021 0:00,0.06
52,11/19/2021 0:00,0.066
53,11/20/2021 0:00,0.055
54,11/21/2021 0:00,0.053
55,11/22/2021 0:00,0.052
56,11/23/2021 0:00,0.052
57,11/24/2021 0:00,0.089
58,11/25/2021 0:00,0.047
59,11/26/2021 0:00,0.032
60,11/27/2021 0:00,0.023
61,11/28/2021 0:00,0.03
62,11/29/2021 0:00,0.042
63,11/30/2021 0:00,0.043
64,12/1/2021 0:00,0.048
65,12/2/2021 0:00,0.053
66,12/3/2021 0:00,0.051
67,12/4/2021 0:00,0.046
68,12/5/2021 0:00,0.044
69,12/6/2021 0:00,0.063
70,12/7/2021 0:00,0.061
71,12/8/2021 0:00,0.057
72,12/9/2021 0:00,0.347
73,12/10/2021 0:00,0.045
74,12/11/2021 0:00,0.046
75,12/12/2021 0:00,0.063
76,12/13/2021 0:00,0.081
77,12/14/2021 0:00,13.3
78,12/15/2021 0:00,0.072
79,12/16/2021 0:00,0.112
80,12/17/2021 0:00,0.062
81,12/18/2021 0:00,0.045
82,12/19/2021 0:00,0.054
83,12/20/2021 0:00,0.06
84,12/21/2021 0:00,0.056
85,12/22/2021 0:00,0.07
86,12/23/2021 0:00,4.4
87,12/24/2021 0:00,2.36
88,12/25/2021 0:00,0.26
89,12/26/2021 0:00,0.735
90,12/27/2021 0:00,0.267
91,12/28/2021 0:00,0.072
92,12/29/2021 0:00,0.966
93,12/30/2021 0:00,1.52
94,12/31/2021 0:00,0.088
95,1/1/2022 0:00,0.038
96,1/2/2022 0:00,0.03
97,1/3/2022 0:00,0.038
98,1/4/2022 0:00,0.039
99,1/5/2022 0:00,0.042
100,1/6/2022 0:00,0.038
101,1/7/2022 0:00,0.05
102,1/8/2022 0:00,0.046
103,1/9/2022 0:00,0.044
104,1/10/2022 0:00,0.033
105,1/11/2022 0:00,0.048
106,1/12/2022 0:00,0.045
107,1/13/2022 0:00,0.043
108,1/14/2022 0:00,0.056
109,1/15/2022 0:00,0.056
110,1/16/2022 0:00,0.056
111,1/17/2022 0:00,0.084
112,1/18/2022 0:00,0.068
113,1/19/2022 0:00,0.077
114,1/20/2022 0:00,0.061
115,1/21/2022 0:00,0.088
116,1/22/2022 0:00,0.094
117,1/23/2022 0:00,0.056
118,1/24/2022 0:00,0.078
119,1/25/2022 0:00,0.086
120,1/26/2022 0:00,0.088
121,1/27/2022 0:00,0.082
122,1/28/2022 0:00,0.064
123,1/29/2022 0:00,0.071
124,1/30/2022 0:00,0.085
125,1/31/2022 0:00,0.142
126,2/1/2022 0:00,0.106
127,2/2/2022 0:00,0.105
128,2/3/2022 0:00,0.114
129,2/4/2022 0:00,0.097
130,2/5/2022 0:00,0.09
131,2/6/2022 0:00,0.102
132,2/7/2022 0:00,0.129
133,2/8/2022 0:00,0.11
134,2/9/2022 0:00,0.149
135,2/10/2022 0:00,0.172
136,2/11/2022 0:00,0.152
137,2/12/2022 0:00,0.139
138,2/13/2022 0:00,0.161
139,2/14/2022 0:00,0.117
140,2/15/2022 0:00,0.492
141,2/16/2022 0:00,0.064
142,2/17/2022 0:00,0.04
143,2/18/2022 0:00,0.087
