"","Inst Time","Flow (cfs)"
"3","10/1/2021 0:00","0.001"
"4","10/2/2021 0:00","0.002"
"5","10/3/2021 0:00","0.001"
"6","10/4/2021 0:00","0"
"7","10/5/2021 0:00","0"
"8","10/6/2021 0:00","0"
"9","10/7/2021 0:00",""
"10","10/8/2021 0:00",""
"11","10/9/2021 0:00",""
"12","10/10/2021 0:00",""
"13","10/11/2021 0:00",""
"14","10/12/2021 0:00","0"
"15","10/13/2021 0:00","0.001"
"16","10/14/2021 0:00","0"
"17","10/15/2021 0:00","0.001"
"18","10/16/2021 0:00","0.002"
"19","10/17/2021 0:00","0"
"20","10/18/2021 0:00","0"
"21","10/19/2021 0:00","0"
"22","10/20/2021 0:00","0"
"23","10/21/2021 0:00","0"
"24","10/22/2021 0:00","0"
"25","10/23/2021 0:00","0"
"26","10/24/2021 0:00","0"
"27","10/25/2021 0:00","0"
"28","10/26/2021 0:00","0"
"29","10/27/2021 0:00","0.001"
"30","10/28/2021 0:00","0.001"
"31","10/29/2021 0:00","0.001"
"32","10/30/2021 0:00","0.001"
"33","10/31/2021 0:00","0"
"34","11/1/2021 0:00","0"
"35","11/2/2021 0:00","0"
"36","11/3/2021 0:00","0.001"
"37","11/4/2021 0:00","0.001"
"38","11/5/2021 0:00","0.001"
"39","11/6/2021 0:00",""
"40","11/7/2021 0:00","0.001"
"41","11/8/2021 0:00","0.001"
"42","11/9/2021 0:00","0"
"43","11/10/2021 0:00","0.001"
"44","11/11/2021 0:00","0.002"
"45","11/12/2021 0:00","0.003"
"46","11/13/2021 0:00","0.002"
"47","11/14/2021 0:00","0.001"
"48","11/15/2021 0:00","0"
"49","11/16/2021 0:00","0.001"
"50","11/17/2021 0:00","0"
"51","11/18/2021 0:00","0"
"52","11/19/2021 0:00","0"
"53","11/20/2021 0:00","0"
"54","11/21/2021 0:00","0.002"
"55","11/22/2021 0:00","0.001"
"56","11/23/2021 0:00","0"
"57","11/24/2021 0:00","0.001"
"58","11/25/2021 0:00","0.003"
"59","11/26/2021 0:00","0.001"
"60","11/27/2021 0:00","0.001"
"61","11/28/2021 0:00","0.001"
"62","11/29/2021 0:00","0.001"
"63","11/30/2021 0:00","0.001"
"64","12/1/2021 0:00","0.002"
"65","12/2/2021 0:00","0.002"
"66","12/3/2021 0:00","0.001"
"67","12/4/2021 0:00","0.001"
"68","12/5/2021 0:00","0.001"
"69","12/6/2021 0:00","0.002"
"70","12/7/2021 0:00","0.001"
"71","12/8/2021 0:00","0.001"
"72","12/9/2021 0:00","0.001"
"73","12/10/2021 0:00","0.001"
"74","12/11/2021 0:00","0.001"
"75","12/12/2021 0:00","0.001"
"76","12/13/2021 0:00","0.002"
"77","12/14/2021 0:00","0.006"
"78","12/15/2021 0:00","0.001"
"79","12/16/2021 0:00","0.002"
"80","12/17/2021 0:00","0.002"
"81","12/18/2021 0:00","0.002"
"82","12/19/2021 0:00","0.001"
"83","12/20/2021 0:00","0.001"
"84","12/21/2021 0:00","0.001"
"85","12/22/2021 0:00","0.001"
"86","12/23/2021 0:00","0.004"
"87","12/24/2021 0:00","0.002"
"88","12/25/2021 0:00","0.003"
"89","12/26/2021 0:00","0.003"
"90","12/27/2021 0:00","0.004"
"91","12/28/2021 0:00","0.002"
"92","12/29/2021 0:00","0.005"
"93","12/30/2021 0:00","0.004"
"94","12/31/2021 0:00","0.002"
"95","1/1/2022 0:00","0.002"
"96","1/2/2022 0:00","0.001"
"97","1/3/2022 0:00","0.002"
"98","1/4/2022 0:00","0.002"
"99","1/5/2022 0:00","0.002"
"100","1/6/2022 0:00","0.001"
"101","1/7/2022 0:00","0.004"
"102","1/8/2022 0:00","0.002"
"103","1/9/2022 0:00","0.002"
"104","1/10/2022 0:00","0.002"
"105","1/11/2022 0:00","0.003"
"106","1/12/2022 0:00","0.002"
"107","1/13/2022 0:00","0.002"
"108","1/14/2022 0:00","0.002"
"109","1/15/2022 0:00","0.003"
"110","1/16/2022 0:00","0.003"
"111","1/17/2022 0:00","0.003"
"112","1/18/2022 0:00","0.002"
"113","1/19/2022 0:00","0.002"
"114","1/20/2022 0:00","0.002"
"115","1/21/2022 0:00","0.003"
"116","1/22/2022 0:00","0.006"
"117","1/23/2022 0:00","0.003"
"118","1/24/2022 0:00","0.002"
"119","1/25/2022 0:00","0.002"
"120","1/26/2022 0:00","0.003"
"121","1/27/2022 0:00","0.003"
"122","1/28/2022 0:00","0.002"
"123","1/29/2022 0:00","0.002"
"124","1/30/2022 0:00","0.004"
"125","1/31/2022 0:00","0.002"
"126","2/1/2022 0:00","0.005"
"127","2/2/2022 0:00","0.006"
"128","2/3/2022 0:00","0.005"
"129","2/4/2022 0:00","0.005"
"130","2/5/2022 0:00","0.004"
"131","2/6/2022 0:00","0.006"
"132","2/7/2022 0:00","0.005"
"133","2/8/2022 0:00","0.005"
"134","2/9/2022 0:00","0.005"
"135","2/10/2022 0:00","0.005"
"136","2/11/2022 0:00","0.002"
"137","2/12/2022 0:00","0.002"
"138","2/13/2022 0:00","0.002"
"139","2/14/2022 0:00","0.001"
"140","2/15/2022 0:00","0.002"
"141","2/16/2022 0:00","0.002"
"142","2/17/2022 0:00","0.002"
"143","2/18/2022 0:00","0.001"
"144","2/19/2022 0:00","0.001"
"145","2/20/2022 0:00","0.001"
"146","2/21/2022 0:00","0.002"
"147","2/22/2022 0:00","0.002"
"148","2/23/2022 0:00","0.001"
"149","2/24/2022 0:00","0.001"
"150","2/25/2022 0:00","0.001"
"151","2/26/2022 0:00","0.002"
"152","2/27/2022 0:00","0.001"
"153","2/28/2022 0:00","0.003"
"154","3/1/2022 0:00","0.002"
"155","3/2/2022 0:00","0.001"
"156","3/3/2022 0:00","0.003"
"157","3/4/2022 0:00","0.002"
"158","3/5/2022 0:00","0.003"
"159","3/6/2022 0:00","0.002"
"160","3/7/2022 0:00","0.003"
"161","3/8/2022 0:00","0.003"
"162","3/9/2022 0:00","0.002"
"163","3/10/2022 0:00","0.002"
"164","3/11/2022 0:00","0.002"
"165","3/12/2022 0:00","0.002"
"166","3/13/2022 0:00","0.002"
"167","3/14/2022 0:00","0.002"
"168","3/15/2022 0:00","0.001"
"169","3/16/2022 0:00","0.001"
"170","3/17/2022 0:00","0.001"
"171","3/18/2022 0:00","0.001"
"172","3/19/2022 0:00","0.002"
"173","3/20/2022 0:00","0.001"
"174","3/21/2022 0:00","0.001"
"175","3/22/2022 0:00","0.002"
"176","3/23/2022 0:00","0.002"
"177","3/24/2022 0:00","0.001"
"178","3/25/2022 0:00","0.001"
"179","3/26/2022 0:00","0.001"
"180","3/27/2022 0:00","0.002"
"181","3/28/2022 0:00","0.002"
"182","3/29/2022 0:00","0.001"
"183","3/30/2022 0:00","0.001"
"184","3/31/2022 0:00","0.001"
"185","4/1/2022 0:00","0.001"
"186","4/2/2022 0:00","0.001"
"187","4/3/2022 0:00","0.001"
"188","4/4/2022 0:00","0.001"
"189","4/5/2022 0:00","0.001"
"190","4/6/2022 0:00","0.001"
"191","4/7/2022 0:00","0.002"
"192","4/8/2022 0:00","0.002"
"193","4/9/2022 0:00","0.001"
"194","4/10/2022 0:00","0.001"
"195","4/11/2022 0:00","0.002"
"196","4/12/2022 0:00","0.001"
"197","4/13/2022 0:00","0.002"
"198","4/14/2022 0:00","0.001"
"199","4/15/2022 0:00","0.001"
"200","4/16/2022 0:00","0.001"
"201","4/17/2022 0:00","0.001"
"202","4/18/2022 0:00","0.001"
"203","4/19/2022 0:00","0.001"
"204","4/20/2022 0:00","0.001"
"205","4/21/2022 0:00","0.001"
"206","4/22/2022 0:00","0.002"
"207","4/23/2022 0:00","0.001"
"208","4/24/2022 0:00","0.002"
"209","4/25/2022 0:00","0.001"
"210","4/26/2022 0:00","0.001"
"211","4/27/2022 0:00","0.002"
"212","4/28/2022 0:00","0.002"
"213","4/29/2022 0:00","0.001"
"214","4/30/2022 0:00","0.001"
"215","5/1/2022 0:00","0.001"
"216","5/2/2022 0:00","0.001"
"217","5/3/2022 0:00","0.001"
"218","5/4/2022 0:00","0.001"
"219","5/5/2022 0:00","0.001"
"220","5/6/2022 0:00","0.001"
"221","5/7/2022 0:00","0.001"
"222","5/8/2022 0:00","0.001"
"223","5/9/2022 0:00","0.001"
"224","5/10/2022 0:00","0.001"
"225","5/11/2022 0:00","0.002"
"226","5/12/2022 0:00","0.001"
"227","5/13/2022 0:00","0.001"
"228","5/14/2022 0:00","0.001"
"229","5/15/2022 0:00","0.001"
"230","5/16/2022 0:00","0.001"
"231","5/17/2022 0:00","0.001"
"232","5/18/2022 0:00","0.001"
"233","5/19/2022 0:00","0.001"
"234","5/20/2022 0:00","0.001"
"235","5/21/2022 0:00","0"
"236","5/22/2022 0:00","0"
"237","5/23/2022 0:00","0"
"238","5/24/2022 0:00","0"
"239","5/25/2022 0:00","0"
"240","5/26/2022 0:00","0"
"241","5/27/2022 0:00","0"
"242","5/28/2022 0:00","0"
"243","5/29/2022 0:00","0"
"244","5/30/2022 0:00","0"
"245","5/31/2022 0:00","0"
"246","6/1/2022 0:00","0"
"247","6/2/2022 0:00","0.001"
"248","6/3/2022 0:00","0"
"249","6/4/2022 0:00","0"
"250","6/5/2022 0:00","0"
"251","6/6/2022 0:00","0.001"
"252","6/7/2022 0:00","0.001"
"253","6/8/2022 0:00","0.001"
"254","6/9/2022 0:00","0.001"
"255","6/10/2022 0:00","0.001"
"256","6/11/2022 0:00","0.001"
"257","6/12/2022 0:00","0.001"
"258","6/13/2022 0:00","0.001"
"259","6/14/2022 0:00","0"
"260","6/15/2022 0:00","0"
"261","6/16/2022 0:00","0.001"
"262","6/17/2022 0:00","0.001"
"263","6/18/2022 0:00","0.001"
"264","6/19/2022 0:00","0.001"
"265","6/20/2022 0:00","0"
"266","6/21/2022 0:00","0"
"267","6/22/2022 0:00","0"
"268","6/23/2022 0:00","0"
"269","6/24/2022 0:00","0"
"270","6/25/2022 0:00","0"
"271","6/26/2022 0:00","0"
"272","6/27/2022 0:00","0"
"273","6/28/2022 0:00","0"
"274","6/29/2022 0:00","0"
"275","6/30/2022 0:00","0"
"276","7/1/2022 0:00","0"
"277","7/2/2022 0:00","0"
"278","7/3/2022 0:00","0.001"
"279","7/4/2022 0:00","0.001"
"280","7/5/2022 0:00","0"
"281","7/6/2022 0:00","0"
"282","7/7/2022 0:00","0"
"283","7/8/2022 0:00","0"
"284","7/9/2022 0:00","0"
"285","7/10/2022 0:00","0"
"286","7/11/2022 0:00","0"
"287","7/12/2022 0:00","0"
"288","7/13/2022 0:00","0"
"289","7/14/2022 0:00","0"
"290","7/15/2022 0:00","0"
"291","7/16/2022 0:00","0"
"292","7/17/2022 0:00","0"
"293","7/18/2022 0:00","0"
"294","7/19/2022 0:00","0"
"295","7/20/2022 0:00","0"
"296","7/21/2022 0:00","0"
"297","7/22/2022 0:00","0"
"298","7/23/2022 0:00","0"
"299","7/24/2022 0:00","0"
"300","7/25/2022 0:00","0"
"301","7/26/2022 0:00","0"
"302","7/27/2022 0:00","0"
"303","7/28/2022 0:00","0"
"304","7/29/2022 0:00","0"
"305","7/30/2022 0:00","0"
"306","7/31/2022 0:00","0"
"307","8/1/2022 0:00","0"
"308","8/2/2022 0:00","0"
"309","8/3/2022 0:00","0"
"310","8/4/2022 0:00","0"
"311","8/5/2022 0:00","0"
"312","8/6/2022 0:00","0"
"313","8/7/2022 0:00","0"
