Cooperative,FacilityID
ELTORO,I01-11216-1 (I02P13)
ELTORO,I01-11216-2 (I02P12)
ELTORO,I01-11216-3
ELTORO,I01-11216-4 (I02P14)
ELTORO,I01-11217-1
ELTORO,I01-11343-1
ELTORO,I01-11343-2 (I02P18)
ELTORO,I01-11502-2
ELTORO,J01-10004-1 (J01P01)
ELTORO,J01-10004-2
ELTORO,J01-10006-1
ELTORO,J01-10006-2
ELTORO,J01-10006-3
ELTORO,J01-9046-1
ELTORO,J01-9046-2
ELTORO,J01-9046-3
ELTORO,J01-9048-1
ELTORO,J01-9058-1
ELTORO,J01-9066-1 (J01P04)
ELTORO,J01-9066-2 (J01P03)
ELTORO,J01-9066-3
ELTORO,J01-9259-3
ELTORO,J01-9264-1 (J01P06)
ELTORO,J01-9273-1
ELTORO,J01-9275-1
ELTORO,J01-9275-2
ELTORO,J01-9275-3
ELTORO,J01-9349-1
ELTORO,J01-9349-2
ELTORO,J01-9349-3
ELTORO,J01-9359-1 (J01P32)
ELTORO,J01-9359-2
ELTORO,J01-9377-1
ELTORO,J01-9377-2 (J01TBN8)
ELTORO,J01-9782-1 (J01TBN3)
ELTORO,J01-9785-1
ELTORO,J05-9800-2
ELTORO,J06-10011-1 (J06P01)
ELTORO,J06-9079-1 (J06P03)
ELTORO,J06-9362-1 (J06-03)
ELTORO,J07-10013-1
ELTORO,J07-9019-1
ELTORO,J07-9019-2
ELTORO,J07-9019-3
ELTORO,J07-9019-5
ELTORO,J07-9022-1
ELTORO,J07-9022-2
ELTORO,J07-9022-3
ELTORO,J07-9022-4
ELTORO,J07-9022-5
ELTORO,J07-9022-6
ELTORO,J07-9109-1
ELTORO,J07-9109-2
ELTORO,J07-9109-3
ELTORO,J07-9109-4 (J07P02)
ELTORO,J07-9110-1
ELTORO,J07-9110-2
ELTORO,J07-9110-3
ELTORO,J07-9110-4
ELTORO,L01-335-1
ELTORO,L01-335-2
ELTORO,L02-344-1
ELTORO,L02-344-2
ELTORO,L03-074-2
ELTORO,L03-214-1
ELTORO,L03-214-2 (L03P18)
ELTORO,L03-214-3 (L03P15)
ELTORO,L03-240-1 
ELTORO,L03-241-1 
ELTORO,L03-241-2
ELTORO,L03-241-3 
ELTORO,L03-241-4 (L03P14)
ELTORO,L03-241-5 (L03P27)
ELTORO,L03-241-6
ELTORO,L03-241-7
ELTORO,L03-241-8
ELTORO,L03-281-1
ELTORO,L03-281-2
ELTORO,L03-316-1
ELTORO,L03-316-2
ELTORO,L03-316-3 (L03P12)
ELTORO,L03-316-4 (L03P12)
ELTORO,L03-662-1
ELTORO,L03-662-2
ELTORO,L03-662-3 (L03P16)
ELTORO,L03-662-4
ELTORO,L03-662-5
ELTORO,L03-662-6
ELTORO,L03-691-1 (L03P09)
ELTORO,L03-693-1 (L03P11)
ELTORO,L04-136-1 (L04P07)
ELTORO,L04-136-1u (L04P07)
ELTORO,L04-232-1
ELTORO,L04-266-1
ELTORO,L04-266-2
ELTORO,L04-266-3
ELTORO,L04-266-4
ELTORO,L04-266-5
ELTORO,L04-266-6 (L04P08)
ELTORO,L04-266-7
ELTORO,L04-301-1 (L04P08)
ELTORO,L04-672-1
LAGUNABEACH,DP02-12131-1
LAGUNABEACH,DP04-12015-1
LAGUNABEACH,DP04-12015-2
LAGUNABEACH,DP04-12015-3
LAGUNABEACH,I00-11437-1
LAGUNABEACH,I00-11453-1
LAGUNABEACH,I00-11468-1
LAGUNABEACH,I00-11518-1
LAGUNABEACH,I00-11518-2
LAGUNABEACH,I01-11010-1
LAGUNABEACH,I01-11010-2
LAGUNABEACH,I01-11015-1
LAGUNABEACH,I01-11015-2
LAGUNABEACH,I01-11015-3
LAGUNABEACH,I01-11021-1
LAGUNABEACH,I01-11023-1
LAGUNABEACH,I01-11023-2
LAGUNABEACH,I01-11023-3
LAGUNABEACH,I01-11023-4
LAGUNABEACH,I01-11023-5
LAGUNABEACH,I01-11023-6
LAGUNABEACH,I01-11059-1
LAGUNABEACH,I01-11059-2
LAGUNABEACH,I01-11059-3
LAGUNABEACH,I01-11065-1
LAGUNABEACH,I01-11077-1
LAGUNABEACH,I01-11077-2
LAGUNABEACH,I01-11093-1
LAGUNABEACH,I01-11093-2
LAGUNABEACH,I01-11109-1
LAGUNABEACH,I01-11109-2
LAGUNABEACH,I01-11195-1
LAGUNABEACH,I01-11195-2
LAGUNABEACH,I01-11487-1
LAGUNABEACH,I01-11487-2
LAGUNABEACH,I01-11502-1
LAGUNABEACH,I01-11503-1
LAGUNABEACH,I01-11503-2
LAGUNABEACH,I01-11503-3
LAGUNABEACH,I01-11503-4
LAGUNABEACH,LC01-11446-1
LAGUNABEACH,LC01-11480-1
LAGUNABEACH,LC02-11506-1
LAGUNABEACH,LC02-11508-1
LAGUNABEACH,LC02-11508-2
LAGUNABEACH,LC02-11508-3
LAGUNABEACH,LC03-11455-1
LAGUNABEACH,LC03-11515-1
LAGUNABEACH,LC04-11199-1
LAGUNABEACH,LC05-11017-1
LAGUNABEACH,LC05-11017-2
LAGUNABEACH,LC05-11017-3
LAGUNABEACH,LC06-11019-1
LAGUNABEACH,LC06-11019-2
LAGUNABEACH,LC06-11019-3
LAGUNABEACH,LC06-11509-1
LAGUNABEACH,LC06-11509-2
PALISADES,DP01-12020-1
PALISADES,DP01-12022-1
PALISADES,DP01-12022-2
PALISADES,DP01-12022-3
PALISADES,DP06-12106-1
PALISADES,K01-12018-1
PALISADES,K01-12126-1 (K01S01)
PALISADES,K01-12159-1 (K01P02)
PALISADES,K01-12159-2
PALISADES,K01-12159-3
PALISADES,L00-12094-1 (L00P01)
PALISADES,L00-12094-1d
PALISADES,L00-12095-1
PALISADES,L00-12107-1
PALISADES,L00-12107-2
PALISADES,L00-12107-3
PALISADES,L00-12107-4
PALISADES,L01-458-1
PALISADES,L01-471-1
PALISADES,L01-494-1
PALISADES,L01-514-1
PALISADES,L01-517-1
PALISADES,L01-517-2
PALISADES,L01-517-3
PALISADES,L01-517-4
PALISADES,L01-517-5
PALISADES,L01-517-6
PALISADES,L01-517-7
PALISADES,L01-517-8
PALISADES,L01-548-1
PALISADES,L01-551-1
PALISADES,L01-556-1
PALISADES,L01-579-1
PALISADES,L01-579-2
PALISADES,L01-601-1
PALISADES,L01-601-2
PALISADES,L01-602-1
PALISADES,L01-602-2
PALISADES,L01-613-1
PALISADES,L01-613-2
PALISADES,L01-618-1
PALISADES,L01-618-2
PALISADES,L01-618-3
PALISADES,L01-618-4
PALISADES,L01-618-5 (L01S09)
PALISADES,L01-724-1 (L01S01)
PALISADES,L01-724-2 
PALISADES,L01-724-3
PALISADES,L01-724-4 (L01P03)
PALISADES,L01-724-5
PALISADES,L01-726-1
PALISADES,L01-726-2
PALISADES,L01-726-3
PALISADES,L01-726-4
PALISADES,L01-726-5
PALISADES,L01-726-6
PALISADES,L01-726-7
PALISADES,L01-726-8
PALISADES,L01-726-9
PALISADES,L01-727-1 (L01S04)
PALISADES,L01-727-2
PALISADES,L01-727-3
PALISADES,L01-728-1
PALISADES,L01-728-2
PALISADES,L01-728-3 (L01S02)
PALISADES,L01-728-4 
PALISADES,L01-728-5 (L01-DP)
PALISADES,L01-728-6
PALISADES,L01-728-7 (L01S03)
PALISADES,L01-728-8
PALISADES,L01-728-8d
PALISADES,L01-728-9
PALISADES,L01-747-1
PALISADES,L01-747-2
PALISADES,L01-748-1
PALISADES,L01-748-2
PALISADES,L01-749-1
PALISADES,L01-749-2
PALISADES,L01-749-2d
PALISADES,L01-749-3
PALISADES,L01-749-4
PALISADES,L01-749-5
PALISADES,L01-766-1
PALISADES,L01-766-2 (L01S06)
PALISADES,L01-766-3
PALISADES,L01-766-4
PALISADES,L01-766-5
PALISADES,L01-766-6
PALISADES,L01-766-7
PALISADES,L01-766-8
PALISADES,L01-766-9
PALISADES,L02-541-1
PALISADES,L02-541-10
PALISADES,L02-541-2
PALISADES,L02-541-3
PALISADES,L02-541-4
PALISADES,L02-541-5
PALISADES,L02-541-6
PALISADES,L02-541-7
PALISADES,L02-541-8
PALISADES,L02-541-9 (L02P02)
PALISADES,L02-571-1
PALISADES,L02-571-2
PALISADES,L02-571-3
PALISADES,L02-571-4
PALISADES,L02-571-5 (L02TBN2)
PALISADES,L02-571-6
PALISADES,L05-503-1
PALISADES,M00.1-070-1
PALISADES,M00.1-070-2
PALISADES,M00.1-070-3
PALISADES,M00.1-070-4
PALISADES,M00.1-070-5
