FacilityID,QInscfsAdj,QInsCFAdj,Q_DailyavgCF,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW
I01-11343-1,NA,NA,NA,0,LAGUNA WOODS,1,Yes
I01-11487-1,NA,NA,NA,0,LAGUNA BEACH,NA,Unknown
I01-11503-3,NA,NA,NA,0,ALISO VIEJO,NA,Yes
J01-10006-1,NA,NA,NA,0,LAKE FOREST,NA,Yes
J05-9255-1 (J05P01),NA,NA,NA,0,LAGUNA HILLS,NA,Yes
J05-9271-6,NA,NA,0,0,LAGUNA HILLS,NA,Unknown
L01-335-2,NA,NA,0,0,ORANGE CO,NA,Unknown
L01-391-1,NA,NA,NA,0,ORANGE CO,NA,Yes
L01-726-2,NA,NA,0,0,DANA POINT,NA,Unknown
L02-344-1,NA,NA,0,0,ORANGE CO,NA,Unknown
L02-401-1,NA,NA,NA,0,ORANGE CO,NA,Yes
L02-571-5 (L02TBN2),NA,NA,NA,0,SAN JUAN CAPISTRANO,NA,Unknown
M01-008-1,NA,NA,NA,0,SAN CLEMENTE,NA,Unknown
L01-748-2,NA,NA,NA,0,SAN JUAN CAPISTRANO,NA,Yes
DP01-12022-1,0.03821358,3301.6533119999995,465.0048,0.055382,DANA POINT,NA,Yes
DP04-12015-1,0.006944849999999999,600.0350399999999,869.616,0.010065,LAGUNA BEACH,NA,Unknown
I00-11518-2,0.0033119999999999994,286.1568,414.7199999999999,0.0048,LAGUNA BEACH,NA,Yes
I01-11023-1,0.0014869499999999997,128.47247999999996,186.192,0.002155,LAGUNA BEACH,1,Yes
J01-9005-3,0.20960405999999998,18109.790783999997,72057.6,0.303774,LAGUNA NIGUEL,NA,Yes
J01-9031-1,0.025644539999999997,2215.688256,3211.1423999999997,0.037166,LAKE FOREST,1,Unknown
J01-9066-2 (J01P03),0.06153213,5316.376031999999,8828.568000000001,0.089177,MISSION VIEJO,NA,Yes
J01-9224-2 (J01P25),0.06698727,5787.7001279999995,1132.7039999999997,0.097083,LAGUNA NIGUEL,1,Yes
J03-9216-1 (J03P01),0.00889893,768.8675519999999,1114.3008,0.012897,LAGUNA NIGUEL,NA,Yes
J03-9234-5,0.00929775,803.3256000000001,1164.24,0.013475000000000001,LAGUNA NIGUEL,NA,Yes
J03-9368-2 (J03TBN2),0.01691121,1461.1285439999997,275.83329599999996,0.024509,LAGUNA NIGUEL,NA,Yes
