FacilityID,QInscfsAdj,QInsCFAdj,Q_DailyavgCF,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,JURISDICTI3,PERCENTAGE,area_acres,AREA,DischargePCF2,DischargePCF3,MonitoringYear,rain_gage,dry_days,AnnualCFb,AnnualCF
I01-11343-1,NA,NA,-0.99,0,LAGUNA WOODS,1,Yes,LAGUNA WOODS,100,33.3408069,33.34083637,NA,0,MY2021-22,ELTORO,309,0,0
I01-11487-1,NA,NA,-0.99,0,LAGUNA BEACH,NA,Unknown,ALISO VIEJO,9.42798961,5606.22157779,528.5544551,NA,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11487-1,NA,NA,-0.99,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,28.71852666,5606.22157779,1610.025662,NA,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11487-1,NA,NA,-0.99,0,LAGUNA BEACH,NA,Unknown,LAGUNA WOODS,4.108913651,5606.22157779,230.3550073,NA,0,MY2021-22,LAGUNABEACH,318,0,0
I01-11487-1,NA,NA,-0.99,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,56.5439454,5606.22157779,3169.981671,NA,0,MY2021-22,LAGUNABEACH,318,0,0
J01-10006-1,NA,NA,-0.99,0,LAKE FOREST,NA,Yes,LAKE FOREST,100,23.20308578,23.2031063,NA,0,MY2021-22,ELTORO,309,0,0
J05-9255-1 (J05P01),NA,NA,-0.99,0,LAGUNA HILLS,NA,Yes,LAGUNA HILLS,100,70.04513345,70.04519538,NA,0,MY2021-22,SULPHURCREEK,323,0,0
J05-9271-6,NA,NA,0,0,LAGUNA HILLS,NA,Unknown,LAGUNA HILLS,100,NA,NA,0,0,MY2021-22,SULPHURCREEK,323,0,0
L01-335-2,NA,NA,0,0,ORANGE CO,NA,Unknown,ORANGE CO,100,NA,NA,0,0,MY2021-22,TRABUCO,304,0,0
L01-391-1,NA,NA,-0.99,0,ORANGE CO,NA,Yes,ORANGE CO,100,29.95853952,29.958566,NA,0,MY2021-22,TRABUCO,304,0,0
L01-726-2,NA,NA,0,0,DANA POINT,NA,Unknown,DANA POINT,100,2.51489735,2.514899575,0,0,MY2021-22,DANAPOINT,319,0,0
L02-344-1,NA,NA,0,0,ORANGE CO,NA,Unknown,ORANGE CO,99.37899245,178.3182714,177.2110581,0,0,MY2021-22,ELTORO,309,0,0
L02-344-1,NA,NA,0,0,ORANGE CO,NA,Unknown,RANCHO SANTA MARGARITA,0.621007707,178.3182714,1.107371188,0,0,MY2021-22,ELTORO,309,0,0
L02-401-1,NA,NA,-0.99,0,ORANGE CO,NA,Yes,MISSION VIEJO,97.18078684,199.48492042,193.8611867,NA,0,MY2021-22,SULPHURCREEK,323,0,0
L02-401-1,NA,NA,-0.99,0,ORANGE CO,NA,Yes,ORANGE CO,2.819212227,199.48492042,5.623908238,NA,0,MY2021-22,SULPHURCREEK,323,0,0
L02-571-5 (L02TBN2),NA,NA,-0.99,0,SAN JUAN CAPISTRANO,NA,Unknown,LAGUNA NIGUEL,25.81138094,220.78861654,56.98864128,NA,0,MY2021-22,PALISADES,313,0,0
