FacilityID,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
I01-11023-1,LAGUNA BEACH,18260.265700440472,NA,1318374.2613546064
I01-11023-1,ORANGE CO,36409.42552361482,NA,4565554.392303243
J01-9031-1,LAKE FOREST,428655.226209956,NA,3294681.015614369
J01-9224-2 (J01P25),ALISO VIEJO,5993.861828325905,NA,3591225.410780981
J01-9224-2 (J01P25),LAGUNA NIGUEL,359869.5285508992,NA,11248484.777351826
L02-374-1 (L02P50),ORANGE CO,2819475.9723715195,NA,4565554.392303243
L02-641-1,ORANGE CO,4986.284926966567,NA,4565554.392303243
L02-641-1,RANCHO SANTA MARGARITA,843182.469984656,NA,17572127.255452607
L03-662-3 (L03P16),MISSION VIEJO,257898.81600000005,NA,9401475.728929143
L04-266-5,MISSION VIEJO,4000029.057504,NA,9401475.728929143
I00-11468-1,LAGUNA BEACH,212793.76400754126,NA,1318374.2613546064
I00-11468-1,ORANGE CO,19089.643866775274,NA,4565554.392303243
I01-11010-1,LAGUNA BEACH,202915.75420800003,NA,1318374.2613546064
I01-11343-2 (I02P18),LAGUNA WOODS,26583.60972323406,NA,1275233.3939980974
J01-10004-1 (J01P01),LAKE FOREST,2050623.5094314318,NA,3294681.015614369
J01-9007-1 (J02P05),ALISO VIEJO,677326.4713948012,NA,3591225.410780981
J01-9007-1 (J02P05),ORANGE CO,12455.793598780088,NA,4565554.392303243
J01-9082-2,ALISO VIEJO,998641.6316034046,NA,3591225.410780981
J01-9082-2,ORANGE CO,21969.628370704308,NA,4565554.392303243
J01-9131-1 (J01P28),ALISO VIEJO,236560.03199999995,NA,3591225.410780981
J01-9224-1 (J01P24),ALISO VIEJO,2634.1015151823053,NA,3591225.410780981
J01-9224-1 (J01P24),LAGUNA NIGUEL,158150.60433060143,NA,11248484.777351826
J01-9349-1,LAKE FOREST,0,NA,3294681.015614369
J01-9349-1,MISSION VIEJO,0,NA,9401475.728929143
J01-9377-1,LAKE FOREST,64105.99288105596,NA,3294681.015614369
J01-9377-1,MISSION VIEJO,1258.630263321107,NA,9401475.728929143
J01-9992-1 (J01P27),ALISO VIEJO,432180.7921682628,NA,3591225.410780981
J01-9992-1 (J01P27),ORANGE CO,1267.6285979957179,NA,4565554.392303243
J03-9221-1 (J03P02),LAGUNA NIGUEL,2363508.1934956796,NA,11248484.777351826
J06-10011-1 (J06P01),ALISO VIEJO,486377.92818020063,NA,3591225.410780981
J06-10011-1 (J06P01),LAGUNA HILLS,682198.5901776025,NA,682198.5901776025
J06-10011-1 (J06P01),LAGUNA WOODS,1248649.7842748633,NA,1275233.3939980974
J06-10011-1 (J06P01),LAKE FOREST,751296.2870919254,NA,3294681.015614369
J06-9079-1 (J06P03),ALISO VIEJO,751510.5920908037,NA,3591225.410780981
K01-12126-1 (K01S01),DANA POINT,2401759.02142806,NA,4564971.269228496
K01-12126-1 (K01S01),LAGUNA NIGUEL,6437196.487691939,NA,11248484.777351826
K01-12159-2,DANA POINT,1673540.3519999993,NA,4564971.269228496
K01-12159-3,DANA POINT,133122.52800000002,NA,4564971.269228496
K01-12177-1 (K01P07),LAGUNA NIGUEL,1099058.44356,NA,11248484.777351826
L01-340-1,ORANGE CO,106950.06735932868,NA,4565554.392303243
L01-340-1,RANCHO SANTA MARGARITA,1313.8942256581051,NA,17572127.255452607
