JURISDICTI3,QTot,DischargeJ_af
LAGUNA WOODS,1275233.3939980974,29.27533044072767
ALISO VIEJO,116347522.37064542,2670.9715879395185
LAGUNA BEACH,3197852.585558988,73.41259379152865
ORANGE CO,54406355.72231314,1248.9980652505312
LAKE FOREST,13086268.751089765,300.4193928165694
LAGUNA HILLS,30382783.63122218,697.4927371722264
DANA POINT,13188470.493113145,302.7656219722944
RANCHO SANTA MARGARITA,26145050.573031798,600.2077725673048
MISSION VIEJO,29837016.65099346,684.9636513083898
LAGUNA NIGUEL,103212442.91903976,2369.431655625339
SAN JUAN CAPISTRANO,8842496.99493502,202.9957987817957
SAN CLEMENTE,19982422.455257487,458.73329787092484
