FacilityID,JURISDICTI3,Qadj_Qall,QJur_US
I01-11487-1,ALISO VIEJO,0,112756296.95986444
I01-11487-1,LAGUNA BEACH,0,1879478.3242043818
I01-11487-1,LAGUNA WOODS,0,0
I01-11487-1,ORANGE CO,0,49840801.3300099
J01-10006-1,LAKE FOREST,0,9791587.735475397
J05-9255-1 (J05P01),LAGUNA HILLS,0,29700585.041044578
J05-9271-6,LAGUNA HILLS,0,29700585.041044578
L01-335-2,ORANGE CO,0,49840801.3300099
L01-391-1,ORANGE CO,0,49840801.3300099
L01-726-2,DANA POINT,0,8623499.22388465
L02-344-1,ORANGE CO,0,49840801.3300099
L02-344-1,RANCHO SANTA MARGARITA,0,8572923.317579193
L02-401-1,MISSION VIEJO,0,20435540.922064316
L02-401-1,ORANGE CO,0,49840801.3300099
L02-571-5 (L02TBN2),LAGUNA NIGUEL,0,91963958.14168793
L02-571-5 (L02TBN2),SAN JUAN CAPISTRANO,0,2612469.6335842325
L01-748-2,SAN JUAN CAPISTRANO,0,2612469.6335842325
DP01-12022-1,DANA POINT,148336.53119999997,8623499.22388465
DP04-12015-1,LAGUNA BEACH,0,1879478.3242043818
DP04-12015-1,LAGUNA NIGUEL,0,91963958.14168793
DP04-12015-1,ORANGE CO,0,49840801.3300099
I00-11518-2,LAGUNA BEACH,116714.64959999998,1879478.3242043818
J01-9005-3,LAGUNA HILLS,322307.05870077235,29700585.041044578
J01-9005-3,LAGUNA NIGUEL,22952297.67706132,91963958.14168793
J01-9066-2 (J01P03),LAKE FOREST,22325.537299355063,9791587.735475397
J01-9066-2 (J01P03),MISSION VIEJO,2705701.975655455,20435540.922064316
J03-9216-1 (J03P01),LAGUNA NIGUEL,359919.1584,91963958.14168793
J03-9368-2 (J03TBN2),LAGUNA NIGUEL,89094.15460799998,91963958.14168793
J07-9022-1,MISSION VIEJO,10652.142168,20435540.922064316
K01-12036-5,LAGUNA NIGUEL,1011726.8518895999,91963958.14168793
K01-12155-5,LAGUNA NIGUEL,1232948.189088,91963958.14168793
L01-125-3,ORANGE CO,7364.178543822233,49840801.3300099
L01-125-3,RANCHO SANTA MARGARITA,684334.367566777,8572923.317579193
L01-728-2,DANA POINT,23868.345838683457,8623499.22388465
L01-728-3 (L01S02),DANA POINT,14102.525237579173,8623499.22388465
L01-728-3 (L01S02),SAN CLEMENTE,328.9115623758307,12249919.308809487
L01-728-3 (L01S02),SAN JUAN CAPISTRANO,147217.3470949733,2612469.6335842325
L01-749-2d,SAN JUAN CAPISTRANO,1149444.1728,2612469.6335842325
L01-760-2,ORANGE CO,525932.7716966401,49840801.3300099
L01-766-7,SAN JUAN CAPISTRANO,0,2612469.6335842325
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,54369.791999999994,8572923.317579193
L02-374-2 (MVL02P20),MISSION VIEJO,148270.9536,20435540.922064316
L02-541-6,SAN JUAN CAPISTRANO,56547.3312,2612469.6335842325
L02-622-1 (L02P28),RANCHO SANTA MARGARITA,288219.520512,8572923.317579193
L03-241-4,MISSION VIEJO,388524.5663039999,20435540.922064316
L03-316-2,MISSION VIEJO,24561.792,20435540.922064316
L03-316-4,MISSION VIEJO,0,20435540.922064316
