FacilityID,JURISDICTI3,Qadj_Qall,avgCnx,DischargeJ_cf,DischargeJ_af,JURISDICTI,AnnualCF,QJur_US,QJur_S
I01-11023-1,LAGUNA BEACH,18260.265700440472,0.9233333333333333,3197852.585558988,73.41259379152865,LAGUNA BEACH,19776.461047408455,NA,1318374.2613546064
I01-11023-1,ORANGE CO,36409.42552361482,0.9233333333333333,54406355.72231314,1248.9980652505315,LAGUNA BEACH,39432.59081979944,NA,4565554.392303243
J01-9031-1,LAKE FOREST,428655.226209956,0.5,13086268.751089767,300.4193928165695,LAKE FOREST,857310.452419912,NA,3294681.015614369
J01-9224-2 (J01P25),ALISO VIEJO,5993.861828325905,1,116347522.37064542,2670.9715879395185,LAGUNA NIGUEL,5993.861828325905,NA,3591225.410780981
J01-9224-2 (J01P25),LAGUNA NIGUEL,359869.5285508992,1,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,359869.5285508992,NA,11248484.777351826
L02-374-1 (L02P50),ORANGE CO,2819475.9723715195,0.77,54406355.72231314,1248.9980652505315,ORANGE CO,3661657.1069759997,NA,4565554.392303243
L02-641-1,ORANGE CO,4986.284926966567,1,54406355.72231314,1248.9980652505315,RANCHO SANTA MARGARITA,4986.284926966567,NA,4565554.392303243
L02-641-1,RANCHO SANTA MARGARITA,843182.469984656,1,26145050.573031798,600.2077725673049,RANCHO SANTA MARGARITA,843182.469984656,NA,17572127.255452607
L03-662-3 (L03P16),MISSION VIEJO,257898.81600000005,0.5,29837016.65099346,684.9636513083898,MISSION VIEJO,515797.6320000001,NA,9401475.728929143
L04-266-5,MISSION VIEJO,4000029.057504,1,29837016.65099346,684.9636513083898,MISSION VIEJO,4000029.057504,NA,9401475.728929143
L05-489-3,ORANGE CO,29545076.777328,1,54406355.72231314,1248.9980652505315,ORANGE CO,29545076.777328,NA,NA
I00-11468-1,LAGUNA BEACH,212793.76400754126,1,3197852.585558988,73.41259379152865,LAGUNA BEACH,212793.76400754126,NA,1318374.2613546064
I00-11468-1,ORANGE CO,19089.643866775274,1,54406355.72231314,1248.9980652505315,LAGUNA BEACH,19089.643866775274,NA,4565554.392303243
I01-11010-1,LAGUNA BEACH,202915.75420800003,1,3197852.585558988,73.41259379152865,LAGUNA BEACH,202915.75420800003,NA,1318374.2613546064
I01-11343-2 (I02P18),LAGUNA WOODS,26583.60972323406,0.77,1275233.3939980974,29.27533044072767,LAGUNA WOODS,34524.16847173255,NA,1275233.3939980974
J01-10004-1 (J01P01),LAKE FOREST,2050623.5094314318,1,13086268.751089767,300.4193928165695,LAKE FOREST,2050623.5094314318,NA,3294681.015614369
