FACILITYID,Date,FlowConnectivity
J01-9007-1 (J02P05),2022-06-23,Undetermined
J01-9007-1 (J02P05),2022-07-13,Unsafe to Access
J01-9007-1 (J02P05),2022-09-08,Undetermined
J01-9364-3 (J01P21),2022-06-28,Direct Connection
J01-9364-3 (J01P21),2022-07-08,Direct Connection
J03-9221-1 (J03P02),2022-06-15,Undetermined
J03-9221-1 (J03P02),2022-07-08,Unsafe to Access
J03-9221-1 (J03P02),2022-08-18,Undetermined
L01-727-1 (L01S04),2022-07-12,None - Flow Infiltrates or Outfall is Dry
L01-727-1 (L01S04),2022-08-29,None - Flow Infiltrates or Outfall is Dry
L02-166-2 (L02P25),2022-07-27,Undetermined
L02-166-2 (L02P25),2022-09-20,Undetermined
L02-204-1 (L02P45),2022-07-27,None - Flow Infiltrates or Outfall is Dry
L02-204-1 (L02P45),2022-09-20,None - Flow Infiltrates or Outfall is Dry
L02-374-1 (L02P50),2022-06-16,Undetermined
L02-374-1 (L02P50),2022-09-06,Undetermined
L02-401-2 (COL02P55),2022-06-16,None - Flow Infiltrates or Outfall is Dry
L02-401-2 (COL02P55),2022-09-06,Direct Connection
J01-9144-4 (J01P26),2022-07-13,None - Flow Infiltrates or Outfall is Dry
J01-9144-4 (J01P26),2022-08-31,None - Flow Infiltrates or Outfall is Dry
J01-9992-1 (J01P27),2022-06-23,Direct Connection
J01-9992-1 (J01P27),2022-07-01,Direct Connection
J01-9992-1 (J01P27),2022-09-08,Direct Connection
J01-9131-1 (J01P28),2022-06-23,Direct Connection
J01-9131-1 (J01P28),2022-07-01,None - Flow Infiltrates or Outfall is Dry
J01-9131-1 (J01P28),2022-09-08,Direct Connection
J01-10019-1 (J01P33),2022-07-13,Direct Connection
J01-10019-1 (J01P33),2022-09-14,Undetermined
L02-246-1 (L11P01),2022-06-27,Direct Connection
L02-246-1 (L11P01),2022-08-25,Direct Connection
L02-640-1 (L11P02),NA,NA
M02-032-1,2022-06-30,Direct Connection
M02-032-1,2022-09-08,Direct Connection
L01-728-5 (L01-DP),2022-06-22,None - Flow Infiltrates or Outfall is Dry
L01-728-4,2022-07-12,None - Flow Infiltrates or Outfall is Dry
L01-728-4,2022-09-14,NA
SC11-026-1 (M00P01),2022-07-12,None - Flow Infiltrates or Outfall is Dry
SC11-026-1 (M00P01),2022-09-23,Partial - Significant Distance
LC06-11019-1,2022-06-21,None - Flow Infiltrates or Outfall is Dry
LC06-11019-1,2022-08-16,Direct Connection
LC02-11508-3,2022-07-05,None - Flow Infiltrates or Outfall is Dry
LC02-11508-3,2022-08-16,None - Flow Infiltrates or Outfall is Dry
J01-9040-1,2022-04-07,Direct Connection
J01-9040-1,2022-04-14,Direct Connection
