FacilityID,QInscfsAdj,QInsCFAdj,Q_DailyavgCF,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,JURISDICTI3,PERCENTAGE,area_acres,AREA
I01-11343-1,NA,NA,NA,0,LAGUNA WOODS,1,Yes,LAGUNA WOODS,100,33.3408069,33.34083637
I01-11487-1,NA,NA,NA,0,LAGUNA BEACH,NA,Unknown,ALISO VIEJO,9.42798961,5606.22157779,528.5544551
I01-11487-1,NA,NA,NA,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,28.71852666,5606.22157779,1610.025662
I01-11487-1,NA,NA,NA,0,LAGUNA BEACH,NA,Unknown,LAGUNA WOODS,4.108913651,5606.22157779,230.3550073
I01-11487-1,NA,NA,NA,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,56.5439454,5606.22157779,3169.981671
I01-11487-1,NA,NA,NA,0,LAGUNA BEACH,NA,Unknown,IRVINE,0.487313943,5606.22157779,27.31992357
I01-11487-1,NA,NA,NA,0,LAGUNA BEACH,NA,Unknown,NEWPORT BEACH,0.103091768,5606.22157779,5.779558064
I01-11503-3,NA,NA,NA,0,ALISO VIEJO,NA,Yes,ALISO VIEJO,100,90.98036764,90.98044807
J01-10006-1,NA,NA,NA,0,LAKE FOREST,NA,Yes,LAKE FOREST,100,23.20308578,23.2031063
J05-9255-1 (J05P01),NA,NA,NA,0,LAGUNA HILLS,NA,Yes,LAGUNA HILLS,100,70.04513345,70.04519538
J05-9271-6,NA,NA,0,0,LAGUNA HILLS,NA,Unknown,LAGUNA HILLS,100,NA,NA
L01-335-2,NA,NA,0,0,ORANGE CO,NA,Unknown,ORANGE CO,100,NA,NA
L01-391-1,NA,NA,NA,0,ORANGE CO,NA,Yes,ORANGE CO,100,29.95853952,29.958566
L01-726-2,NA,NA,0,0,DANA POINT,NA,Unknown,DANA POINT,100,2.51489735,2.514899575
L02-344-1,NA,NA,0,0,ORANGE CO,NA,Unknown,ORANGE CO,99.37899245,178.3182714,177.2110581
L02-344-1,NA,NA,0,0,ORANGE CO,NA,Unknown,RANCHO SANTA MARGARITA,0.621007707,178.3182714,1.107371188
L02-401-1,NA,NA,NA,0,ORANGE CO,NA,Yes,MISSION VIEJO,97.18078684,199.48492042,193.8611867
L02-401-1,NA,NA,NA,0,ORANGE CO,NA,Yes,ORANGE CO,2.819212227,199.48492042,5.623908238
L02-571-5 (L02TBN2),NA,NA,NA,0,SAN JUAN CAPISTRANO,NA,Unknown,LAGUNA NIGUEL,25.81138094,220.78861654,56.98864128
L02-571-5 (L02TBN2),NA,NA,NA,0,SAN JUAN CAPISTRANO,NA,Unknown,SAN JUAN CAPISTRANO,74.1886223,220.78861654,163.8001776
M01-008-1,NA,NA,NA,0,SAN CLEMENTE,NA,Unknown,SAN CLEMENTE,100,NA,NA
L01-748-2,NA,NA,NA,0,SAN JUAN CAPISTRANO,NA,Yes,SAN JUAN CAPISTRANO,100,NA,NA
DP01-12022-1,0.03821358,3301.6533119999995,465.0048,0.055382,DANA POINT,NA,Yes,DANA POINT,100,NA,NA
DP04-12015-1,0.006944849999999999,600.0350399999999,869.616,0.010065,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,65.93698008,178.90214373,117.9627752
DP04-12015-1,0.006944849999999999,600.0350399999999,869.616,0.010065,LAGUNA BEACH,NA,Unknown,LAGUNA NIGUEL,33.93511159,178.90214373,60.71069578
