Inst.Time,Flow..cfs.,SourceFile,Station,date
8/25/2022 ,0.006,K01-12058-1.csv,K01-12058-1,2022-08-25
8/26/2022 ,0.012,K01-12058-1.csv,K01-12058-1,2022-08-26
8/27/2022 ,0.012,K01-12058-1.csv,K01-12058-1,2022-08-27
8/28/2022 ,0.004,K01-12058-1.csv,K01-12058-1,2022-08-28
8/29/2022 ,0.003,K01-12058-1.csv,K01-12058-1,2022-08-29
8/30/2022 ,0.007,K01-12058-1.csv,K01-12058-1,2022-08-30
8/31/2022 ,0.005,K01-12058-1.csv,K01-12058-1,2022-08-31
9/1/2022 ,0.002,K01-12058-1.csv,K01-12058-1,2022-09-01
9/2/2022 ,0.01,K01-12058-1.csv,K01-12058-1,2022-09-02
9/3/2022 ,0.016,K01-12058-1.csv,K01-12058-1,2022-09-03
9/4/2022 ,0.005,K01-12058-1.csv,K01-12058-1,2022-09-04
9/5/2022 ,0.008,K01-12058-1.csv,K01-12058-1,2022-09-05
9/6/2022 ,0.011,K01-12058-1.csv,K01-12058-1,2022-09-06
9/7/2022 ,0.01,K01-12058-1.csv,K01-12058-1,2022-09-07
9/8/2022 ,0,K01-12058-1.csv,K01-12058-1,2022-09-08
9/9/2022 ,0.003,K01-12058-1.csv,K01-12058-1,2022-09-09
9/10/2022 ,0.301,K01-12058-1.csv,K01-12058-1,2022-09-10
9/11/2022 ,0.005,K01-12058-1.csv,K01-12058-1,2022-09-11
9/12/2022 ,0.02,K01-12058-1.csv,K01-12058-1,2022-09-12
9/13/2022 ,0.007,K01-12058-1.csv,K01-12058-1,2022-09-13
9/14/2022 ,0.007,K01-12058-1.csv,K01-12058-1,2022-09-14
9/15/2022 ,0.002,K01-12058-1.csv,K01-12058-1,2022-09-15
9/16/2022 ,0.003,K01-12058-1.csv,K01-12058-1,2022-09-16
9/17/2022 ,0.004,K01-12058-1.csv,K01-12058-1,2022-09-17
9/18/2022 ,0.005,K01-12058-1.csv,K01-12058-1,2022-09-18
9/19/2022 ,0.003,K01-12058-1.csv,K01-12058-1,2022-09-19
9/20/2022 ,0.007,K01-12058-1.csv,K01-12058-1,2022-09-20
9/21/2022 ,0.015,K01-12058-1.csv,K01-12058-1,2022-09-21
9/22/2022 ,0.009,K01-12058-1.csv,K01-12058-1,2022-09-22
9/23/2022 ,0.023,K01-12058-1.csv,K01-12058-1,2022-09-23
9/24/2022 ,0.028,K01-12058-1.csv,K01-12058-1,2022-09-24
9/25/2022 ,0.024,K01-12058-1.csv,K01-12058-1,2022-09-25
9/26/2022 ,0.012,K01-12058-1.csv,K01-12058-1,2022-09-26
9/27/2022 ,0.014,K01-12058-1.csv,K01-12058-1,2022-09-27
9/28/2022 ,0.007,K01-12058-1.csv,K01-12058-1,2022-09-28
9/29/2022 ,0.014,K01-12058-1.csv,K01-12058-1,2022-09-29
9/30/2022 ,0.005,K01-12058-1.csv,K01-12058-1,2022-09-30
10/1/2022 ,0.002,K01-12058-1.csv,K01-12058-1,2022-10-01
10/2/2022 ,0.002,K01-12058-1.csv,K01-12058-1,2022-10-02
10/3/2022 ,0.004,K01-12058-1.csv,K01-12058-1,2022-10-03
10/4/2022 ,0.006,K01-12058-1.csv,K01-12058-1,2022-10-04
10/5/2022 ,0.006,K01-12058-1.csv,K01-12058-1,2022-10-05
10/6/2022 ,0.004,K01-12058-1.csv,K01-12058-1,2022-10-06
8/26/2022 ,0.014,K01-12058-2.csv,K01-12058-2,2022-08-26
8/27/2022 ,0.015,K01-12058-2.csv,K01-12058-2,2022-08-27
8/28/2022 ,0.004,K01-12058-2.csv,K01-12058-2,2022-08-28
8/29/2022 ,0.005,K01-12058-2.csv,K01-12058-2,2022-08-29
8/30/2022 ,0.01,K01-12058-2.csv,K01-12058-2,2022-08-30
8/31/2022 ,0.029,K01-12058-2.csv,K01-12058-2,2022-08-31
9/1/2022 ,0.022,K01-12058-2.csv,K01-12058-2,2022-09-01
9/2/2022 ,0.015,K01-12058-2.csv,K01-12058-2,2022-09-02
9/3/2022 ,0.027,K01-12058-2.csv,K01-12058-2,2022-09-03
9/4/2022 ,0.02,K01-12058-2.csv,K01-12058-2,2022-09-04
9/5/2022 ,0.018,K01-12058-2.csv,K01-12058-2,2022-09-05
9/6/2022 ,0.026,K01-12058-2.csv,K01-12058-2,2022-09-06
9/7/2022 ,0.021,K01-12058-2.csv,K01-12058-2,2022-09-07
9/8/2022 ,0.013,K01-12058-2.csv,K01-12058-2,2022-09-08
9/9/2022 ,0.023,K01-12058-2.csv,K01-12058-2,2022-09-09
9/10/2022 ,0.11,K01-12058-2.csv,K01-12058-2,2022-09-10
9/11/2022 ,0.011,K01-12058-2.csv,K01-12058-2,2022-09-11
9/12/2022 ,0.023,K01-12058-2.csv,K01-12058-2,2022-09-12
9/13/2022 ,0.013,K01-12058-2.csv,K01-12058-2,2022-09-13
9/14/2022 ,0.008,K01-12058-2.csv,K01-12058-2,2022-09-14
9/15/2022 ,0.004,K01-12058-2.csv,K01-12058-2,2022-09-15
9/16/2022 ,0.004,K01-12058-2.csv,K01-12058-2,2022-09-16
9/17/2022 ,0.005,K01-12058-2.csv,K01-12058-2,2022-09-17
9/18/2022 ,0.005,K01-12058-2.csv,K01-12058-2,2022-09-18
9/19/2022 ,0.005,K01-12058-2.csv,K01-12058-2,2022-09-19
9/20/2022 ,0.011,K01-12058-2.csv,K01-12058-2,2022-09-20
9/21/2022 ,0.018,K01-12058-2.csv,K01-12058-2,2022-09-21
9/22/2022 ,0.013,K01-12058-2.csv,K01-12058-2,2022-09-22
9/23/2022 ,0.02,K01-12058-2.csv,K01-12058-2,2022-09-23
9/24/2022 ,0.029,K01-12058-2.csv,K01-12058-2,2022-09-24
9/25/2022 ,0.027,K01-12058-2.csv,K01-12058-2,2022-09-25
9/26/2022 ,0.027,K01-12058-2.csv,K01-12058-2,2022-09-26
9/27/2022 ,0.027,K01-12058-2.csv,K01-12058-2,2022-09-27
9/28/2022 ,0.02,K01-12058-2.csv,K01-12058-2,2022-09-28
9/29/2022 ,0.021,K01-12058-2.csv,K01-12058-2,2022-09-29
9/30/2022 ,0.012,K01-12058-2.csv,K01-12058-2,2022-09-30
10/1/2022 ,0.006,K01-12058-2.csv,K01-12058-2,2022-10-01
10/2/2022 ,0.007,K01-12058-2.csv,K01-12058-2,2022-10-02
10/3/2022 ,0.007,K01-12058-2.csv,K01-12058-2,2022-10-03
10/4/2022 ,0.01,K01-12058-2.csv,K01-12058-2,2022-10-04
10/5/2022 ,0.029,K01-12058-2.csv,K01-12058-2,2022-10-05
