Station,date,Flow_cfs_md
K01-12058-1 (K01P08),2022-08-25,0.006
K01-12058-1 (K01P08),2022-08-26,0.012
K01-12058-1 (K01P08),2022-08-27,0.012
K01-12058-1 (K01P08),2022-08-28,0.004
K01-12058-1 (K01P08),2022-08-29,0.003
K01-12058-1 (K01P08),2022-08-30,0.007
K01-12058-1 (K01P08),2022-08-31,0.005
K01-12058-1 (K01P08),2022-09-01,0.002
K01-12058-1 (K01P08),2022-09-02,0.01
K01-12058-1 (K01P08),2022-09-03,0.016
K01-12058-1 (K01P08),2022-09-04,0.005
K01-12058-1 (K01P08),2022-09-05,0.008
K01-12058-1 (K01P08),2022-09-06,0.011
K01-12058-1 (K01P08),2022-09-07,0.01
K01-12058-1 (K01P08),2022-09-08,0
K01-12058-1 (K01P08),2022-09-09,0.003
K01-12058-1 (K01P08),2022-09-10,0.301
K01-12058-1 (K01P08),2022-09-11,0.005
K01-12058-1 (K01P08),2022-09-12,0.02
K01-12058-1 (K01P08),2022-09-13,0.007
K01-12058-1 (K01P08),2022-09-14,0.007
K01-12058-1 (K01P08),2022-09-15,0.002
K01-12058-1 (K01P08),2022-09-16,0.003
K01-12058-1 (K01P08),2022-09-17,0.004
K01-12058-1 (K01P08),2022-09-18,0.005
K01-12058-1 (K01P08),2022-09-19,0.003
K01-12058-1 (K01P08),2022-09-20,0.007
K01-12058-1 (K01P08),2022-09-21,0.015
K01-12058-1 (K01P08),2022-09-22,0.009
K01-12058-1 (K01P08),2022-09-23,0.023
K01-12058-1 (K01P08),2022-09-24,0.028
K01-12058-1 (K01P08),2022-09-25,0.024
K01-12058-1 (K01P08),2022-09-26,0.012
K01-12058-1 (K01P08),2022-09-27,0.014
K01-12058-1 (K01P08),2022-09-28,0.007
K01-12058-1 (K01P08),2022-09-29,0.014
K01-12058-1 (K01P08),2022-09-30,0.005
K01-12058-1 (K01P08),2022-10-01,0.002
K01-12058-1 (K01P08),2022-10-02,0.002
K01-12058-1 (K01P08),2022-10-03,0.004
K01-12058-1 (K01P08),2022-10-04,0.006
K01-12058-1 (K01P08),2022-10-05,0.006
K01-12058-1 (K01P08),2022-10-06,0.004
K01-12058-1 (K01P09),2022-08-26,0.014
K01-12058-1 (K01P09),2022-08-27,0.015
K01-12058-1 (K01P09),2022-08-28,0.004
K01-12058-1 (K01P09),2022-08-29,0.005
K01-12058-1 (K01P09),2022-08-30,0.01
K01-12058-1 (K01P09),2022-08-31,0.029
K01-12058-1 (K01P09),2022-09-01,0.022
K01-12058-1 (K01P09),2022-09-02,0.015
K01-12058-1 (K01P09),2022-09-03,0.027
K01-12058-1 (K01P09),2022-09-04,0.02
K01-12058-1 (K01P09),2022-09-05,0.018
K01-12058-1 (K01P09),2022-09-06,0.026
K01-12058-1 (K01P09),2022-09-07,0.021
K01-12058-1 (K01P09),2022-09-08,0.013
K01-12058-1 (K01P09),2022-09-09,0.023
K01-12058-1 (K01P09),2022-09-10,0.11
K01-12058-1 (K01P09),2022-09-11,0.011
K01-12058-1 (K01P09),2022-09-12,0.023
K01-12058-1 (K01P09),2022-09-13,0.013
K01-12058-1 (K01P09),2022-09-14,0.008
K01-12058-1 (K01P09),2022-09-15,0.004
K01-12058-1 (K01P09),2022-09-16,0.004
K01-12058-1 (K01P09),2022-09-17,0.005
K01-12058-1 (K01P09),2022-09-18,0.005
K01-12058-1 (K01P09),2022-09-19,0.005
K01-12058-1 (K01P09),2022-09-20,0.011
K01-12058-1 (K01P09),2022-09-21,0.018
K01-12058-1 (K01P09),2022-09-22,0.013
K01-12058-1 (K01P09),2022-09-23,0.02
K01-12058-1 (K01P09),2022-09-24,0.029
K01-12058-1 (K01P09),2022-09-25,0.027
K01-12058-1 (K01P09),2022-09-26,0.027
K01-12058-1 (K01P09),2022-09-27,0.027
K01-12058-1 (K01P09),2022-09-28,0.02
K01-12058-1 (K01P09),2022-09-29,0.021
K01-12058-1 (K01P09),2022-09-30,0.012
K01-12058-1 (K01P09),2022-10-01,0.006
K01-12058-1 (K01P09),2022-10-02,0.007
K01-12058-1 (K01P09),2022-10-03,0.007
K01-12058-1 (K01P09),2022-10-04,0.01
K01-12058-1 (K01P09),2022-10-05,0.029
K01-12058-1 (K01P09),2022-10-06,0.029
