Station,date,Flow_cfs_md
J01-10004-1,2021-10-01,0.071
J01-10004-1,2021-10-02,0.062
J01-10004-1,2021-10-03,0.068
J01-10004-1,2021-10-04,0.735
J01-10004-1,2021-10-05,0.266
J01-10004-1,2021-10-06,0.054
J01-10004-1,2021-10-07,0.063
J01-10004-1,2021-10-08,0.718
J01-10004-1,2021-10-09,0.04
J01-10004-1,2021-10-10,0.047
J01-10004-1,2021-10-11,0.056
J01-10004-1,2021-10-12,0.058
J01-10004-1,2021-10-13,0.064
J01-10004-1,2021-10-14,0.056
J01-10004-1,2021-10-15,0.063
J01-10004-1,2021-10-16,0.051
J01-10004-1,2021-10-17,0.053
J01-10004-1,2021-10-18,0.072
J01-10004-1,2021-10-19,0.092
J01-10004-1,2021-10-20,0.08
J01-10004-1,2021-10-21,0.083
J01-10004-1,2021-10-22,0.084
J01-10004-1,2021-10-23,0.096
J01-10004-1,2021-10-24,0.069
J01-10004-1,2021-10-25,1.26
J01-10004-1,2021-10-26,0.036
J01-10004-1,2021-10-27,0.055
J01-10004-1,2021-10-28,0.028
J01-10004-1,2021-10-29,0.026
J01-10004-1,2021-10-30,0.045
J01-10004-1,2021-10-31,0.043
J01-10004-1,2021-11-01,0.052
J01-10004-1,2021-11-02,0.054
J01-10004-1,2021-11-03,0.044
J01-10004-1,2021-11-04,0.058
J01-10004-1,2021-11-05,0.06
J01-10004-1,2021-11-07,0.06
J01-10004-1,2021-11-08,0.064
J01-10004-1,2021-11-09,0.056
J01-10004-1,2021-11-10,0.065
J01-10004-1,2021-11-11,0.056
J01-10004-1,2021-11-12,0.073
J01-10004-1,2021-11-13,0.062
J01-10004-1,2021-11-14,0.039
J01-10004-1,2021-11-15,0.041
J01-10004-1,2021-11-16,0.059
J01-10004-1,2021-11-17,0.071
J01-10004-1,2021-11-18,0.06
J01-10004-1,2021-11-19,0.066
J01-10004-1,2021-11-20,0.055
J01-10004-1,2021-11-21,0.053
J01-10004-1,2021-11-22,0.052
J01-10004-1,2021-11-23,0.052
J01-10004-1,2021-11-24,0.089
J01-10004-1,2021-11-25,0.047
J01-10004-1,2021-11-26,0.032
J01-10004-1,2021-11-27,0.023
J01-10004-1,2021-11-28,0.03
J01-10004-1,2021-11-29,0.042
J01-10004-1,2021-11-30,0.043
J01-10004-1,2021-12-01,0.048
J01-10004-1,2021-12-02,0.053
J01-10004-1,2021-12-03,0.051
J01-10004-1,2021-12-04,0.046
J01-10004-1,2021-12-05,0.044
J01-10004-1,2021-12-06,0.063
J01-10004-1,2021-12-07,0.061
J01-10004-1,2021-12-08,0.057
J01-10004-1,2021-12-09,0.347
J01-10004-1,2021-12-10,0.045
J01-10004-1,2021-12-11,0.046
J01-10004-1,2021-12-12,0.063
J01-10004-1,2021-12-13,0.081
J01-10004-1,2021-12-14,13.3
J01-10004-1,2021-12-15,0.072
J01-10004-1,2021-12-16,0.112
J01-10004-1,2021-12-17,0.062
J01-10004-1,2021-12-18,0.045
J01-10004-1,2021-12-19,0.054
J01-10004-1,2021-12-20,0.06
J01-10004-1,2021-12-21,0.056
J01-10004-1,2021-12-22,0.07
J01-10004-1,2021-12-23,4.4
J01-10004-1,2021-12-24,2.36
J01-10004-1,2021-12-25,0.26
J01-10004-1,2021-12-26,0.735
J01-10004-1,2021-12-27,0.267
J01-10004-1,2021-12-28,0.072
J01-10004-1,2021-12-29,0.966
J01-10004-1,2021-12-30,1.52
J01-10004-1,2021-12-31,0.088
J01-10004-1,2022-01-01,0.038
J01-10004-1,2022-01-02,0.03
J01-10004-1,2022-01-03,0.038
J01-10004-1,2022-01-04,0.039
J01-10004-1,2022-01-05,0.042
J01-10004-1,2022-01-06,0.038
J01-10004-1,2022-01-07,0.05
J01-10004-1,2022-01-08,0.046
J01-10004-1,2022-01-09,0.044
J01-10004-1,2022-01-10,0.033
J01-10004-1,2022-01-11,0.048
J01-10004-1,2022-01-12,0.045
J01-10004-1,2022-01-13,0.043
J01-10004-1,2022-01-14,0.056
J01-10004-1,2022-01-15,0.056
J01-10004-1,2022-01-16,0.056
J01-10004-1,2022-01-17,0.084
J01-10004-1,2022-01-18,0.068
J01-10004-1,2022-01-19,0.077
J01-10004-1,2022-01-20,0.061
J01-10004-1,2022-01-21,0.088
J01-10004-1,2022-01-22,0.094
J01-10004-1,2022-01-23,0.056
J01-10004-1,2022-01-24,0.078
J01-10004-1,2022-01-25,0.086
J01-10004-1,2022-01-26,0.088
J01-10004-1,2022-01-27,0.082
J01-10004-1,2022-01-28,0.064
J01-10004-1,2022-01-29,0.071
J01-10004-1,2022-01-30,0.085
J01-10004-1,2022-01-31,0.142
J01-10004-1,2022-02-01,0.106
J01-10004-1,2022-02-02,0.105
J01-10004-1,2022-02-03,0.114
J01-10004-1,2022-02-04,0.097
