FACILITYID,area_acres,JURISDICTI,AVGDISCHARGE,SAMPLEDRY,PERSISTENTFLOW
DP04-12015-1,178.90214373,LAGUNA BEACH,0.010065,NA,Unknown
DP06-12106-1,66.54528569,DANA POINT,0.227,NA,Yes
I00-11437-1,605.19208238,LAGUNA BEACH,0.086666000000000007,1,Yes
I00-11453-1,342.08954194,LAGUNA BEACH,0.013896,NA,Unknown
I00-11468-1,223.33679991,LAGUNA BEACH,0.039855,1,Yes
I00-11518-1,645.16066542,LAGUNA BEACH,0.079534,NA,Unknown
I01-11010-1,12.1490758,LAGUNA BEACH,0.03819,1,Yes
I01-11015-2,245.37795985,LAGUNA BEACH,0,NA,Unknown
I01-11023-1,4.24010907,LAGUNA BEACH,0.002155,1,Yes
I01-11023-2,16.81555601,LAGUNA BEACH,2.04e-4,NA,Unknown
I01-11023-3,36.18156164,LAGUNA BEACH,0,NA,Unknown
I01-11023-4,6.44034236,LAGUNA BEACH,0,NA,Unknown
I01-11023-5,12.44670623,LAGUNA BEACH,0,NA,Unknown
I01-11059-1,282.44365092,LAGUNA BEACH,0,NA,Unknown
I01-11059-2,9.28778099,LAGUNA BEACH,0,NA,Unknown
I01-11077-1,118.05411389,LAGUNA BEACH,0,NA,Unknown
I01-11093-1,87.63278849,LAGUNA BEACH,0,NA,Unknown
I01-11093-2,296.78090067,LAGUNA BEACH,0,NA,Unknown
I01-11216-1 (I02P13),231.31390007,ALISO VIEJO,NA,NA,Yes
I01-11216-3,4.87418855,ALISO VIEJO,NA,NA,Yes
I01-11217-1,35.66443538,ALISO VIEJO,0.001777,NA,Unknown
I01-11343-1,33.3408069,LAGUNA WOODS,0,1,Yes
I01-11343-2 (I02P18),46.81104081,LAGUNA WOODS,0.007519,1,Yes
I01-11487-1,5606.22157779,LAGUNA BEACH,0,NA,Unknown
I01-11487-2,134.7247304,LAGUNA BEACH,0.008375,NA,Unknown
I01-11502-1,25.92502892,ALISO VIEJO,NA,NA,Yes
I01-11503-3,90.98036764,ALISO VIEJO,0,NA,Yes
J01-10004-1 (J01P01),479.88775953,LAKE FOREST,0.31136,1,Yes
J01-10004-2,11.76218814,LAKE FOREST,7.54e-4,NA,Yes
J01-10006-1,23.20308578,LAKE FOREST,0,NA,Yes
J01-10012-3,31.14614857,MISSION VIEJO,0,NA,Unknown
J01-10017-1 (J01TBN4),17.42256719,ALISO VIEJO,0.015398,NA,Yes
J01-10019-1 (J01P33),72.93906351,ALISO VIEJO,0.007265,NA,Yes
J01-10041-2 (J03P13),374.69432682,LAGUNA NIGUEL,2.4525,NA,Yes
J01-9005-1 (J03P05),127.79044152,LAGUNA NIGUEL,0.033498,NA,Yes
J01-9005-3,201.89063791,LAGUNA NIGUEL,0.303774,NA,Yes
J01-9007-1 (J02P05),145.61257767,ALISO VIEJO,0.11084,1,Yes
J01-9008-1 (J01P30),211.57209037,ALISO VIEJO,0.0542,NA,Yes
J01-9031-1,298.95942316,LAKE FOREST,0.037166,1,Unknown
J01-9040-1,146.1265793,LAKE FOREST,0.449715,NA,Yes
J01-9046-1,65.72077069,LAKE FOREST,0.00512,NA,Unknown
J01-9046-2,46.36377902,LAKE FOREST,0.107098,NA,Unknown
J01-9046-3,15.52791748,LAKE FOREST,0.002881,NA,Yes
J01-9066-1 (J01P04),82.12170635,MISSION VIEJO,0.014702,NA,Yes
J01-9066-2 (J01P03),420.34930926,MISSION VIEJO,0.089177,NA,Yes
J01-9082-2,124.66076066,ALISO VIEJO,0.143136,1,Yes
J01-9082-3,124.66076066,ALISO VIEJO,0.005369,NA,Unknown
J01-9082-4,124.66076066,ALISO VIEJO,0.020881,NA,Yes
J01-9144-1 (J01P23),175.4581519,LAGUNA NIGUEL,0.018688,NA,Yes
J01-9144-4 (J01P26),193.49295991,ALISO VIEJO,0.004465,NA,Yes
J01-9224-1 (J01P24),222.46726525,LAGUNA NIGUEL,0.024552,1,Yes
J01-9224-2 (J01P25),222.46726525,LAGUNA NIGUEL,0.097083,1,Yes
J01-9259-3,140.75505759,LAKE FOREST,0.00601,NA,Yes
J01-9264-1 (J01P06),680.93059513,LAKE FOREST,NA,NA,Yes
J01-9273-1,30.68945533,LAGUNA WOODS,0.00103,1,Yes
J01-9275-1,27.09901317,LAKE FOREST,0.003,NA,Unknown
J01-9275-2,42.7322098,LAKE FOREST,0,NA,Unknown
J01-9313-1,137.37665275,ALISO VIEJO,0.05,NA,Yes
J01-9349-1,69.7067491,LAKE FOREST,0.00615,1,Unknown
J01-9364-3 (J01P21),167.87337148,ORANGE CO,3.673333,NA,Yes
J01-9364-4,42.33257611,ORANGE CO,0,NA,Unknown
J01-9377-1,34.4468196,LAKE FOREST,0.001959,1,Unknown
J01-9782-1 (J01TBN3),30.80686795,LAKE FOREST,0.00112,NA,Unknown
J01-9785-1,21.25657462,LAKE FOREST,0.005998,NA,Yes
J03-9215-1,65.12825351,LAGUNA NIGUEL,NA,NA,Yes
J03-9215-3,155.28755892,LAGUNA NIGUEL,0.037748,NA,Yes
J03-9216-1 (J03P01),13.41168034,LAGUNA NIGUEL,0.012897,NA,Yes
J03-9216-2,1123.28596907,LAGUNA NIGUEL,1.41452,NA,Yes
J03-9234-5,131.49969178,LAGUNA NIGUEL,0.013475000000000001,NA,Yes
J03-9234-6,232.09078171,LAGUNA NIGUEL,1.290672,NA,Yes
J03-9368-1 (J03TBN1),92.34354303,LAGUNA NIGUEL,0.004992,NA,Yes
J03-9368-2 (J03TBN2),34.23122305,LAGUNA NIGUEL,0.024509,NA,Yes
J04-9249-1,1643.4542726,LAGUNA NIGUEL,1.377561,NA,Yes
J05-9255-1 (J05P01),70.04513345,LAGUNA HILLS,0,NA,Yes
J05-9800-2,25.47292658,LAGUNA HILLS,0,NA,Unknown
J07-9022-1,82.52382766,MISSION VIEJO,0.001114,NA,Yes
J07-9110-1,102.11849185,MISSION VIEJO,0.004715,NA,Yes
K01-12032-2 (K01P11),126.84724993,LAGUNA NIGUEL,0.061363,NA,Yes
K01-12036-1,137.80531846,LAGUNA NIGUEL,0.021221,NA,Yes
K01-12036-10,185.37165068,LAGUNA NIGUEL,0.005224,NA,Unknown
K01-12036-5,28.07626103,LAGUNA NIGUEL,0.047461,NA,Yes
K01-12058-1 (K01P08),329.52135056,LAGUNA NIGUEL,0.205335,NA,Yes
K01-12138-1 (K01TBN1),90.83218137,LAGUNA NIGUEL,0.0344,NA,Yes
K01-12155-1,63.75808645,LAGUNA NIGUEL,4.4e-4,NA,Unknown
