FacilityID,Date,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,VolumeDischargeCFS,rain_gage,wet_within_72,GlobalID,QInscfs
DP01-12022-1,2022-07-12,Direct Connection,Flowing,Yes,,NA,NA,DANAPOINT,FALSE,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},NA
DP01-12022-1,2022-09-26,Direct Connection,Flowing,Yes,,0.0078,NA,DANAPOINT,FALSE,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},0.0078
DP01-12022-2,2022-07-12,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,DANAPOINT,FALSE,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},0
DP01-12022-2,2022-09-26,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,DANAPOINT,FALSE,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},0
DP04-12015-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,,NA,NA,LAGUNABEACH,FALSE,{B9E368D1-0601-4D99-B7EE-076F034D1D23},NA
DP04-12015-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,,NA,NA,LAGUNABEACH,FALSE,{B9E368D1-0601-4D99-B7EE-076F034D1D23},NA
DP06-12106-1,2022-07-12,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,DANAPOINT,FALSE,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},NA
DP06-12106-1,2022-09-26,None - Flow Infiltrates or Outfall is Dry,Flowing,Yes,,0.09,NA,DANAPOINT,FALSE,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},0.09
I00-11437-1,2022-06-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},NA
I00-11437-1,2022-09-07,Undetermined,Pooled or Ponded,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},NA
I00-11453-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{171AC70D-B722-42FD-9ADA-813B331846A7},0
I00-11453-1,2022-08-16,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{171AC70D-B722-42FD-9ADA-813B331846A7},0
I00-11468-1,2022-06-21,Direct Connection,Flowing,Yes,Yes,0.0192,NA,LAGUNABEACH,FALSE,{60A6CD6E-DA16-422B-8EDA-6D2EFD365167},0.0192
I00-11468-1,2022-09-07,Direct Connection,Flowing,Yes,Yes,0.005263,NA,LAGUNABEACH,FALSE,{60A6CD6E-DA16-422B-8EDA-6D2EFD365167},0.005263
I00-11518-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{77142EB8-ED5A-457E-A15B-0DA4FE92CCF2},NA
I00-11518-1,2022-08-16,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{77142EB8-ED5A-457E-A15B-0DA4FE92CCF2},0
I00-11518-2,2022-07-05,Direct Connection,Flowing,Yes,,NA,NA,LAGUNABEACH,FALSE,{43927D34-5C8D-480F-9527-A565DA0C7C0C},NA
I01-11010-1,2022-06-21,Direct Connection,Flowing,Yes,Yes,0.007407,NA,LAGUNABEACH,FALSE,{25FC0B7A-A34B-48D1-86FD-00FA62D21B2B},0.007407
I01-11010-1,2022-09-07,Direct Connection,Flowing,Yes,Yes,NA,0.014,LAGUNABEACH,FALSE,{25FC0B7A-A34B-48D1-86FD-00FA62D21B2B},0.014
I01-11015-2,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{7466B2A4-CC2D-4862-BC7C-0ABA52F841B0},0
I01-11015-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{7466B2A4-CC2D-4862-BC7C-0ABA52F841B0},0
I01-11015-3,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{DB9C2669-FA77-4FA1-A76C-F2D11E0410E4},0
I01-11015-3,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{DB9C2669-FA77-4FA1-A76C-F2D11E0410E4},0
I01-11023-1,2022-06-21,Direct Connection,Pooled or Ponded,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},NA
