Jurisdiction,FacilityID,ObsRecordDate,FlowCondition,PersistentFlow,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,OCFSLocation,MaintenanceIssue,FlowConnectivity,PointY,PointX,Date
Aliso Viejo,I01-11216-1 (I02P13),6/28/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,Not present,,,,,,,Undetermined,33.59874987,-117.7472414,2022-06-28
Aliso Viejo,I01-11216-1 (I02P13),9/14/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,"Brown ""tea"" tint",,Moderate (11-50 Items),Within area surrounding outfall,,,Overgrown,Undetermined,33.59874987,-117.7472414,2022-09-14
Aliso Viejo,I01-11216-2 (I02P12),6/28/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,"Brown ""tea"" tint",,,,,,,,33.59875002,-117.7472017,2022-06-28
Aliso Viejo,I01-11216-2 (I02P12),9/14/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,Not present,,Moderate (11-50 Items),Within area surrounding outfall,,,,Undetermined,33.59875002,-117.7472017,2022-09-14
Aliso Viejo,I01-11216-3,6/28/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,Not present,,,,,,,Undetermined,33.59871601,-117.7470641,2022-06-28
Aliso Viejo,I01-11216-3,9/14/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,"Brown ""tea"" tint",,Moderate (11-50 Items),Within area surrounding outfall,,,Overgrown,Undetermined,33.59871601,-117.7470641,2022-09-14
Aliso Viejo,I01-11216-4 (I02P14),6/28/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,Not present,,,,,,,Undetermined,33.59823241,-117.7462112,2022-06-28
Aliso Viejo,I01-11216-4 (I02P14),9/14/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,Green tint,Wet water mark; plastic bottles floating in dissipator,Sparse (<10 Items),In flow path of outfall,,,,Undetermined,33.59823241,-117.7462112,2022-09-14
Aliso Viejo,I01-11217-1,6/28/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,,,,,,None - Flow Infiltrates or Outfall is Dry,33.59737837,-117.7462887,2022-06-28
Aliso Viejo,I01-11217-1,9/14/2022,Pooled or Ponded,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,"Brown ""tea"" tint",,Sparse (<10 Items),In flow path of outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.59737837,-117.7462887,2022-09-14
Aliso Viejo,I01-11503-3,6/28/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.5934822,-117.7493187,2022-06-28
Aliso Viejo,I01-11503-3,9/14/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,Sediment,Partial - Significant Distance,33.5934822,-117.7493187,2022-09-14
Aliso Viejo,I01-11503-5,6/28/2022,Pooled or Ponded,Unknown,,NA,NA,NA,NA,,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.59354235,-117.7495222,2022-06-28
Aliso Viejo,I01-11503-5,9/14/2022,Pooled or Ponded,Unknown,,NA,NA,NA,NA,,Not present,Not present,2/3 buried,Moderate (11-50 Items),Within area surrounding outfall,,,Sediment,Direct Connection,33.59354235,-117.7495222,2022-09-14
Aliso Viejo,J01-10017-1 (J01TBN4),6/28/2022,Flowing,Yes,Priority,43,NA,0,0.004,Below Average Discharge,,,,,,,,,,33.57090835,-117.7170737,2022-06-28
Aliso Viejo,J01-10017-1 (J01TBN4),6/28/2022,Flowing,Yes,Priority,43,NA,0.01,NA,Below Average Discharge,Not present,Not present,500 mL per five sec,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.57090835,-117.7170737,2022-06-28
Aliso Viejo,J01-10017-1 (J01TBN4),7/13/2022,Flowing,Yes,Priority,43,NA,0.009,0.002,Below Average Discharge,,,SWN meter inspected,,,,,,,33.57090835,-117.7170737,2022-07-13
Aliso Viejo,J01-10017-1 (J01TBN4),7/13/2022,Flowing,Yes,Priority,43,NA,0.009109,NA,Below Average Discharge,"Brown ""tea"" tint",Not present,L/R: 0.01? 400ml/5.8s,Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.57090835,-117.7170737,2022-07-13
Aliso Viejo,J01-10019-1 (J01P33),7/13/2022,Flowing,Yes,Priority,27,NA,0.002795,NA,20% Or More Above Average Discharge,"Brown ""tea"" tint",Not present,50ml in 5s. Same depth throughout,Not Present (0 Items),,,,Overgrown,Direct Connection,33.56456651,-117.7184508,2022-07-13
Aliso Viejo,J01-10019-1 (J01P33),7/13/2022,Flowing,Yes,Priority,27,NA,0.003,0,20% Or More Above Average Discharge,,,SWN meter inspected,,,,,,,33.56456651,-117.7184508,2022-07-13
Aliso Viejo,J01-10019-1 (J01P33),9/14/2022,Flowing,Yes,Priority,27,2130,0.0096,NA,20% Or More Above Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,Overgrown,Undetermined,33.56456651,-117.7184508,2022-09-14
Aliso Viejo,J01-9007-1 (J02P05),6/23/2022,Flowing,Yes,Priority,49,NA,0.06,0.025,Below Average Discharge,,,,,,Yes,Yes,,,33.55864514,-117.7378266,2022-06-23
Aliso Viejo,J01-9007-1 (J02P05),6/23/2022,Flowing,Yes,Priority,49,1577,0.054,NA,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,None,Undetermined,33.55864514,-117.7378266,2022-06-23
Aliso Viejo,J01-9007-1 (J02P05),7/13/2022,Flowing,Yes,Priority,49,NA,0.07,NA,Below Average Discharge,Not present,Not present,A lot of sediment in apron of flow path.,Abundant (>50 Items),In flow path of outfall,Yes,Yes,Sediment,Unsafe to Access,33.55864514,-117.7378266,2022-07-13
Aliso Viejo,J01-9007-1 (J02P05),7/13/2022,Flowing,Yes,Priority,49,NA,0.07,0.022,Below Average Discharge,,,SWN meter inspected,,,Yes,Yes,,,33.55864514,-117.7378266,2022-07-13
Aliso Viejo,J01-9007-1 (J02P05),9/8/2022,Flowing,Yes,Priority,49,NA,NA,0.053,Below Average Discharge,,,,,,Yes,Yes,,,33.55864514,-117.7378266,2022-09-08
Aliso Viejo,J01-9007-1 (J02P05),9/8/2022,Flowing,Yes,Priority,49,1929,0.079481,NA,Below Average Discharge,Not present,Clear,Foamy water coming out of outfall.,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,None,Undetermined,33.55864514,-117.7378266,2022-09-08
Aliso Viejo,J01-9008-1 (J01P30),6/28/2022,Flowing,Yes,Priority,62,NA,NA,0.007,Below Average Discharge,,,,,,,Yes,,,33.576771720000004,-117.7133093,2022-06-28
Aliso Viejo,J01-9008-1 (J01P30),6/28/2022,Flowing,Yes,Priority,62,NA,0.070588,NA,Below Average Discharge,Not present,Not present,1000 mL per five sec,Sparse (<10 Items),In flow path of outfall,,Yes,,Direct Connection,33.576771720000004,-117.7133093,2022-06-28
Aliso Viejo,J01-9008-1 (J01P30),7/1/2022,Flowing,Yes,Priority,62,NA,0.008506,NA,Below Average Discharge,Not present,Not present,Sediment accumulation.,Moderate (11-50 Items),In flow path of outfall,,Yes,Graffiti,Direct Connection,33.576771720000004,-117.7133093,2022-07-01
Aliso Viejo,J01-9008-1 (J01P30),7/1/2022,Flowing,Yes,Priority,62,NA,0.171,0.013,Below Average Discharge,,,,,,,Yes,,,33.576771720000004,-117.7133093,2022-07-01
Aliso Viejo,J01-9082-2,6/23/2022,Flowing,Yes,Priority,57,1403.2,0.1,NA,Below Average Discharge,Not present,Clear,,Not Present (0 Items),,Yes,Yes,Graffiti,Direct Connection,33.5815891,-117.7457601,2022-06-23
Aliso Viejo,J01-9082-2,7/13/2022,Flowing,Yes,Priority,57,NA,0.041143,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,,Direct Connection,33.5815891,-117.7457601,2022-07-13
Aliso Viejo,J01-9082-2,7/13/2022,Flowing,Yes,Priority,57,NA,0.103,0.013,Below Average Discharge,,,SWN meter inspected,,,Yes,Yes,,,33.5815891,-117.7457601,2022-07-13
Aliso Viejo,J01-9082-2,8/22/2022,Flowing,Yes,Priority,57,NA,NA,0.032,Below Average Discharge,,,,,,Yes,Yes,,,33.5815891,-117.7457601,2022-08-22
Aliso Viejo,J01-9082-2,8/22/2022,Flowing,Yes,Priority,57,1313,0.066965,NA,Below Average Discharge,Not present,Not present,Turb 1.31,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,Graffiti,Direct Connection,33.5815891,-117.7457601,2022-08-22
Aliso Viejo,J01-9082-3,6/23/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.58158523,-117.7457369,2022-06-23
