OBJECTID,LOCDESC,SIZE1,LASTUPDATE,LASTEDITOR,SIZE2,SIZE3,CatchID,DrainID,INSPECTED,FACTYPE,JURISDICTI,MANAGEMENT,GlobalID,PRIORITY,FLOWMONITSTATUS,FLOWMONITDEPLOY,FLOWMONITRETURN,NEXTINSPECTION,POINT_X,POINT_Y,PERSISTENTFLOW,FACILITYID,SURVEYLINK,ACCESSIBILITY,FLOWMEASCOUNT,LASTDISCHARGE,LASTDISCHARGETREND,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE,PRIORITIZATIONSCORE2022,SAMPLECHWSRSDRY,SAMPLECHWSRSWET,SAMPLEDRY,SAMPLEWET,OCFSLOCATION
1,J02P05.  Border of Aliso and Wood Canyons Park and Crimson Cyn,66,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9007,J01,Verified,Outfall,ALISO VIEJO,SOUTH,{6367FF6D-1FC8-4E27-B1F3-A8005D44345E},Priority,3,2016-06-09T07:00:00Z,2016-06-24T07:00:00Z,NA,-117.73782664,33.55864514,Yes,J01-9007-1 (J02P05),NA,Easily accessibility,20,0.079481,Below Average Discharge,0.89975,0.052975,2.8305,0.11084,0.237944,0.042,49,NA,NA,Yes,NA,Yes
2,NA,NA,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9364,J01,Not-Found,Outfall,ORANGE CO,SOUTH,{B505EE57-E554-47FD-BAEF-02EE63B94683},NA,NA,NA,NA,NA,-117.72243055,33.54941526,Unknown,J01-9364-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,66,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9364,J01,Verified,Outfall,ORANGE CO,SOUTH,{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C},NA,NA,NA,NA,NA,-117.72129019,33.54985427,Yes,J01-9364-3 (J01P21),NA,Easily accessibility,1,3.673333,Equal,5.8,1.9,18,3.673333,3.673333,3.673333,NA,NA,NA,NA,NA,NA
4,J03P02.Alicia Parkway near Aliso and Wood Canyon Park ,72,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9221,J03,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{B349E3D1-F18C-44B9-A54D-9A854691EE96},Priority,3,2016-06-01T07:00:00Z,2016-06-15T07:00:00Z,NA,-117.71717116,33.54994727,Yes,J03-9221-1 (J03P02),NA,Easily accessibility,17,0.158257,Below Average Discharge,1.23411764,0.08127058,4.65235294,0.215297,0.6,0.032,47,NA,NA,Yes,NA,Yes
5,L01S04,96,2022-10-04T23:23:13Z,OCENVRESUSER,NA,NA,727,L01,Verified,Outfall,DANA POINT,SOUTH,{798A1AA2-7443-4216-9DB2-0FB1B57E4222},NA,3,2017-05-10T00:00:00Z,2017-07-03T00:00:00Z,NA,-117.68101162,33.47115503,Unknown,L01-727-1 (L01S04),NA,Easily accessibility,17,0,Below Average Discharge,0.68294117,0.03647058,2.89529411,0.065621,0.305882,0,NA,NA,NA,NA,NA,NA
6,L02P25,90,2022-10-05T21:21:27Z,OCENVRESUSER,NA,NA,166,L02,Verified,Outfall,RANCHO SANTA MARGARITA,SOUTH,{FF3574C5-E460-4A7F-94BD-7DEF35298977},NA,3,2016-10-04T07:00:00Z,2016-12-08T08:00:00Z,NA,-117.6178921,33.63763055,Yes,L02-166-2 (L02P25),NA,Easily accessibility,17,0.121333,Below Average Discharge,1.55,0.08547058,3.84470588,0.243318,0.559565,0.086349,NA,NA,NA,NA,Yes,NA
7,L02P45 (access at Arroyo Vista and Paraiso),42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,204,L02,Verified,Outfall,RANCHO SANTA MARGARITA,SOUTH,{41CB5673-9B11-493E-B0F9-13C85AD6312E},NA,NA,NA,NA,NA,-117.62331782,33.61913433,Yes,L02-204-1 (L02P45),NA,Difficult accessibility,9,0.013333,Below Average Discharge,0.72222222,0.02555555,5.93666666,0.021742,0.06,0.003333,NA,NA,NA,NA,NA,NA
8,L02P50,102,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,374,L02,Verified,Outfall,ORANGE CO,SOUTH,{5DF64E4A-01D2-4F6C-919E-DCBB0BDD3E55},Priority,3,2016-05-25T07:00:00Z,2016-06-09T07:00:00Z,NA,-117.64601249,33.56985508,Yes,L02-374-1 (L02P50),NA,Easily accessibility,12,0.099884,Below Average Discharge,1.33833333,0.08966666,4.0125,0.192857,0.684,0.042,66,NA,NA,Yes,NA,NA
9,COL02P55,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,401,L02,Verified,Outfall,ORANGE CO,SOUTH,{6D0EBCA6-4D3F-4C1C-894E-0641CFB65C37},NA,NA,NA,NA,NA,-117.65073625,33.56248669,Yes,L02-401-2 (COL02P55),NA,Easily accessibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,J01P26,78,2022-10-03T23:33:10Z,OCENVRESUSER,NA,NA,9144,J01,Verified,Outfall,ALISO VIEJO,SOUTH,{55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5},NA,NA,NA,NA,NA,-117.7186966,33.5591058,Yes,J01-9144-4 (J01P26),NA,Easily accessibility,6,0,Below Average Discharge,1.005,0.04947916,78,0.004465,0.0105,0,NA,NA,NA,NA,NA,NA
11,J01P27; Woodfield Park,90,2022-10-05T21:16:40Z,OCENVRESUSER,NA,NA,9992,J01,Verified,Outfall,ALISO VIEJO,SOUTH,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},Priority,NA,2018-03-13T16:36:46Z,NA,NA,-117.71661229,33.57325594,Yes,J01-9992-1 (J01P27),NA,Easily accessibility,28,0.066991,Below Average Discharge,1.52714285,0.07233214,7.34857142,0.171031,2.113636,0.033,66,NA,NA,Yes,Yes,Yes
12,J01P28 - Treatment system ,96,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9131,J01,Verified,Outfall,ALISO VIEJO,SOUTH,{3F8450D4-0881-4A9D-829A-4B4707912F53},Priority,2,2016-05-26T07:00:00Z,NA,NA,-117.71586502,33.57471343,Unknown,J01-9131-1 (J01P28),NA,Difficult accessibility,16,0.069231,Above Average Discharge,0.73875,0.0375,3.251875,0.068157,0.336,0,51,NA,NA,Yes,NA,Yes
13,J01P33,42,2022-10-04T00:13:45Z,OCENVRESUSER,NA,NA,10019,J01,Verified,Outfall,ALISO VIEJO,SOUTH,{65AB7468-482A-4869-8212-F73F5CC03224},Priority,NA,NA,NA,NA,-117.71845083,33.56456651,Yes,J01-10019-1 (J01P33),NA,Difficult accessibility,14,0.0096,20% Or More Above Average Discharge,0.38042857,0.02074285,11.58214285,0.007265,0.025714,6e-4,27,NA,NA,NA,NA,NA
14,L11P01,66,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,640,L02,Verified,Outfall,RANCHO SANTA MARGARITA,SOUTH,{47F2CB46-F01F-4454-981E-098E7CCE32F4},Priority,3,2016-06-16T07:00:00Z,2016-06-30T07:00:00Z,NA,-117.61660036,33.6104653,Yes,L02-246-1 (L11P01),NA,Unaccessible,13,0.06,20% Or More Above Average Discharge,1.1576923,0.05846153,8.94153846,0.046996,0.08775,0.018,71,NA,NA,Yes,NA,NA
15,L11P02,90,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,640,L02,Verified,Outfall,RANCHO SANTA MARGARITA,SOUTH,{8E259E70-CE94-4F00-A10B-A23719A46C04},NA,3,2016-09-01T00:00:00Z,2016-10-04T22:49:33Z,NA,-117.60923769,33.61878658,Yes,L02-640-1 (L11P02),NA,Unsafe accessibility,6,0.54,20% Or More Above Average Discharge,1.23333333,0.09,4.16666666,0.163333,0.54,0,NA,NA,NA,NA,NA,NA
