JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
MISSION VIEJO,Total,d10-Acenaphthene,0.043967357674317815,0.09600004336482738,0.1399674010391452
LAGUNA WOODS,Total,d10-Acenaphthene,0.007018115902421674,0,0.007018115902421674
LAGUNA NIGUEL,Total,d10-Acenaphthene,0.05387428245705683,0.41228400693555894,0.4661582893926158
ALISO VIEJO,Total,d10-Acenaphthene,0.019876894010677007,0.5974469923197355,0.6173238863304126
RANCHO SANTA MARGARITA,Total,d10-Acenaphthene,0.0758265804872638,0.038074922582917434,0.11390150307018124
ORANGE CO,Total,d10-Acenaphthene,0.14333591100230925,0.23580399114037404,0.3791399021426833
LAGUNA HILLS,Total,d10-Acenaphthene,0.003769058475222646,0.16409186911230186,0.16786092758752452
LAKE FOREST,Total,d10-Acenaphthene,0.01336797615515755,0.049054284764567614,0.062422260919725164
LAGUNA BEACH,Total,d10-Acenaphthene,0.0017495932998537746,0.007919903343160964,0.009669496643014738
SAN JUAN CAPISTRANO,Total,d10-Acenaphthene,0.013538721790052199,0.012578394607436727,0.026117116397488926
DANA POINT,Total,d10-Acenaphthene,0.024178091560481278,0.04486225191047183,0.06904034347095311
SAN CLEMENTE,Total,d10-Acenaphthene,0.02111541887068469,0.06433348710165956,0.08544890597234425
MISSION VIEJO,Total,d10-Phenanthrene,0.050780146116492175,0.11109639569905272,0.1618765418155449
LAGUNA WOODS,Total,d10-Phenanthrene,0.0075928123516010495,0,0.0075928123516010495
LAGUNA NIGUEL,Total,d10-Phenanthrene,0.051667602039595986,0.4574953079572129,0.5091629099968089
ALISO VIEJO,Total,d10-Phenanthrene,0.023080976631920998,0.6863161325616991,0.7093971091936201
RANCHO SANTA MARGARITA,Total,d10-Phenanthrene,0.11382096968463853,0.05202808196320343,0.16584905164784197
ORANGE CO,Total,d10-Phenanthrene,0.17300175524386696,0.2873652785527838,0.4603670337966508
LAGUNA HILLS,Total,d10-Phenanthrene,0.004067176094731782,0.17707088700819015,0.18113806310292194
LAKE FOREST,Total,d10-Phenanthrene,0.016384628032936478,0.05761204160823051,0.073996669641167
LAGUNA BEACH,Total,d10-Phenanthrene,0.002035680598058672,0.009210554258342751,0.011246234856401423
SAN JUAN CAPISTRANO,Total,d10-Phenanthrene,0.01489223119182469,0.014474327668201094,0.029366558860025784
DANA POINT,Total,d10-Phenanthrene,0.023073791010534132,0.04750912477318967,0.0705829157837238
SAN CLEMENTE,Total,d10-Phenanthrene,0.029755199688253242,0.08316513191447818,0.11292033160273142
MISSION VIEJO,Total,d12-Chrysene,0.048577471841164385,0.10928908591256098,0.15786655775372538
LAGUNA WOODS,Total,d12-Chrysene,0.007987544003253206,0,0.007987544003253206
LAGUNA NIGUEL,Total,d12-Chrysene,0.05219259900646935,0.4643128850953988,0.5165054841018681
ALISO VIEJO,Total,d12-Chrysene,0.020699492395920897,0.6247236591266748,0.6454231515225958
RANCHO SANTA MARGARITA,Total,d12-Chrysene,0.11950169777325681,0.05156934795618034,0.17107104572943715
ORANGE CO,Total,d12-Chrysene,0.20147579045085112,0.2886987601237944,0.49017455057464554
LAGUNA HILLS,Total,d12-Chrysene,0.00428011725152402,0.18634161407668176,0.19062173132820578
LAKE FOREST,Total,d12-Chrysene,0.01335472580983508,0.051346541061977315,0.0647012668718124
LAGUNA BEACH,Total,d12-Chrysene,0.0024237254093104235,0.010970532779045188,0.013394258188355612
SAN JUAN CAPISTRANO,Total,d12-Chrysene,0.01440978207565546,0.015208237240109885,0.029618019315765347
DANA POINT,Total,d12-Chrysene,0.022956926161891603,0.05230938572761015,0.07526631188950175
SAN CLEMENTE,Total,d12-Chrysene,0.024577225082960025,0.06548059236944548,0.0900578174524055
MISSION VIEJO,Total,d8-Naphthalene,0.03242084854013772,0.07250501614043442,0.10492586468057213
LAGUNA WOODS,Total,d8-Naphthalene,0.005356260023491695,0,0.005356260023491695
LAGUNA NIGUEL,Total,d8-Naphthalene,0.04433887982282886,0.34123767675867406,0.3855765565815029
ALISO VIEJO,Total,d8-Naphthalene,0.01320835995653609,0.40871005586526826,0.42191841582180434
RANCHO SANTA MARGARITA,Total,d8-Naphthalene,0.0640847344895101,0.03023821662960612,0.09432295111911622
ORANGE CO,Total,d8-Naphthalene,0.11466813911697563,0.17457496233813735,0.289243101455113
LAGUNA HILLS,Total,d8-Naphthalene,0.002874705616695238,0.125154815424637,0.12802952104133222
LAKE FOREST,Total,d8-Naphthalene,0.009822714429672585,0.03652328367206125,0.046345998101733836
LAGUNA BEACH,Total,d8-Naphthalene,0.0014698398047458864,0.006658585403324218,0.008128425208070104
SAN JUAN CAPISTRANO,Total,d8-Naphthalene,0.011815535414970567,0.010967870824636888,0.022783406239607455
DANA POINT,Total,d8-Naphthalene,0.020465789386379284,0.039299332673573315,0.0597651220599526
SAN CLEMENTE,Total,d8-Naphthalene,0.01708664379161462,0.04903875019784749,0.0661253939894621
MISSION VIEJO,Total,PCB030,0.04071487042609705,0.0902591769842065,0.13097404741030355
LAGUNA WOODS,Total,PCB030,0.007731263827144745,0,0.007731263827144745
LAGUNA NIGUEL,Total,PCB030,0.050195428300562187,0.4119251870861807,0.4621206153867429
ALISO VIEJO,Total,PCB030,0.019608883457268366,0.5728100029457257,0.5924188864029941
RANCHO SANTA MARGARITA,Total,PCB030,0.07415327532753604,0.03711922673495264,0.11127250206248868
ORANGE CO,Total,PCB030,0.11374288616566804,0.22158018771626092,0.33532307388192895
LAGUNA HILLS,Total,PCB030,0.004173646673127902,0.18170625054243592,0.1858798972155638
LAKE FOREST,Total,PCB030,0.013685527650510678,0.05165217523496527,0.06533770288547595
LAGUNA BEACH,Total,PCB030,0.002098234797384127,0.009474551036448115,0.011572785833832241
SAN JUAN CAPISTRANO,Total,PCB030,0.013479586819412559,0.012231826198479802,0.02571141301789236
DANA POINT,Total,PCB030,0.019522140765512754,0.0404657512232456,0.059987891988758354
SAN CLEMENTE,Total,PCB030,0.0167177533468327,0.05410513179723524,0.07082288514406794
MISSION VIEJO,Total,PCB112,0.046019402331136106,0.09982728761857466,0.14584668994971078
LAGUNA WOODS,Total,PCB112,0.007048793404023605,0,0.007048793404023605
LAGUNA NIGUEL,Total,PCB112,0.058126878979760106,0.4528306499152962,0.5109575288950563
ALISO VIEJO,Total,PCB112,0.020573131063244925,0.6097654870067403,0.6303386180699851
RANCHO SANTA MARGARITA,Total,PCB112,0.1162721771179905,0.05042251293862258,0.16669469005661308
ORANGE CO,Total,PCB112,0.12532705783930123,0.2666963142021195,0.3920233720414207
LAGUNA HILLS,Total,PCB112,0.0037903525909018703,0.16501894181915103,0.1688092944100529
LAKE FOREST,Total,PCB112,0.014031507770156274,0.0507352727160014,0.06476678048615768
LAGUNA BEACH,Total,PCB112,0.0022811312555527548,0.010295874346109252,0.012577005601662007
SAN JUAN CAPISTRANO,Total,PCB112,0.01329748150064479,0.012109507936495002,0.02540698943713979
