JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
ALISO VIEJO,Total,"Cadmium, Total",0.191874778,8.616735275,8.81
ALISO VIEJO,Dissolved,"Cadmium, Total",0.184496807,8.616735275,8.80
ALISO VIEJO,Total,"Chromium, Total",0.217271718,4.835497994,5.1
ALISO VIEJO,Dissolved,"Chromium, Total",0.185945238,4.835497994,5.02
ALISO VIEJO,Total,"Copper, Total",1.031357734,30.13631736,31
ALISO VIEJO,Dissolved,"Copper, Total",0.786928714,30.13631736,30.92
ALISO VIEJO,Total,"Iron, Total",20.29148249,580.1733137,600
ALISO VIEJO,Dissolved,"Iron, Total",5.853243115,580.1733137,586
ALISO VIEJO,Total,"Lead, Total",0.029645856,1.194698453,1.22
ALISO VIEJO,Dissolved,"Lead, Total",0.030984679,1.194698453,1.23
ALISO VIEJO,Total,"Manganese, Total",14.86073822,654.6620007,670
ALISO VIEJO,Dissolved,"Manganese, Total",13.1722288,654.6620007,668
ALISO VIEJO,Total,MBAS,48.68057164,1890.009042,"1,938.69"
ALISO VIEJO,Total,"Nickel, Total",1.4292216,50.55213835,52
ALISO VIEJO,Dissolved,"Nickel, Total",1.465803684,50.55213835,52
ALISO VIEJO,Total,"Silver, Total",0.022419269,0.703913982,0.73
ALISO VIEJO,Dissolved,"Silver, Total",0.022419269,0.703913982,0.73
ALISO VIEJO,Total,"Zinc, Total",5.625446249,169.2745528,175
ALISO VIEJO,Dissolved,"Zinc, Total",6.463542984,169.2745528,176
ALISO VIEJO,Total,Nitrate + Nitrite as N,1233.505406,40769.81795,42003.32336
ALISO VIEJO,Total,"Nitrogen, Total Kjeldahl",570.8426238,15963.20486,16534.04748
ALISO VIEJO,Total,Phosphorus as PO4,212.9856264,6929.153261,7142.138888
ALISO VIEJO,Total,TSS,519.233243,18717.71271,19236.94595
ALISO VIEJO,Total,Enterococcus,1.46E+13,7.84E+14,7.99E+14
ALISO VIEJO,Total,Fecal coliforms,7.47E+12,2.13E+14,2.21E+14
DANA POINT,Total,"Cadmium, Total",0.456093056,0.339382936,0.80
DANA POINT,Dissolved,"Cadmium, Total",0.357494871,0.339382936,0.70
DANA POINT,Total,"Chromium, Total",0.177797371,0.251509,0.43
DANA POINT,Dissolved,"Chromium, Total",0.103231603,0.251509,0.35
DANA POINT,Total,"Copper, Total",2.212640255,3.505984987,5.7
DANA POINT,Dissolved,"Copper, Total",1.437151911,3.505984987,4.94
DANA POINT,Total,"Iron, Total",92.8160385,81.03917185,174
DANA POINT,Dissolved,"Iron, Total",15.6283551,81.03917185,97
DANA POINT,Total,"Lead, Total",0.031002009,0.069985113,0.10
DANA POINT,Dissolved,"Lead, Total",0.028498161,0.069985113,0.10
DANA POINT,Total,"Manganese, Total",95.12510102,71.31752186,166
DANA POINT,Dissolved,"Manganese, Total",83.9224981,71.31752186,155
DANA POINT,Total,MBAS,20.48721293,37.10749122,57.59
DANA POINT,Total,"Nickel, Total",6.255227954,5.096992706,11
DANA POINT,Dissolved,"Nickel, Total",6.053973751,5.096992706,11
DANA POINT,Total,"Silver, Total",0.028498161,0.053834702,0.08
DANA POINT,Dissolved,"Silver, Total",0.028498161,0.053834702,0.08
DANA POINT,Total,"Zinc, Total",4.987842414,5.402696909,10
DANA POINT,Dissolved,"Zinc, Total",4.071133404,5.402696909,9.47
DANA POINT,Total,Nitrate + Nitrite as N,590.6829925,945.6962703,1536.379263
DANA POINT,Total,"Nitrogen, Total Kjeldahl",451.829183,914.7413165,1366.570499
DANA POINT,Total,Phosphorus as PO4,273.6740313,752.3399645,1026.013996
DANA POINT,Total,TSS,1258.519401,3472.338298,4730.857699
DANA POINT,Total,Enterococcus,5.81E+12,1.40E+13,1.98E+13
DANA POINT,Total,Fecal coliforms,2.81E+12,7.64E+12,1.04E+13
LAGUNA BEACH,Total,"Cadmium, Total",0.002595188,0.01173319,0.01
LAGUNA BEACH,Dissolved,"Cadmium, Total",0.002595188,0.01173319,0.01
LAGUNA BEACH,Total,"Chromium, Total",0.006015441,0.015722475,0.02
LAGUNA BEACH,Dissolved,"Chromium, Total",0.002595188,0.015722475,0.02
LAGUNA BEACH,Total,"Copper, Total",0.049633613,0.215597369,0.27
LAGUNA BEACH,Dissolved,"Copper, Total",0.045261617,0.215597369,0.26
LAGUNA BEACH,Total,"Iron, Total",2.119650852,4.693276055,6.8
LAGUNA BEACH,Dissolved,"Iron, Total",0.511919883,4.693276055,5.2
LAGUNA BEACH,Total,"Lead, Total",0.002595188,0.01173319,0.01
LAGUNA BEACH,Dissolved,"Lead, Total",0.002595188,0.01173319,0.01
LAGUNA BEACH,Total,"Manganese, Total",1.78462796,7.611907102,9.4
LAGUNA BEACH,Dissolved,"Manganese, Total",1.608681968,7.611907102,9.2
LAGUNA BEACH,Total,MBAS,0.648796897,2.933297535,3.58
LAGUNA BEACH,Total,"Nickel, Total",0.057834123,0.258130183,0.32
LAGUNA BEACH,Dissolved,"Nickel, Total",0.057834123,0.258130183,0.32
LAGUNA BEACH,Total,"Silver, Total",0.002595188,0.01173319,0.01
LAGUNA BEACH,Dissolved,"Silver, Total",0.002595188,0.01173319,0.01
LAGUNA BEACH,Total,"Zinc, Total",0.129759379,0.586659507,0.72
LAGUNA BEACH,Dissolved,"Zinc, Total",0.129759379,0.586659507,0.72
LAGUNA BEACH,Total,Nitrate + Nitrite as N,6.617988396,30.50629436,37.12428275
LAGUNA BEACH,Total,"Nitrogen, Total Kjeldahl",16.9752238,76.55906565,93.53428945
LAGUNA BEACH,Total,Phosphorus as PO4,10.51975968,47.51942006,58.03917974
