FACILITYID,JURISDICTI,PRIORITY,LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,Shape_Area,AREA,PERCENTAGE,JTribArea,EMCgroupArea,PerCentLU,,,,,,Agriculture ,Business ,Developed Open Space ,Highway/ Arterial ,Multi-Family ,Open Space ,Single Family ,Surface Street ,Water ,,,
J01-9144-4 (J01P26),ALISO VIEJO,1,COMM,10,Commercial,business,0.486,1304246.264,29.94149406,15.47418966,844.0407733,67.89061753,8.043523451,,,,,AV,0.05,8.04,23.02,0.44,19.33,4.79,27.09,17.23,0,100,,
J01-9144-4 (J01P26),ALISO VIEJO,1,EDU,20,Education,business,0.422,1135566.975,26.06913493,13.47289943,844.0407733,67.89061753,8.043523451,,,,,LN,0,1.62,26.94,0.51,4.89,20.23,33.31,12.50,0,100,,
J01-9144-4 (J01P26),ALISO VIEJO,1,IND,30,Light Industrial,business,0.414,17380.23212,0.398996824,0.206207229,844.0407733,67.89061753,8.043523451,,,,,LW,0,0.00,7.31,0,84.23,0.00,0.00,8.46,0,100,,
J01-9144-4 (J01P26),ALISO VIEJO,1,UTIL,40,Commercial,business,0.486,13327.4576,0.305957551,0.15812321,844.0407733,67.89061753,8.043523451,,,,,SJC,6.27,9.45,11.23,1.45,9.28,20.21,30.89,11.22,0,100,,
J01-9144-4 (J01P26),ALISO VIEJO,1,RESSFH,50,Single Family Residential,single family,0.405,856621.8238,19.66540979,10.16336326,844.0407733,228.6655408,27.09176476,,,,,,,,,,,,,,,,,
J01-9144-4 (J01P26),ALISO VIEJO,1,RESMF,52,Multi-family Residential,multi-family,0.485,2923729.019,67.11985111,34.68849296,844.0407733,163.1791047,19.33308318,,,,,,,,,,,,,,,,,
J01-9144-4 (J01P26),ALISO VIEJO,1,TRANS,60,Streets and Roads,surface street,0.471,1436697.264,32.98216278,17.04565047,844.0407733,145.4622325,17.2340291,,,,,,,,,,,,,,,,,
J01-9144-4 (J01P26),ALISO VIEJO,1,OSAGNI,71,Agriculture,agriculture,0.222,10049.83961,0.230713494,0.119236013,844.0407733,0.385679586,0.045694426,,,,,,,,,,,,,,,,,
J01-9144-4 (J01P26),ALISO VIEJO,1,OSDEV,75,Developed Open Space,developed open space,0.217,451510.1421,10.36528807,5.356928184,844.0407733,194.3175186,23.02229048,,,,,,,,,,,,,,,,,
J01-9144-4 (J01P26),ALISO VIEJO,1,OSIRR,76,Developed Open Space,developed open space,0.217,20298.90686,0.466000644,0.240835756,844.0407733,194.3175186,23.02229048,,,,,,,,,,,,,,,,,
J01-9144-4 (J01P26),ALISO VIEJO,1,OSLOW,77,Open Space,open space,0.078,259099.0396,5.948119285,3.074072581,844.0407733,40.46825577,4.79458541,,,,,,,,,,,,,,,,,
J01-9313-1,ALISO VIEJO,1,RESSFH,50,Single Family Residential,single family,0.405,3210351.823,73.6998316,53.64795616,844.0407733,228.6655408,27.09176476,,,,LAGUNA WOODS,1,RESMF,52,Multi-family Residential,multi-family,0.485,1790988.615,41.11560558,87.83305929,110.8414016,93.36619279,84.234042,
