JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
ALISO VIEJO,112756296.95986444,Total,d10-Acenaphthene,84.875,ng/L,9570190704.468494,0.5974469923197355
ALISO VIEJO,112756296.95986444,Total,d10-Phenanthrene,97.5,ng/L,10993738953.586782,0.6863161325616991
ALISO VIEJO,112756296.95986444,Total,d12-Chrysene,88.75,ng/L,10007121355.18797,0.6247236591266748
ALISO VIEJO,112756296.95986444,Total,d8-Naphthalene,58.0625,ng/L,6546912492.232129,0.40871005586526826
ALISO VIEJO,112756296.95986444,Total,PCB030,81.375,ng/L,9175543665.108969,0.5728100029457257
ALISO VIEJO,112756296.95986444,Total,PCB112,86.625,ng/L,9767514224.148256,0.6097654870067403
ALISO VIEJO,112756296.95986444,Total,PCB198,94.5,ng/L,10655470062.70719,0.6651987130982622
ALISO VIEJO,112756296.95986444,Total,TCMX,65,ng/L,7329159302.391189,0.45754408837446603
ALISO VIEJO,112756296.95986444,Total,"2,4'-DDD",1,ng/L,112756296.95986444,0.007039139821145631
ALISO VIEJO,112756296.95986444,Total,"2,4'-DDE",1,ng/L,112756296.95986444,0.007039139821145631
ALISO VIEJO,112756296.95986444,Total,"2,4'-DDT",1,ng/L,112756296.95986444,0.007039139821145631
ALISO VIEJO,112756296.95986444,Total,"4,4'-DDD",1,ng/L,112756296.95986444,0.007039139821145631
ALISO VIEJO,112756296.95986444,Total,"4,4'-DDE",1,ng/L,112756296.95986444,0.007039139821145631
ALISO VIEJO,112756296.95986444,Total,"4,4'-DDT",1,ng/L,112756296.95986444,0.007039139821145631
ALISO VIEJO,112756296.95986444,Total,Acenaphthene,2.5,ng/L,281890742.39966106,0.017597849552864076
ALISO VIEJO,112756296.95986444,Total,Acenaphthylene,2.5,ng/L,281890742.39966106,0.017597849552864076
ALISO VIEJO,112756296.95986444,Total,Aldrin,2.5,ng/L,281890742.39966106,0.017597849552864076
ALISO VIEJO,112756296.95986444,Total,Anthracene,2.5,ng/L,281890742.39966106,0.017597849552864076
ALISO VIEJO,112756296.95986444,Total,Benz[a]anthracene,2.5,ng/L,281890742.39966106,0.017597849552864076
ALISO VIEJO,112756296.95986444,Total,Benzo[a]pyrene,2.86,ng/L,322483009.30521226,0.020131939888476506
ALISO VIEJO,112756296.95986444,Total,Benzo[b]fluoranthene,4.099,ng/L,462188061.2384843,0.028853434126875944
ALISO VIEJO,112756296.95986444,Total,"Benzo[g,h,i]perylene",3.2487500000000002,ng/L,366317019.7483596,0.02286840549394687
ALISO VIEJO,112756296.95986444,Total,Benzo[k]fluoranthene,2.9055555555555554,ng/L,327619685.0556061,0.02045261181366203
ALISO VIEJO,112756296.95986444,Total,BHC-alpha,2.5,ng/L,281890742.39966106,0.017597849552864076
ALISO VIEJO,112756296.95986444,Total,BHC-beta,2.5,ng/L,281890742.39966106,0.017597849552864076
ALISO VIEJO,112756296.95986444,Total,BHC-delta,2.5,ng/L,281890742.39966106,0.017597849552864076
ALISO VIEJO,112756296.95986444,Total,BHC-gamma,2.5,ng/L,281890742.39966106,0.017597849552864076
ALISO VIEJO,112756296.95986444,Total,Bolstar (Sulprofos),2,ng/L,225512593.91972888,0.014078279642291263
