JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
ALISO VIEJO,Total,d10-Acenaphthene,ng/L,0.5974469923197355,0.5974469923197355
ALISO VIEJO,Total,d10-Phenanthrene,ng/L,0.6863161325616991,0.6863161325616991
ALISO VIEJO,Total,d12-Chrysene,ng/L,0.6247236591266748,0.6247236591266748
ALISO VIEJO,Total,d8-Naphthalene,ng/L,0.40871005586526826,0.40871005586526826
ALISO VIEJO,Total,PCB030,ng/L,0.5728100029457257,0.5728100029457257
ALISO VIEJO,Total,PCB112,ng/L,0.6097654870067403,0.6097654870067403
ALISO VIEJO,Total,PCB198,ng/L,0.6651987130982622,0.6651987130982622
ALISO VIEJO,Total,TCMX,ng/L,0.45754408837446603,0.45754408837446603
ALISO VIEJO,Total,"2,4'-DDD",ng/L,0.007039139821145631,0.007039139821145631
ALISO VIEJO,Total,"2,4'-DDE",ng/L,0.007039139821145631,0.007039139821145631
ALISO VIEJO,Total,"2,4'-DDT",ng/L,0.007039139821145631,0.007039139821145631
ALISO VIEJO,Total,"4,4'-DDD",ng/L,0.007039139821145631,0.007039139821145631
ALISO VIEJO,Total,"4,4'-DDE",ng/L,0.007039139821145631,0.007039139821145631
ALISO VIEJO,Total,"4,4'-DDT",ng/L,0.007039139821145631,0.007039139821145631
ALISO VIEJO,Total,Acenaphthene,ng/L,0.017597849552864076,0.017597849552864076
ALISO VIEJO,Total,Acenaphthylene,ng/L,0.017597849552864076,0.017597849552864076
ALISO VIEJO,Total,Aldrin,ng/L,0.017597849552864076,0.017597849552864076
ALISO VIEJO,Total,Anthracene,ng/L,0.017597849552864076,0.017597849552864076
ALISO VIEJO,Total,Benz[a]anthracene,ng/L,0.017597849552864076,0.017597849552864076
ALISO VIEJO,Total,Benzo[a]pyrene,ng/L,0.020131939888476506,0.020131939888476506
ALISO VIEJO,Total,Benzo[b]fluoranthene,ng/L,0.028853434126875944,0.028853434126875944
ALISO VIEJO,Total,"Benzo[g,h,i]perylene",ng/L,0.02286840549394687,0.02286840549394687
ALISO VIEJO,Total,Benzo[k]fluoranthene,ng/L,0.02045261181366203,0.02045261181366203
ALISO VIEJO,Total,BHC-alpha,ng/L,0.017597849552864076,0.017597849552864076
ALISO VIEJO,Total,BHC-beta,ng/L,0.017597849552864076,0.017597849552864076
