Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS
L04-266-5,Total,d10-Acenaphthene,NA,79,ng/L,MISSION VIEJO,4000029.057504,316002295.542816,0.019727362480878873
I01-11343-2 (I02P18),Total,d10-Acenaphthene,NA,72,ng/L,LAGUNA WOODS,26583.60972323406,1914019.9000728524,1.1948825972764719e-4
L03-418-8,Total,d10-Acenaphthene,NA,70,ng/L,LAGUNA NIGUEL,188453.84949148304,13191769.464403812,8.235345807898504e-4
L03-418-8,Total,d10-Acenaphthene,NA,70,ng/L,MISSION VIEJO,1719639.2671055028,120374748.69738519,0.0075147438312715325
K01-12177-1 (K01P07),Total,d10-Acenaphthene,NA,67,ng/L,LAGUNA NIGUEL,1099058.44356,73636915.71852,0.004596998657423824
J03-9221-1 (J03P02),Total,d10-Acenaphthene,NA,71.5,ng/L,LAGUNA NIGUEL,2363508.1934956796,168990835.8349411,0.010549744484406383
J01-9224-1 (J01P24),Total,d10-Acenaphthene,NA,76,ng/L,ALISO VIEJO,2634.1015151823053,200191.7151538552,1.2497550132428894e-5
J01-9224-1 (J01P24),Total,d10-Acenaphthene,NA,76,ng/L,LAGUNA NIGUEL,158150.60433060143,12019445.92912571,7.503488740671504e-4
J01-9224-2 (J01P25),Total,d10-Acenaphthene,NA,61.5,ng/L,ALISO VIEJO,5993.861828325905,368622.50244204316,2.3012331957245383e-5
J01-9224-2 (J01P25),Total,d10-Acenaphthene,NA,61.5,ng/L,LAGUNA NIGUEL,359869.5285508992,22131976.0058803,0.0013816529792485565
L03-662-3 (L03P16),Total,d10-Acenaphthene,NA,79,ng/L,MISSION VIEJO,257898.81600000005,20374006.464000005,0.0012719066170474686
L03-214-2 (L03P18),Total,d10-Acenaphthene,NA,68,ng/L,MISSION VIEJO,1863878.8123590364,126743759.24041447,0.00791234784047992
L03-214-2 (L03P18),Total,d10-Acenaphthene,NA,68,ng/L,RANCHO SANTA MARGARITA,88783.6516800166,6037288.314241129,0.00037689528416881953
L03-316-3 (L03P12),Total,d10-Acenaphthene,NA,76,ng/L,MISSION VIEJO,893435.1835532822,67901073.95004945,0.004238922050716856
J01-9992-1 (J01P27),Total,d10-Acenaphthene,NA,105.5,ng/L,ALISO VIEJO,432180.7921682628,45595073.573751725,0.0028464050939461297
J01-9992-1 (J01P27),Total,d10-Acenaphthene,NA,105.5,ng/L,ORANGE CO,1267.6285979957179,133734.81708854824,8.348784962109126e-6
J01-9131-1 (J01P28),Total,d10-Acenaphthene,NA,82.5,ng/L,ALISO VIEJO,236560.03199999995,19516202.639999997,0.0012183557181704083
J01-9007-1 (J02P05),Total,d10-Acenaphthene,NA,113,ng/L,ALISO VIEJO,677326.4713948012,76537891.26761253,0.004778100494379818
J01-9007-1 (J02P05),Total,d10-Acenaphthene,NA,113,ng/L,ORANGE CO,12455.793598780088,1407504.67666215,8.786757356414304e-5
J06-10011-1 (J06P01),Total,d10-Acenaphthene,NA,88.5,ng/L,ALISO VIEJO,486377.92818020063,43044446.64394776,0.0026871747886367922
J06-10011-1 (J06P01),Total,d10-Acenaphthene,NA,88.5,ng/L,LAGUNA HILLS,682198.5901776025,60374575.23071782,0.003769058475222646
J06-10011-1 (J06P01),Total,d10-Acenaphthene,NA,88.5,ng/L,LAGUNA WOODS,1248649.7842748633,110505505.9083254,0.0068986276426940265
J06-10011-1 (J06P01),Total,d10-Acenaphthene,NA,88.5,ng/L,LAKE FOREST,751296.2870919254,66489721.4076354,0.0041508142629405505
J06-9079-1 (J06P03),Total,d10-Acenaphthene,NA,75.5,ng/L,ALISO VIEJO,751510.5920908037,56739049.70285568,0.0035421002191965982
J01-9082-2,Total,d10-Acenaphthene,NA,76.5,ng/L,ALISO VIEJO,998641.6316034046,76396084.81766045,0.004769247814257587
J01-9082-2,Total,d10-Acenaphthene,NA,76.5,ng/L,ORANGE CO,21969.628370704308,1680676.5703588796,1.0492112362550115e-4
I01-11010-1,Total,d10-Acenaphthene,NA,71,ng/L,LAGUNA BEACH,202915.75420800003,14407018.548768003,8.994000397752909e-4
I00-11468-1,Total,d10-Acenaphthene,NA,64,ng/L,LAGUNA BEACH,212793.76400754126,13618800.89648264,8.501932600784838e-4
I00-11468-1,Total,d10-Acenaphthene,NA,64,ng/L,ORANGE CO,19089.643866775274,1221737.2074736175,7.627049894307864e-5
J01-10004-1 (J01P01),Total,d10-Acenaphthene,NA,72,ng/L,LAKE FOREST,2050623.5094314318,147644892.67906308,0.009217161892217
L01-749-2,Total,d10-Acenaphthene,NA,84.5,ng/L,NA,NA,NA,NA
L05-503-1,Total,d10-Acenaphthene,NA,91.5,ng/L,SAN JUAN CAPISTRANO,1199564.4170879999,109760144.16355199,0.0068520962676821215
L01-724-4 (L01P03),Total,d10-Acenaphthene,NA,77.5,ng/L,LAGUNA NIGUEL,468158.31861034513,36282269.69230175,0.002265026222735344
L01-724-4 (L01P03),Total,d10-Acenaphthene,NA,77.5,ng/L,SAN JUAN CAPISTRANO,1145681.827242111,88790341.6112636,0.005542995346782635
L01-724-1 (L01S01),Total,d10-Acenaphthene,NA,69.5,ng/L,DANA POINT,245138.73214270748,17037141.88391817,0.001063593139426035
L01-724-1 (L01S01),Total,d10-Acenaphthene,NA,69.5,ng/L,LAGUNA NIGUEL,174089.35162087894,12099209.937651087,7.553283743154162e-4
L01-724-1 (L01S01),Total,d10-Acenaphthene,NA,69.5,ng/L,SAN JUAN CAPISTRANO,256083.45119911397,17797799.85833842,0.0011110794260670324
L01-728-5 (L01-DP),Total,d10-Acenaphthene,NA,97,ng/L,DANA POINT,0,0,0
K01-12126-1 (K01S01),Total,d10-Acenaphthene,NA,81.5,ng/L,DANA POINT,2401759.02142806,195743360.2463869,0.012219848638037902
K01-12126-1 (K01S01),Total,d10-Acenaphthene,NA,81.5,ng/L,LAGUNA NIGUEL,6437196.487691939,524631513.74689305,0.03275164828407031
K01-12159-2,Total,d10-Acenaphthene,NA,92.5,ng/L,DANA POINT,1673540.3519999993,154802482.55999994,0.009663995260399226
K01-12159-3,Total,d10-Acenaphthene,NA,89.5,ng/L,DANA POINT,133122.52800000002,11914466.256000001,7.437952126093511e-4
L05-489-3,Total,d10-Acenaphthene,NA,54,ng/L,ORANGE CO,29545076.777328,1595434145.975712,0.09959961733179827
