FACILITYID,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,PRIORITY
J01-9007-1 (J02P05),0.11084,ALISO VIEJO,1,Yes,2
J01-9364-3 (J01P21),3.673333,ORANGE CO,NA,Yes,1
J03-9221-1 (J03P02),0.215297,LAGUNA NIGUEL,1,Yes,2
L01-727-1 (L01S04),0.065621,DANA POINT,NA,Unknown,1
L02-166-2 (L02P25),0.243318,RANCHO SANTA MARGARITA,NA,Yes,1
L02-204-1 (L02P45),0.021742,RANCHO SANTA MARGARITA,NA,Yes,1
L02-374-1 (L02P50),0.192857,ORANGE CO,1,Yes,2
L02-401-2 (COL02P55),NA,ORANGE CO,NA,Yes,1
J01-9144-4 (J01P26),0.004465,ALISO VIEJO,NA,Yes,1
J01-9992-1 (J01P27),0.171031,ALISO VIEJO,1,Yes,2
J01-9131-1 (J01P28),0.068157,ALISO VIEJO,1,Unknown,2
J01-10019-1 (J01P33),0.007265,ALISO VIEJO,NA,Yes,2
L02-246-1 (L11P01),0.046996,RANCHO SANTA MARGARITA,1,Yes,2
L02-640-1 (L11P02),0.163333,RANCHO SANTA MARGARITA,NA,Yes,1
M02-032-1,0.234014,SAN CLEMENTE,1,Yes,2
L01-728-5 (L01-DP),0.012099,DANA POINT,1,Yes,2
L01-728-4,0.007,DANA POINT,NA,Unknown,1
SC11-026-1 (M00P01),0.060573,DANA POINT,NA,Unknown,1
LC06-11019-1,0.028496,LAGUNA BEACH,NA,Yes,1
LC02-11508-3,0,LAGUNA BEACH,NA,Unknown,1
J01-9040-1,0.449715,LAKE FOREST,NA,Yes,1
J01-9031-1,0.037166,LAKE FOREST,1,Unknown,2
J01-9264-1 (J01P06),NA,LAKE FOREST,NA,Yes,1
J01-9377-2 (J01TBN8),4.2e-5,LAKE FOREST,NA,Unknown,1
J01-9377-1,0.001959,LAKE FOREST,1,Unknown,2
J01-9349-1,0.00615,LAKE FOREST,1,Unknown,1
J01-9046-2,0.107098,LAKE FOREST,NA,Unknown,1
J01-9046-1,0.00512,LAKE FOREST,NA,Unknown,1
J01-9046-3,0.002881,LAKE FOREST,NA,Yes,1
J01-9008-1 (J01P30),0.0542,ALISO VIEJO,NA,Yes,2
J01-10017-1 (J01TBN4),0.015398,ALISO VIEJO,NA,Yes,2
J01-9224-2 (J01P25),0.097083,LAGUNA NIGUEL,1,Yes,2
J01-9224-1 (J01P24),0.024552,LAGUNA NIGUEL,1,Yes,2
J01-9144-1 (J01P23),0.018688,LAGUNA NIGUEL,NA,Yes,2
J05-9271-6,0,LAGUNA HILLS,NA,Unknown,1
J05-9800-2,0,LAGUNA HILLS,NA,Unknown,1
J01-9066-1 (J01P04),0.014702,MISSION VIEJO,NA,Yes,2
J01-9066-2 (J01P03),0.089177,MISSION VIEJO,NA,Yes,2
J01-9785-1,0.005998,LAKE FOREST,NA,Yes,1
J01-10006-1,0,LAKE FOREST,NA,Yes,1
J01-10004-1 (J01P01),0.31136,LAKE FOREST,1,Yes,2
J01-9782-1 (J01TBN3),0.00112,LAKE FOREST,NA,Unknown,1
J01-10004-2,7.54e-4,LAKE FOREST,NA,Yes,1
J01-9275-1,0.003,LAKE FOREST,NA,Unknown,1
J01-9275-2,0,LAKE FOREST,NA,Unknown,1
J06-9079-1 (J06P03),0.099511,ALISO VIEJO,1,Yes,2
J06-10011-1 (J06P01),0.600261,ALISO VIEJO,1,Yes,2
J01-10041-2 (J03P13),2.4525,LAGUNA NIGUEL,NA,Yes,2
J01-9005-3,0.303774,LAGUNA NIGUEL,NA,Yes,2
J01-9005-1 (J03P05),0.033498,LAGUNA NIGUEL,NA,Yes,2
J03-9216-1 (J03P01),0.012897,LAGUNA NIGUEL,NA,Yes,2
J03-9368-1 (J03TBN1),0.004992,LAGUNA NIGUEL,NA,Yes,2
J03-9215-3,0.037748,LAGUNA NIGUEL,NA,Yes,2
J03-9215-1,NA,LAGUNA NIGUEL,NA,Yes,1
J03-9368-2 (J03TBN2),0.024509,LAGUNA NIGUEL,NA,Yes,2
J05-9255-1 (J05P01),0,LAGUNA HILLS,NA,Yes,1
SC01-077-2,0.0075,SAN CLEMENTE,NA,Unknown,1
SC01-077-1,0.053098,SAN CLEMENTE,NA,Yes,1
SC03-067-1,0,SAN CLEMENTE,NA,Unknown,1
J01-9313-1,0.05,ALISO VIEJO,NA,Yes,1
J01-9082-2,0.143136,ALISO VIEJO,1,Yes,2
I01-11343-2 (I02P18),0.007519,LAGUNA WOODS,1,Yes,1
I01-11503-3,0,ALISO VIEJO,NA,Yes,1
I01-11093-2,0,LAGUNA BEACH,NA,Unknown,1
I01-11015-2,0,LAGUNA BEACH,NA,Unknown,1
I01-11487-1,0,LAGUNA BEACH,NA,Unknown,1
I01-11487-2,0.008375,LAGUNA BEACH,NA,Unknown,1
I00-11453-1,0.013896,LAGUNA BEACH,NA,Unknown,1
LC06-11509-2,0.015413,LAGUNA BEACH,NA,Yes,1
LC02-11508-2,0.02265,LAGUNA BEACH,NA,Yes,1
I00-11518-1,0.079534,LAGUNA BEACH,NA,Unknown,1
I00-11437-1,0.086666000000000007,LAGUNA BEACH,1,Yes,2
I00-11468-1,0.039855,LAGUNA BEACH,1,Yes,2
I01-11077-2,0,LAGUNA BEACH,NA,Unknown,1
I01-11502-1,NA,ALISO VIEJO,NA,Yes,1
I01-11216-1 (I02P13),NA,ALISO VIEJO,NA,Yes,1
I01-11216-2 (I02P12),NA,ALISO VIEJO,NA,Yes,1
I01-11216-3,NA,ALISO VIEJO,NA,Yes,1
I01-11216-4 (I02P14),NA,ALISO VIEJO,NA,Yes,1
I01-11217-1,0.001777,ALISO VIEJO,NA,Unknown,1
SC02-072-1,0,SAN CLEMENTE,NA,Unknown,1
M00.1-071-2 (M00S04),0.072122,SAN CLEMENTE,NA,Unknown,1
M00.1-070-4,0,SAN CLEMENTE,NA,Unknown,1
M00.1-071-3 (M00S04),0.044229,SAN CLEMENTE,NA,Yes,1
SC05-073-1,0.006985,SAN CLEMENTE,NA,Unknown,1
SC05-073-3,0.003033,SAN CLEMENTE,NA,Yes,1
SC12-068-4,0.0089,SAN CLEMENTE,NA,Unknown,1
SC06-146-2 (M00P02),0.056578,SAN CLEMENTE,NA,Yes,1
SC06-146-1 (M00P02),0.003017,SAN CLEMENTE,NA,Yes,1
SC12-068-2,0.008401,SAN CLEMENTE,NA,Yes,1
M00.2-066-1 (M00S07),0.014322,SAN CLEMENTE,NA,Yes,1
SC07-079-5,0.00348,SAN CLEMENTE,NA,Yes,1
M02-102-1,0.044,SAN CLEMENTE,NA,Yes,1
M02-061-4 (SCBS@M02),0.014396,SAN CLEMENTE,NA,Yes,2
M02-061-5,0,SAN CLEMENTE,NA,Unknown,1
M02-142-1,0,SAN CLEMENTE,NA,Unknown,1
M01-060-3,0.743988,DANA POINT,NA,Yes,1
M01-042-1 (M01S01),0.015022,SAN CLEMENTE,1,Yes,2
SC10-075-1 (M00P05),0.006323,DANA POINT,NA,Yes,1
M02-086-1,3.71e-4,SAN CLEMENTE,NA,Unknown,1
M02-013-1,NA,SAN CLEMENTE,NA,Yes,1
L01-749-3,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-556-1,0.004752,SAN JUAN CAPISTRANO,NA,Yes,1
L01-748-1,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-748-2,0,SAN JUAN CAPISTRANO,NA,Yes,1
L01-618-5 (L01S09),0.018739,SAN JUAN CAPISTRANO,NA,Yes,1
L01-618-4,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-618-3,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-618-2,NA,SAN JUAN CAPISTRANO,NA,Yes,1
L01-618-1,0.081,SAN JUAN CAPISTRANO,NA,Yes,1
L01-602-2,NA,SAN JUAN CAPISTRANO,NA,Yes,1
L01-766-7,8.59e-4,SAN JUAN CAPISTRANO,NA,Unknown,1
L02-571-1,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L02-571-3,6.07e-4,SAN JUAN CAPISTRANO,NA,Unknown,2
L02-571-5 (L02TBN2),0,SAN JUAN CAPISTRANO,NA,Unknown,1
L02-541-2,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L02-541-7,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L02-541-6,0.002091,SAN JUAN CAPISTRANO,NA,Yes,2
L02-541-9 (L02P02),0.048641,SAN JUAN CAPISTRANO,NA,Yes,1
L01-766-5,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-766-4,0.001979,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-766-3,0.00798,SAN JUAN CAPISTRANO,NA,Unknown,2
L01-766-2 (L01S06),0.179334,SAN JUAN CAPISTRANO,NA,Yes,1
K01-12126-1 (K01S01),0.477926,DANA POINT,1,Yes,2
K01-12155-1,4.4e-4,LAGUNA NIGUEL,NA,Unknown,1
K01-12036-1,0.021221,LAGUNA NIGUEL,NA,Yes,1
K01-12036-5,0.047461,LAGUNA NIGUEL,NA,Yes,2
K01-12032-2 (K01P11),0.061363,LAGUNA NIGUEL,NA,Yes,2
K01-12156-1,NA,LAGUNA NIGUEL,NA,Yes,1
K01-12156-3,0,LAGUNA NIGUEL,NA,Unknown,1
K01-12177-1 (K01P07),0.246265,LAGUNA NIGUEL,1,Yes,2
K01-12138-1 (K01TBN1),0.0344,LAGUNA NIGUEL,NA,Yes,2
K01-12058-1 (K01P08),0.205335,LAGUNA NIGUEL,NA,Yes,2
K01-12058-2 (K01P09),0.130128,LAGUNA NIGUEL,NA,Yes,2
K01-12062-1,0.122807,LAGUNA NIGUEL,NA,Yes,1
L01-728-2,0.001732,DANA POINT,NA,Yes,1
L01-728-3 (L01S02),0.438094,DANA POINT,NA,Yes,1
L01-728-7 (L01S03),0.153355,DANA POINT,NA,Yes,1
L01-728-6,0,DANA POINT,NA,Unknown,1
L01-727-2,0,DANA POINT,NA,Unknown,1
L01-726-2,0,DANA POINT,NA,Unknown,1
L01-726-3,0,DANA POINT,NA,Unknown,1
L01-726-5,0.01097,DANA POINT,1,Yes,2
L01-726-6,0,DANA POINT,NA,Unknown,1
L01-726-7,0,DANA POINT,NA,Unknown,1
L01-726-8,4.8e-4,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-726-9,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-601-1,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-724-2,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-724-1 (L01S01),0.083773,SAN JUAN CAPISTRANO,1,Yes,2
L01-724-4 (L01P03),0.124156,SAN JUAN CAPISTRANO,1,Yes,2
L01-517-1,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-517-2,0,SAN JUAN CAPISTRANO,NA,Unknown,1
L01-514-1,0.019417,ORANGE CO,NA,Yes,1
L01-517-3,0.001664,ORANGE CO,NA,Yes,1
L01-458-1,6.75e-4,ORANGE CO,NA,Unknown,1
SM01-086-1 (M03P01),NA,SAN CLEMENTE,NA,Yes,1
SM01-086-2,0.02,SAN CLEMENTE,NA,Unknown,1
M02-028-2 (M02P08),0.040333,SAN CLEMENTE,NA,Yes,1
M02-015-1,0.020964,SAN CLEMENTE,NA,Yes,1
M02-052-2,0.670727,SAN CLEMENTE,NA,Yes,1
M02-052-3,0.110413,SAN CLEMENTE,NA,Yes,2
M02-085-1 (M02P06),0.06651,SAN CLEMENTE,1,Yes,2
