FACILITYID,AVGDISCHARGE
J01-9007-1 (J02P05),0.11084
J01-9364-3 (J01P21),3.673333
J03-9221-1 (J03P02),0.215297
L01-727-1 (L01S04),0.065621
L02-166-2 (L02P25),0.243318
L02-204-1 (L02P45),0.021742
L02-374-1 (L02P50),0.192857
L02-401-2 (COL02P55),NA
J01-9144-4 (J01P26),0.004465
J01-9992-1 (J01P27),0.171031
J01-9131-1 (J01P28),0.068157
J01-10019-1 (J01P33),0.007265
L02-246-1 (L11P01),0.046996
L02-640-1 (L11P02),0.163333
M02-032-1,0.234014
L01-728-5 (L01-DP),0.012099
L01-728-4,0.007
SC11-026-1 (M00P01),0.060573
LC06-11019-1,0.028496
LC02-11508-3,0
J01-9040-1,0.449715
J01-9031-1,0.037166
J01-9264-1 (J01P06),NA
J01-9377-2 (J01TBN8),4.2e-5
J01-9377-1,0.001959
J01-9349-1,0.00615
J01-9046-2,0.107098
J01-9046-1,0.00512
J01-9046-3,0.002881
J01-9008-1 (J01P30),0.0542
J01-10017-1 (J01TBN4),0.015398
J01-9224-2 (J01P25),0.097083
J01-9224-1 (J01P24),0.024552
J01-9144-1 (J01P23),0.018688
J05-9271-6,0
J05-9800-2,0
J01-9066-1 (J01P04),0.014702
J01-9066-2 (J01P03),0.089177
J01-9785-1,0.005998
J01-10006-1,0
J01-10004-1 (J01P01),0.31136
J01-9782-1 (J01TBN3),0.00112
J01-10004-2,7.54e-4
J01-9275-1,0.003
J01-9275-2,0
J06-9079-1 (J06P03),0.099511
J06-10011-1 (J06P01),0.600261
J01-10041-2 (J03P13),2.4525
J01-9005-3,0.303774
J01-9005-1 (J03P05),0.033498
J03-9216-1 (J03P01),0.012897
J03-9368-1 (J03TBN1),0.004992
J03-9215-3,0.037748
J03-9215-1,NA
J03-9368-2 (J03TBN2),0.024509
J05-9255-1 (J05P01),0
SC01-077-2,0.0075
SC01-077-1,0.053098
SC03-067-1,0
J01-9313-1,0.05
J01-9082-2,0.143136
I01-11343-2 (I02P18),0.007519
I01-11503-3,0
I01-11093-2,0
I01-11015-2,0
I01-11487-1,0
I01-11487-2,0.008375
I00-11453-1,0.013896
LC06-11509-2,0.015413
LC02-11508-2,0.02265
I00-11518-1,0.079534
I00-11437-1,0.086666000000000007
I00-11468-1,0.039855
I01-11077-2,0
I01-11502-1,NA
I01-11216-1 (I02P13),NA
I01-11216-2 (I02P12),NA
I01-11216-3,NA
I01-11216-4 (I02P14),NA
I01-11217-1,0.001777
SC02-072-1,0
M00.1-071-2 (M00S04),0.072122
M00.1-070-4,0
M00.1-071-3 (M00S04),0.044229
SC05-073-1,0.006985
SC05-073-3,0.003033
SC12-068-4,0.0089
SC06-146-2 (M00P02),0.056578
SC06-146-1 (M00P02),0.003017
SC12-068-2,0.008401
M00.2-066-1 (M00S07),0.014322
SC07-079-5,0.00348
M02-102-1,0.044
M02-061-4 (SCBS@M02),0.014396
M02-061-5,0
M02-142-1,0
M01-060-3,0.743988
M01-042-1 (M01S01),0.015022
SC10-075-1 (M00P05),0.006323
M02-086-1,3.71e-4
M02-013-1,NA
L01-749-3,0
L01-556-1,0.004752
L01-748-1,0
L01-748-2,0
L01-618-5 (L01S09),0.018739
L01-618-4,0
L01-618-3,0
L01-618-2,NA
L01-618-1,0.081
L01-602-2,NA
L01-766-7,8.59e-4
L02-571-1,0
L02-571-3,6.07e-4
L02-571-5 (L02TBN2),0
L02-541-2,0
L02-541-7,0
L02-541-6,0.002091
L02-541-9 (L02P02),0.048641
L01-766-5,0
L01-766-4,0.001979
L01-766-3,0.00798
L01-766-2 (L01S06),0.179334
K01-12126-1 (K01S01),0.477926
K01-12155-1,4.4e-4
K01-12036-1,0.021221
K01-12036-5,0.047461
K01-12032-2 (K01P11),0.061363
K01-12156-1,NA
K01-12156-3,0
K01-12177-1 (K01P07),0.246265
K01-12138-1 (K01TBN1),0.0344
K01-12058-1 (K01P08),0.205335
K01-12058-2 (K01P09),0.130128
K01-12062-1,0.122807
L01-728-2,0.001732
L01-728-3 (L01S02),0.438094
L01-728-7 (L01S03),0.153355
L01-728-6,0
L01-727-2,0
L01-726-2,0
L01-726-3,0
L01-726-5,0.01097
L01-726-6,0
L01-726-7,0
L01-726-8,4.8e-4
L01-726-9,0
L01-601-1,0
L01-724-2,0
L01-724-1 (L01S01),0.083773
L01-724-4 (L01P03),0.124156
L01-517-1,0
L01-517-2,0
L01-514-1,0.019417
L01-517-3,0.001664
L01-458-1,6.75e-4
SM01-086-1 (M03P01),NA
SM01-086-2,0.02
SM01-086-2,0.02
M02-028-2 (M02P08),0.040333
M02-015-1,0.020964
M02-052-2,0.670727
M02-052-3,0.110413
M02-085-1 (M02P06),0.06651
L01-223-1 (L08TBN1),0.049092
L01-731-1 (L08TBN2),0.356639
L01-125-1,NA
L01-125-2,0.021
L01-125-3,0.034201
L01-733-4,0
L02-359-1 (L02P43),0.010162
L02-344-1,0
L02-622-1 (L02P28),0.014251
L02-166-1 (L02PXX),0.041916
L02-622-2 (L02P32),0.103107
L02-198-1 (L02P29),0.00835
L02-641-1,0.055023
L02-166-3 (L02P26),0.176934
L01-261-1,0.008102
L03-455-2,0.006273
L03-455-3 (L03P37),0
L03-455-4,0
L03-455-6,0
L03-455-7,0.054716
L03-418-1,0.066361
L03-418-2,0.007904
L03-418-3,7.22e-4
L03-418-8,0.134285
L03-708-1,0.018177
L03-708-5,0.006287
L04-702-1 (L04P02),0.022439
L04-702-4,0
L04-301-1 (L04P08),0.034968
L04-266-1,NA
L04-266-5,0.466571
J07-9022-1,0.001114
J07-9110-1,0.004715
J07-9110-2,0.003966
J07-9109-1,0.008731
J07-9110-3,0.010104
J07-9109-2,0.068072
J07-9109-4 (J07P02),0.215661
L03-691-1 (L03P09),0.336027
L03-316-1,0.041047
L03-316-3 (L03P12),0.249529
L03-693-1 (L03P11),0.090433
L03-662-3 (L03P16),0.148374
