FacilityID,Date,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,VolumeDischargeCFS,rain_gage,wet_within_72,GlobalID,QInscfs,MonitoringYear
DP01-12022-1,2022-07-12,Direct Connection,Flowing,Yes,,NA,NA,DANAPOINT,FALSE,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},NA,MY2021-22
DP04-12015-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,,NA,NA,LAGUNABEACH,FALSE,{B9E368D1-0601-4D99-B7EE-076F034D1D23},NA,MY2021-22
DP04-12015-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,,NA,NA,LAGUNABEACH,FALSE,{B9E368D1-0601-4D99-B7EE-076F034D1D23},NA,MY2021-22
DP06-12106-1,2022-07-12,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,DANAPOINT,FALSE,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},NA,MY2021-22
I00-11437-1,2022-06-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},NA,MY2021-22
I00-11437-1,2022-09-07,Undetermined,Pooled or Ponded,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},NA,MY2021-22
I00-11518-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{77142EB8-ED5A-457E-A15B-0DA4FE92CCF2},NA,MY2021-22
I00-11518-2,2022-07-05,Direct Connection,Flowing,Yes,,NA,NA,LAGUNABEACH,FALSE,{43927D34-5C8D-480F-9527-A565DA0C7C0C},NA,MY2021-22
I01-11023-1,2022-06-21,Direct Connection,Pooled or Ponded,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},NA,MY2021-22
I01-11023-1,2022-09-07,Direct Connection,Flowing,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},NA,MY2021-22
I01-11216-1 (I02P13),2022-06-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{407CFB17-3B6F-4280-9700-B0FD229A0C5E},NA,MY2021-22
I01-11216-1 (I02P13),2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{407CFB17-3B6F-4280-9700-B0FD229A0C5E},NA,MY2021-22
I01-11216-2 (I02P12),2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{3E6152B4-AA12-4483-A315-F2A09982301C},NA,MY2021-22
I01-11216-3,2022-06-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{DB80E054-4D2C-4D53-8065-26F13D35FE95},NA,MY2021-22
I01-11216-3,2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{DB80E054-4D2C-4D53-8065-26F13D35FE95},NA,MY2021-22
I01-11216-4 (I02P14),2022-06-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},NA,MY2021-22
I01-11216-4 (I02P14),2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},NA,MY2021-22
