FacilityID,Date,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,VolumeDischargeCFS,rain_gage,wet_within_72,GlobalID,QInscfs,MonitoringYear,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,QInscfsAdj,QInsCFAdj
I01-11343-1,2022-06-14,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{2889E41D-D4E7-47BA-843A-5A6D17AF80DF},NA,MY2021-22,0,LAGUNA WOODS,1,Yes,NA,NA
I01-11343-1,2022-08-23,Undetermined,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{2889E41D-D4E7-47BA-843A-5A6D17AF80DF},NA,MY2021-22,0,LAGUNA WOODS,1,Yes,NA,NA
I01-11487-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{5950041F-4A9F-49ED-994B-C50CD46C105C},NA,MY2021-22,0,LAGUNA BEACH,NA,Unknown,NA,NA
I01-11487-1,2022-08-16,Partial - Significant Distance,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{5950041F-4A9F-49ED-994B-C50CD46C105C},NA,MY2021-22,0,LAGUNA BEACH,NA,Unknown,NA,NA
I01-11503-3,2022-06-28,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,LAGUNABEACH,FALSE,{8617AFA3-52A5-463C-8916-03BC38AAFBC4},NA,MY2021-22,0,ALISO VIEJO,NA,Yes,NA,NA
I01-11503-3,2022-09-14,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,LAGUNABEACH,FALSE,{8617AFA3-52A5-463C-8916-03BC38AAFBC4},NA,MY2021-22,0,ALISO VIEJO,NA,Yes,NA,NA
J01-10006-1,2022-06-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},NA,MY2021-22,0,LAKE FOREST,NA,Yes,NA,NA
J01-10006-1,2022-08-09,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},NA,MY2021-22,0,LAKE FOREST,NA,Yes,NA,NA
J05-9255-1 (J05P01),2022-08-02,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{E4A45859-C01A-4CBC-8954-294275402A42},NA,MY2021-22,0,LAGUNA HILLS,NA,Yes,NA,NA
J05-9255-1 (J05P01),2022-09-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{E4A45859-C01A-4CBC-8954-294275402A42},NA,MY2021-22,0,LAGUNA HILLS,NA,Yes,NA,NA
J05-9271-6,2022-08-02,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,SULPHURCREEK,FALSE,{9F5547EB-7FE3-461F-9EBD-E58B4219028B},NA,MY2021-22,0,LAGUNA HILLS,NA,Unknown,NA,NA
L01-335-2,2022-06-17,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,TRABUCO,FALSE,{65AC036E-2F1F-4616-A08A-A4E7B1D38A11},NA,MY2021-22,0,ORANGE CO,NA,Unknown,NA,NA
L01-391-1,2022-08-01,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{6ACA9BF4-266E-4C31-8EE3-75E5E450E45E},NA,MY2021-22,0,ORANGE CO,NA,Yes,NA,NA
L01-391-1,2022-09-19,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{6ACA9BF4-266E-4C31-8EE3-75E5E450E45E},NA,MY2021-22,0,ORANGE CO,NA,Yes,NA,NA
L01-726-2,2022-07-13,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,DANAPOINT,FALSE,{2E54A407-3CB1-4115-BE98-54634E27A6A6},NA,MY2021-22,0,DANA POINT,NA,Unknown,NA,NA
L02-344-1,2022-07-26,Undetermined,Pooled or Ponded,Unknown,,NA,NA,ELTORO,FALSE,{AE100243-D2E2-4C52-A74B-B024BF8A3C36},NA,MY2021-22,0,ORANGE CO,NA,Unknown,NA,NA
L02-401-1,2022-06-08,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{14FA5899-75CF-4C8D-8DBB-69BF4CCF982A},NA,MY2021-22,0,ORANGE CO,NA,Yes,NA,NA
L02-401-1,2022-09-19,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{14FA5899-75CF-4C8D-8DBB-69BF4CCF982A},NA,MY2021-22,0,ORANGE CO,NA,Yes,NA,NA
L02-571-5 (L02TBN2),2022-06-28,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,PALISADES,FALSE,{84E0BC14-2EA7-43A4-9B95-F0347A2814D5},NA,MY2021-22,0,SAN JUAN CAPISTRANO,NA,Unknown,NA,NA
L02-571-5 (L02TBN2),2022-09-14,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,PALISADES,FALSE,{84E0BC14-2EA7-43A4-9B95-F0347A2814D5},NA,MY2021-22,0,SAN JUAN CAPISTRANO,NA,Unknown,NA,NA
M01-008-1,2022-07-26,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,PALISADES,FALSE,{B4C2DE98-2903-4237-914D-570020690CEC},NA,MY2021-22,0,SAN CLEMENTE,NA,Unknown,NA,NA
M01-008-1,2022-09-15,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,PALISADES,FALSE,{B4C2DE98-2903-4237-914D-570020690CEC},NA,MY2021-22,0,SAN CLEMENTE,NA,Unknown,NA,NA
L01-748-2,2022-07-13,NA,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{DBC981FA-992C-4171-A16D-E171B6935A16},NA,MY2021-22,0,SAN JUAN CAPISTRANO,NA,Yes,NA,NA
L01-748-2,2022-08-10,NA,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{DBC981FA-992C-4171-A16D-E171B6935A16},NA,MY2021-22,0,SAN JUAN CAPISTRANO,NA,Yes,NA,NA
DP01-12022-1,2022-07-12,Direct Connection,Flowing,Yes,,NA,NA,DANAPOINT,FALSE,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},NA,MY2021-22,0.055382,DANA POINT,NA,Yes,0.03821358,3301.6533119999995
DP04-12015-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,,NA,NA,LAGUNABEACH,FALSE,{B9E368D1-0601-4D99-B7EE-076F034D1D23},NA,MY2021-22,0.010065,LAGUNA BEACH,NA,Unknown,0.006944849999999999,600.0350399999999
DP04-12015-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,,NA,NA,LAGUNABEACH,FALSE,{B9E368D1-0601-4D99-B7EE-076F034D1D23},NA,MY2021-22,0.010065,LAGUNA BEACH,NA,Unknown,0.006944849999999999,600.0350399999999
I00-11518-2,2022-07-05,Direct Connection,Flowing,Yes,,NA,NA,LAGUNABEACH,FALSE,{43927D34-5C8D-480F-9527-A565DA0C7C0C},NA,MY2021-22,0.0048,LAGUNA BEACH,NA,Yes,0.0033119999999999994,286.1568
I01-11023-1,2022-09-07,Direct Connection,Flowing,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},NA,MY2021-22,0.002155,LAGUNA BEACH,1,Yes,0.0014869499999999997,128.47247999999996
J01-9005-3,2022-07-08,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{8D0A255A-DAB2-4BAC-A4E1-414D7DD8EA41},NA,MY2021-22,0.303774,LAGUNA NIGUEL,NA,Yes,0.20960405999999998,18109.790783999997
J01-9031-1,2022-08-18,Partial - Significant Distance,Other - See Comments,Unknown,Yes,NA,NA,TUCKER,FALSE,{845D0596-F79C-47AB-8A96-2BF5F46A5F2D},NA,MY2021-22,0.037166,LAKE FOREST,1,Unknown,0.025644539999999997,2215.688256
J01-9066-2 (J01P03),2022-06-21,Direct Connection,Flowing,Yes,,NA,NA,ELTORO,FALSE,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},NA,MY2021-22,0.089177,MISSION VIEJO,NA,Yes,0.06153213,5316.376031999999
J01-9224-2 (J01P25),2022-06-15,Direct Connection,Flowing,Yes,Yes,NA,NA,SULPHURCREEK,FALSE,{7BFD7882-593A-4F10-AAF7-CC4B57726763},NA,MY2021-22,0.097083,LAGUNA NIGUEL,1,Yes,0.06698727,5787.7001279999995
J01-9224-2 (J01P25),2022-07-13,Direct Connection,Flowing,Yes,Yes,NA,NA,SULPHURCREEK,FALSE,{7BFD7882-593A-4F10-AAF7-CC4B57726763},NA,MY2021-22,0.097083,LAGUNA NIGUEL,1,Yes,0.06698727,5787.7001279999995
J03-9216-1 (J03P01),2022-07-08,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{B312B909-A14D-4AAA-BB21-74D113055A73},NA,MY2021-22,0.012897,LAGUNA NIGUEL,NA,Yes,0.00889893,768.8675519999999
J03-9234-5,2022-07-06,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{0C213075-F3BE-4202-976F-D3228FB0F4F4},NA,MY2021-22,0.013475000000000001,LAGUNA NIGUEL,NA,Yes,0.00929775,803.3256000000001
J03-9368-2 (J03TBN2),2022-07-06,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{1C987AEE-54C0-42B5-B602-B59EEAD42C2F},NA,MY2021-22,0.024509,LAGUNA NIGUEL,NA,Yes,0.01691121,1461.1285439999997
J07-9022-1,2022-06-21,Direct Connection,Flowing,Yes,,NA,NA,ELTORO,FALSE,{02D8D354-0554-49DF-972A-8BC374B3901B},NA,MY2021-22,0.001114,MISSION VIEJO,NA,Yes,7.686599999999999e-4,66.412224
K01-12036-5,2022-08-31,Undetermined,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{70D2A74D-50ED-4574-A929-01CB7DE7D000},NA,MY2021-22,0.047461,LAGUNA NIGUEL,NA,Yes,0.03274809,2829.434976
K01-12155-5,2022-07-06,Undetermined,Flowing,Unknown,,NA,NA,SULPHURCREEK,FALSE,{F833764D-81C4-470D-A336-B65195ACDDC4},NA,MY2021-22,0.057377,LAGUNA NIGUEL,NA,Unknown,0.039590129999999994,3420.587232
K01-12155-5,2022-08-31,Undetermined,Other - See Comments,Unknown,,NA,NA,SULPHURCREEK,FALSE,{F833764D-81C4-470D-A336-B65195ACDDC4},NA,MY2021-22,0.057377,LAGUNA NIGUEL,NA,Unknown,0.039590129999999994,3420.587232
K01-12156-6,2022-08-18,Direct Connection,Flowing,Yes,,NA,NA,DANAPOINT,FALSE,{6FB4B9E1-BF9D-41E3-9F3C-703D525B54CD},NA,MY2021-22,0.430708,LAGUNA NIGUEL,NA,Yes,0.29718851999999996,25677.088127999996
L01-125-3,2022-07-28,Undetermined,Flowing,Yes,,NA,NA,TRABUCO,FALSE,{33F2DC65-D927-4563-A681-F329D3F84B4B},NA,MY2021-22,0.034201,RANCHO SANTA MARGARITA,NA,Yes,0.02359869,2038.9268160000001
L01-728-2,2022-07-12,Direct Connection,Flowing,Yes,,NA,NA,DANAPOINT,FALSE,{A59E35B2-C9EC-4E24-9DB6-266C60FCB072},NA,MY2021-22,0.001732,DANA POINT,NA,Yes,0.0011950799999999998,103.25491199999998
L01-728-2,2022-08-29,None - Flow Infiltrates or Outfall is Dry,Flowing,Yes,,NA,NA,DANAPOINT,FALSE,{A59E35B2-C9EC-4E24-9DB6-266C60FCB072},NA,MY2021-22,0.001732,DANA POINT,NA,Yes,0.0011950799999999998,103.25491199999998
L01-728-3 (L01S02),2022-07-12,None - Flow Infiltrates or Outfall is Dry,Flowing,Yes,,NA,NA,DANAPOINT,FALSE,{2A977DCC-7E53-4D85-94F4-061F90A75327},NA,MY2021-22,0.438094,DANA POINT,NA,Yes,0.30228486,26117.411903999993
L01-749-2d,2022-09-06,Undetermined,Flowing,Yes,,NA,NA,PALISADES,FALSE,{F974B699-BEF5-4874-8BF5-762E5BABC0EC},NA,MY2021-22,0.081752,SAN JUAN CAPISTRANO,NA,Yes,0.05640888,4873.727232
L01-760-2,2022-08-01,Undetermined,Flowing,Yes,,NA,NA,TRABUCO,FALSE,{2E56C3AD-25AB-4A1C-95D5-7D91A1E793FA},NA,MY2021-22,0.072438,ORANGE CO,NA,Yes,0.04998222,4318.463808
L01-766-7,2022-06-28,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,,NA,NA,PALISADES,FALSE,{2A3C4022-F5F9-4E4D-864F-F04AB86095CF},NA,MY2021-22,8.59e-4,SAN JUAN CAPISTRANO,NA,Unknown,5.927099999999999e-4,51.210143999999985
L02-198-1 (L02P29),2022-07-27,None - Flow Infiltrates or Outfall is Dry,Flowing,Yes,,NA,NA,TRABUCO,FALSE,{B9C33AB1-61DE-417E-AE9D-511CF2D50E19},NA,MY2021-22,0.00835,RANCHO SANTA MARGARITA,NA,Yes,0.005761499999999999,497.79359999999986
L02-374-1 (L02P50),2022-09-06,Undetermined,Flowing,Yes,Yes,NA,NA,SULPHURCREEK,FALSE,{5DF64E4A-01D2-4F6C-919E-DCBB0BDD3E55},NA,MY2021-22,0.192857,ORANGE CO,1,Yes,0.13307133,11497.362912
L02-374-2 (MVL02P20),2022-09-26,Undetermined,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{B1A00FFE-8CDF-4358-8FDF-A6FA58C9C0BA},NA,MY2021-22,0.008624,ORANGE CO,NA,Yes,0.00595056,514.128384
L02-541-6,2022-06-28,Direct Connection,Flowing,Yes,,NA,NA,PALISADES,FALSE,{182F8328-651A-4982-91BA-8A69837B2509},NA,MY2021-22,0.002091,SAN JUAN CAPISTRANO,NA,Yes,0.0014427899999999998,124.65705599999998
L02-622-1 (L02P28),2022-09-20,Undetermined,Flowing,Unknown,,NA,NA,TRABUCO,FALSE,{A8A6C5E9-EB4C-4FB5-8B4D-A18B9FBF9A32},NA,MY2021-22,0.014251,RANCHO SANTA MARGARITA,NA,Unknown,0.009833189999999999,849.5876159999998
L02-641-1,2022-08-25,Direct Connection,Flowing,Yes,Yes,NA,NA,TRABUCO,FALSE,{7DFD67EB-AD81-432B-9BA4-25696CAD78C5},NA,MY2021-22,0.055023,RANCHO SANTA MARGARITA,1,Yes,0.03796587,3280.251168
L03-074-1 (L03B01),2022-06-22,Direct Connection,Flowing,Yes,,NA,NA,TRABUCO,FALSE,{49BB3F7E-1B73-4CC3-93B9-49EF1F708BBE},NA,MY2021-22,0.204911,MISSION VIEJO,NA,Yes,0.14138859,12215.974176000002
L03-241-4,2022-06-22,Direct Connection,Flowing,Yes,,NA,NA,ELTORO,FALSE,{47F716AD-32FA-4E10-9846-98471CD662B4},NA,MY2021-22,0.009684,MISSION VIEJO,NA,Yes,0.00668196,577.321344
L03-316-2,2022-06-22,Direct Connection,Flowing,Yes,,NA,NA,ELTORO,FALSE,{3F70559C-0FAD-4D97-9983-A4BA1217498F},NA,MY2021-22,0.013082,MISSION VIEJO,NA,Yes,0.00902658,779.8965119999998
L03-316-2,2022-09-01,Partial - Significant Distance,Flowing,Yes,,NA,NA,ELTORO,FALSE,{3F70559C-0FAD-4D97-9983-A4BA1217498F},NA,MY2021-22,0.013082,MISSION VIEJO,NA,Yes,0.00902658,779.8965119999998
L03-316-4,2022-06-22,Direct Connection,Flowing,Yes,,NA,NA,ELTORO,FALSE,{013DEF0D-A524-413F-A01F-3700B35EEACE},NA,MY2021-22,0.023064,MISSION VIEJO,NA,Yes,0.01591416,1374.983424
L03-418-2,2022-06-23,Partial - Significant Distance,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{06560A1C-A452-4CBC-9B61-5BD085C0EC0B},NA,MY2021-22,0.007904,LAGUNA NIGUEL,NA,Yes,0.005453759999999999,471.20486399999993
L03-662-3 (L03P16),2022-06-14,Partial - Significant Distance,Flowing,Yes,Yes,NA,NA,ELTORO,FALSE,{A410A82C-AF6C-4CCA-BAC5-6E25F4039D41},NA,MY2021-22,0.148374,MISSION VIEJO,1,Yes,0.10237805999999999,8845.464383999999
L04-266-5,2022-08-23,Direct Connection,Flowing,Yes,Yes,NA,NA,ELTORO,FALSE,{9CBD6267-1249-4AB5-AA53-A9CD65501C1D},NA,MY2021-22,0.466571,MISSION VIEJO,1,Yes,0.32193399,27815.096736
L05-489-3,2022-09-06,Direct Connection,Flowing,Yes,Yes,NA,NA,SULPHURCREEK,FALSE,{C7C5C7FF-5ABD-4100-A07F-AD4029A16E9D},NA,MY2021-22,0.803705,ORANGE CO,1,Yes,0.55455645,47913.677279999996
LC06-11509-2,2022-07-05,Partial - Significant Distance,Flowing,Yes,,NA,NA,LAGUNABEACH,FALSE,{33142BAF-4557-481B-875A-E7A3CFFBFCB1},NA,MY2021-22,0.015413,LAGUNA BEACH,NA,Yes,0.010634969999999999,918.861408
M02-052-2,2022-09-08,Direct Connection,Flowing,Yes,Yes,NA,NA,PALISADES,FALSE,{43B4EE36-979D-4FA8-83C9-4BFA81FACC97},NA,MY2021-22,0.670727,SAN CLEMENTE,NA,Yes,0.46280162999999996,39986.060831999996
M02-052-4,2022-07-28,Direct Connection,Flowing,Yes,,NA,NA,PALISADES,FALSE,{3CDC86F8-F190-45F4-8430-F50DADFD797B},NA,MY2021-22,0.045857,SAN CLEMENTE,NA,Yes,0.03164133,2733.810912
M02-061-4 (SCBS@M02),2022-08-24,Direct Connection,Flowing,Yes,,NA,NA,PALISADES,FALSE,{C461CAC3-1849-40E8-B3F7-D3281D347977},NA,MY2021-22,0.014396,SAN CLEMENTE,NA,Yes,0.00993324,858.2319359999999
M02-061-6,2022-07-20,Direct Connection,Flowing,Yes,,NA,NA,PALISADES,FALSE,{4D37DA87-C486-40DA-A876-48258EA473E1},NA,MY2021-22,0.010635,SAN CLEMENTE,NA,Yes,0.00733815,634.01616
M02-061-6,2022-08-24,Direct Connection,Flowing,Yes,,NA,NA,PALISADES,FALSE,{4D37DA87-C486-40DA-A876-48258EA473E1},NA,MY2021-22,0.010635,SAN CLEMENTE,NA,Yes,0.00733815,634.01616
M02-061-7,2022-07-20,None - Flow Infiltrates or Outfall is Dry,Flowing,Yes,,NA,NA,PALISADES,FALSE,{225C2BC1-A627-451E-AB2E-10DD6A27CC31},NA,MY2021-22,0.5,SAN CLEMENTE,NA,Yes,0.345,29808
SC05-073-3,2022-07-19,Partial - Significant Distance,Flowing,Yes,,NA,NA,PALISADES,FALSE,{42902E2B-56C6-4060-A36D-AEA18B64156E},NA,MY2021-22,0.003033,SAN CLEMENTE,NA,Yes,0.00209277,180.815328
SC06-146-2 (M00P02),2022-08-08,Direct Connection,Flowing,Yes,,NA,NA,PALISADES,FALSE,{39F60971-71F5-4FB5-A552-55C3B268E8F1},NA,MY2021-22,0.056578,SAN CLEMENTE,NA,Yes,0.03903882,3372.9540479999996
SC07-079-5,2022-07-20,Partial - Significant Distance,Flowing,Yes,,NA,NA,PALISADES,FALSE,{03864DBD-D87D-474A-A6EE-7F78E41DD1AA},NA,MY2021-22,0.00348,SAN CLEMENTE,NA,Yes,0.0024012,207.46368
SM01-086-2,2022-07-26,Undetermined,Other - See Comments,Unknown,,NA,NA,PALISADES,FALSE,{3F28F93D-68A5-4355-B7E9-8E704FB9707E},NA,MY2021-22,0.02,SAN CLEMENTE,NA,Unknown,0.0138,1192.32
