Station,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result
L04-266-5,6/14/2022,Total,3412,2022-06-14,d10-Acenaphthene,ng/L,NA,89
I01-11343-2 (I02P18),6/14/2022,Total,2417,2022-06-14,d10-Acenaphthene,ng/L,NA,92
L03-418-8,6/15/2022,Total,3205,2022-06-15,d10-Acenaphthene,ng/L,NA,61
K01-12177-1 (K01P07),6/15/2022,Total,2416,2022-06-15,d10-Acenaphthene,ng/L,NA,61
J03-9221-1 (J03P02),6/15/2022,Total,5136,2022-06-15,d10-Acenaphthene,ng/L,NA,68
J01-9224-1 (J01P24),6/15/2022,Total,2769,2022-06-15,d10-Acenaphthene,ng/L,NA,73
J01-9224-2 (J01P25),6/15/2022,Total,2576,2022-06-15,d10-Acenaphthene,ng/L,NA,53
L03-662-3 (L03P16),6/14/2022,Total,2551,2022-06-14,d10-Acenaphthene,ng/L,NA,94
L03-214-2 (L03P18),6/14/2022,Total,3395,2022-06-14,d10-Acenaphthene,ng/L,NA,83
L03-316-3 (L03P12),6/14/2022,Total,4833,2022-06-14,d10-Acenaphthene,ng/L,NA,89
J01-9992-1 (J01P27),6/23/2022,Total,3165,2022-06-23,d10-Acenaphthene,ng/L,NA,100
J01-9131-1 (J01P28),6/23/2022,Total,2686,2022-06-23,d10-Acenaphthene,ng/L,NA,47
J01-9007-1 (J02P05),6/23/2022,Total,1529,2022-06-23,d10-Acenaphthene,ng/L,NA,118
J06-10011-1 (J06P01),6/23/2022,Total,3190,2022-06-23,d10-Acenaphthene,ng/L,NA,101
J06-9079-1 (J06P03),6/23/2022,Total,2124.6,2022-06-23,d10-Acenaphthene,ng/L,NA,87
J01-9082-2,6/23/2022,Total,1402.2,2022-06-23,d10-Acenaphthene,ng/L,NA,85
I01-11010-1,6/21/2022,Total,4030,2022-06-21,d10-Acenaphthene,ng/L,NA,65
I00-11468-1,6/21/2022,Total,9274,2022-06-21,d10-Acenaphthene,ng/L,NA,64
J01-10004-1 (J01P01),6/21/2022,Total,2028,2022-06-21,d10-Acenaphthene,ng/L,NA,67
L01-749-2,6/22/2022,Total,5316,2022-06-22,d10-Acenaphthene,ng/L,NA,101
L05-503-1,6/22/2022,Total,3947,2022-06-22,d10-Acenaphthene,ng/L,NA,110
L01-724-4 (L01P03),6/22/2022,Total,2815,2022-06-22,d10-Acenaphthene,ng/L,NA,86
L01-724-1 (L01S01),6/22/2022,Total,6586,2022-06-22,d10-Acenaphthene,ng/L,NA,73
L01-728-5 (L01-DP),6/22/2022,Total,1110,2022-06-22,d10-Acenaphthene,ng/L,NA,115
K01-12126-1 (K01S01),6/22/2022,Total,5426,2022-06-22,d10-Acenaphthene,ng/L,NA,93
K01-12159-2,6/22/2022,Total,2927,2022-06-22,d10-Acenaphthene,ng/L,NA,105
K01-12159-3,6/22/2022,Total,3829,2022-06-22,d10-Acenaphthene,ng/L,NA,110
L05-489-3,6/16/2022,Total,2537,2022-06-16,d10-Acenaphthene,ng/L,NA,57
L05-049-1,6/16/2022,Total,2449,2022-06-16,d10-Acenaphthene,ng/L,NA,58
L02-374-1 (L02P50),6/16/2022,Total,2256,2022-06-16,d10-Acenaphthene,ng/L,NA,66
L01-404-1,6/16/2022,Total,2302,2022-06-16,d10-Acenaphthene,ng/L,NA,59
L01-340-1,6/16/2022,Total,1454,2022-06-16,d10-Acenaphthene,ng/L,NA,64
L02-246-1 (L11P01),6/27/2022,Total,1583,2022-06-27,d10-Acenaphthene,ng/L,NA,86
