JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
MISSION VIEJO,Total,d10-Acenaphthene,75.25,ng/L
LAGUNA WOODS,Total,d10-Acenaphthene,80.25,ng/L
LAGUNA NIGUEL,Total,d10-Acenaphthene,71.8125,ng/L
ALISO VIEJO,Total,d10-Acenaphthene,84.875,ng/L
RANCHO SANTA MARGARITA,Total,d10-Acenaphthene,71.14285714285714,ng/L
ORANGE CO,Total,d10-Acenaphthene,75.78571428571429,ng/L
LAGUNA HILLS,Total,d10-Acenaphthene,88.5,ng/L
LAKE FOREST,Total,d10-Acenaphthene,80.25,ng/L
LAGUNA BEACH,Total,d10-Acenaphthene,67.5,ng/L
SAN JUAN CAPISTRANO,Total,d10-Acenaphthene,77.125,ng/L
DANA POINT,Total,d10-Acenaphthene,83.33333333333333,ng/L
SAN CLEMENTE,Total,d10-Acenaphthene,84.125,ng/L
MISSION VIEJO,Total,d10-Phenanthrene,87.08333333333333,ng/L
LAGUNA WOODS,Total,d10-Phenanthrene,92.5,ng/L
LAGUNA NIGUEL,Total,d10-Phenanthrene,79.6875,ng/L
ALISO VIEJO,Total,d10-Phenanthrene,97.5,ng/L
RANCHO SANTA MARGARITA,Total,d10-Phenanthrene,97.21428571428571,ng/L
ORANGE CO,Total,d10-Phenanthrene,92.35714285714286,ng/L
LAGUNA HILLS,Total,d10-Phenanthrene,95.5,ng/L
LAKE FOREST,Total,d10-Phenanthrene,94.25,ng/L
LAGUNA BEACH,Total,d10-Phenanthrene,78.5,ng/L
SAN JUAN CAPISTRANO,Total,d10-Phenanthrene,88.75,ng/L
DANA POINT,Total,d10-Phenanthrene,88.25,ng/L
SAN CLEMENTE,Total,d10-Phenanthrene,108.75,ng/L
MISSION VIEJO,Total,d12-Chrysene,85.66666666666667,ng/L
LAGUNA WOODS,Total,d12-Chrysene,96.5,ng/L
LAGUNA NIGUEL,Total,d12-Chrysene,80.875,ng/L
ALISO VIEJO,Total,d12-Chrysene,88.75,ng/L
RANCHO SANTA MARGARITA,Total,d12-Chrysene,96.35714285714286,ng/L
ORANGE CO,Total,d12-Chrysene,92.78571428571429,ng/L
LAGUNA HILLS,Total,d12-Chrysene,100.5,ng/L
LAKE FOREST,Total,d12-Chrysene,84,ng/L
LAGUNA BEACH,Total,d12-Chrysene,93.5,ng/L
SAN JUAN CAPISTRANO,Total,d12-Chrysene,93.25,ng/L
DANA POINT,Total,d12-Chrysene,97.16666666666667,ng/L
SAN CLEMENTE,Total,d12-Chrysene,85.625,ng/L
MISSION VIEJO,Total,d8-Naphthalene,56.833333333333336,ng/L
LAGUNA WOODS,Total,d8-Naphthalene,62.25,ng/L
LAGUNA NIGUEL,Total,d8-Naphthalene,59.4375,ng/L
ALISO VIEJO,Total,d8-Naphthalene,58.0625,ng/L
RANCHO SANTA MARGARITA,Total,d8-Naphthalene,56.5,ng/L
ORANGE CO,Total,d8-Naphthalene,56.107142857142854,ng/L
LAGUNA HILLS,Total,d8-Naphthalene,67.5,ng/L
LAKE FOREST,Total,d8-Naphthalene,59.75,ng/L
LAGUNA BEACH,Total,d8-Naphthalene,56.75,ng/L
SAN JUAN CAPISTRANO,Total,d8-Naphthalene,67.25,ng/L
DANA POINT,Total,d8-Naphthalene,73,ng/L
SAN CLEMENTE,Total,d8-Naphthalene,64.125,ng/L
MISSION VIEJO,Total,PCB030,70.75,ng/L
LAGUNA WOODS,Total,PCB030,76.75,ng/L
LAGUNA NIGUEL,Total,PCB030,71.75,ng/L
ALISO VIEJO,Total,PCB030,81.375,ng/L
RANCHO SANTA MARGARITA,Total,PCB030,69.35714285714286,ng/L
ORANGE CO,Total,PCB030,71.21428571428571,ng/L
LAGUNA HILLS,Total,PCB030,98,ng/L
LAKE FOREST,Total,PCB030,84.5,ng/L
LAGUNA BEACH,Total,PCB030,80.75,ng/L
SAN JUAN CAPISTRANO,Total,PCB030,75,ng/L
DANA POINT,Total,PCB030,75.16666666666667,ng/L
SAN CLEMENTE,Total,PCB030,70.75,ng/L
MISSION VIEJO,Total,PCB112,78.25,ng/L
LAGUNA WOODS,Total,PCB112,78,ng/L
LAGUNA NIGUEL,Total,PCB112,78.875,ng/L
ALISO VIEJO,Total,PCB112,86.625,ng/L
RANCHO SANTA MARGARITA,Total,PCB112,94.21428571428571,ng/L
ORANGE CO,Total,PCB112,85.71428571428571,ng/L
LAGUNA HILLS,Total,PCB112,89,ng/L
LAKE FOREST,Total,PCB112,83,ng/L
LAGUNA BEACH,Total,PCB112,87.75,ng/L
SAN JUAN CAPISTRANO,Total,PCB112,74.25,ng/L
DANA POINT,Total,PCB112,75.16666666666667,ng/L
SAN CLEMENTE,Total,PCB112,92.25,ng/L
MISSION VIEJO,Total,PCB198,79.75,ng/L
LAGUNA WOODS,Total,PCB198,83,ng/L
LAGUNA NIGUEL,Total,PCB198,87.3125,ng/L
ALISO VIEJO,Total,PCB198,94.5,ng/L
RANCHO SANTA MARGARITA,Total,PCB198,112.71428571428571,ng/L
ORANGE CO,Total,PCB198,96.5,ng/L
LAGUNA HILLS,Total,PCB198,91,ng/L
LAKE FOREST,Total,PCB198,108.25,ng/L
LAGUNA BEACH,Total,PCB198,91.5,ng/L
SAN JUAN CAPISTRANO,Total,PCB198,77.125,ng/L
DANA POINT,Total,PCB198,77.91666666666667,ng/L
SAN CLEMENTE,Total,PCB198,98.375,ng/L
MISSION VIEJO,Total,TCMX,59.083333333333336,ng/L
LAGUNA WOODS,Total,TCMX,66.5,ng/L
LAGUNA NIGUEL,Total,TCMX,58.625,ng/L
ALISO VIEJO,Total,TCMX,65,ng/L
