Station,Sample Type,Parameter,Qualifier,ResultAvg,Units
L04-266-5,Total,d10-Acenaphthene,NA,79,ng/L
I01-11343-2 (I02P18),Total,d10-Acenaphthene,NA,72,ng/L
L03-418-8,Total,d10-Acenaphthene,NA,70,ng/L
K01-12177-1 (K01P07),Total,d10-Acenaphthene,NA,67,ng/L
J03-9221-1 (J03P02),Total,d10-Acenaphthene,NA,71.5,ng/L
J01-9224-1 (J01P24),Total,d10-Acenaphthene,NA,76,ng/L
J01-9224-2 (J01P25),Total,d10-Acenaphthene,NA,61.5,ng/L
L03-662-3 (L03P16),Total,d10-Acenaphthene,NA,79,ng/L
L03-214-2 (L03P18),Total,d10-Acenaphthene,NA,68,ng/L
L03-316-3 (L03P12),Total,d10-Acenaphthene,NA,76,ng/L
J01-9992-1 (J01P27),Total,d10-Acenaphthene,NA,105.5,ng/L
J01-9131-1 (J01P28),Total,d10-Acenaphthene,NA,82.5,ng/L
J01-9007-1 (J02P05),Total,d10-Acenaphthene,NA,113,ng/L
J06-10011-1 (J06P01),Total,d10-Acenaphthene,NA,88.5,ng/L
J06-9079-1 (J06P03),Total,d10-Acenaphthene,NA,75.5,ng/L
J01-9082-2,Total,d10-Acenaphthene,NA,76.5,ng/L
I01-11010-1,Total,d10-Acenaphthene,NA,71,ng/L
I00-11468-1,Total,d10-Acenaphthene,NA,64,ng/L
J01-10004-1 (J01P01),Total,d10-Acenaphthene,NA,72,ng/L
L01-749-2,Total,d10-Acenaphthene,NA,84.5,ng/L
L05-503-1,Total,d10-Acenaphthene,NA,91.5,ng/L
L01-724-4 (L01P03),Total,d10-Acenaphthene,NA,77.5,ng/L
L01-724-1 (L01S01),Total,d10-Acenaphthene,NA,69.5,ng/L
L01-728-5 (L01-DP),Total,d10-Acenaphthene,NA,97,ng/L
K01-12126-1 (K01S01),Total,d10-Acenaphthene,NA,81.5,ng/L
K01-12159-2,Total,d10-Acenaphthene,NA,92.5,ng/L
K01-12159-3,Total,d10-Acenaphthene,NA,89.5,ng/L
L05-489-3,Total,d10-Acenaphthene,NA,54,ng/L
L05-049-1,Total,d10-Acenaphthene,NA,63.5,ng/L
L02-374-1 (L02P50),Total,d10-Acenaphthene,NA,70.5,ng/L
L01-404-1,Total,d10-Acenaphthene,NA,56.5,ng/L
L01-340-1,Total,d10-Acenaphthene,NA,64.5,ng/L
L02-246-1 (L11P01),Total,d10-Acenaphthene,NA,71,ng/L
L02-641-1,Total,d10-Acenaphthene,NA,70,ng/L
L02-641-2,Total,d10-Acenaphthene,NA,70.5,ng/L
L01-731-1 (L08TBN2),Total,d10-Acenaphthene,NA,68,ng/L
L02-166-3 (L02P26),Total,d10-Acenaphthene,NA,86,ng/L
L04-672-1,Total,d10-Acenaphthene,NA,79.5,ng/L
M01-042-1 (M01S01),Total,d10-Acenaphthene,NA,81,ng/L
M02-032-1,Total,d10-Acenaphthene,NA,73.5,ng/L
SC1-2,Total,d10-Acenaphthene,NA,98,ng/L
M02-085-1 (M02P06),Total,d10-Acenaphthene,NA,98.5,ng/L
M02-085-2,Total,d10-Acenaphthene,NA,83.5,ng/L
L01-726-5,Total,d10-Acenaphthene,NA,70,ng/L
L04-266-5,Total,d10-Phenanthrene,NA,88.5,ng/L
I01-11343-2 (I02P18),Total,d10-Phenanthrene,NA,89.5,ng/L
L03-418-8,Total,d10-Phenanthrene,NA,76,ng/L
K01-12177-1 (K01P07),Total,d10-Phenanthrene,NA,88.5,ng/L
J03-9221-1 (J03P02),Total,d10-Phenanthrene,NA,81,ng/L
J01-9224-1 (J01P24),Total,d10-Phenanthrene,NA,82,ng/L
J01-9224-2 (J01P25),Total,d10-Phenanthrene,NA,61.5,ng/L
L03-662-3 (L03P16),Total,d10-Phenanthrene,NA,93,ng/L
L03-214-2 (L03P18),Total,d10-Phenanthrene,NA,90.5,ng/L
L03-316-3 (L03P12),Total,d10-Phenanthrene,NA,87.5,ng/L
J01-9992-1 (J01P27),Total,d10-Phenanthrene,NA,118.5,ng/L
J01-9131-1 (J01P28),Total,d10-Phenanthrene,NA,118.5,ng/L
J01-9007-1 (J02P05),Total,d10-Phenanthrene,NA,114.5,ng/L
J06-10011-1 (J06P01),Total,d10-Phenanthrene,NA,95.5,ng/L
J06-9079-1 (J06P03),Total,d10-Phenanthrene,NA,94.5,ng/L
J01-9082-2,Total,d10-Phenanthrene,NA,95,ng/L
I01-11010-1,Total,d10-Phenanthrene,NA,81,ng/L
I00-11468-1,Total,d10-Phenanthrene,NA,76,ng/L
J01-10004-1 (J01P01),Total,d10-Phenanthrene,NA,93,ng/L
