Station,median_all,average_all,sd_all
J01-10004-1 (J01P01),0.083,0.18965543071161048,1.3133539574949948
J01-10017-1 (J01TBN4),0,0.03522972972972973,0.4076115112998456
J01-10019-1 (J01P33),0.017,0.017957236842105262,0.008987054143307683
J01-9005-1 (J03P05),0.012,0.012102167182662538,0.004903297307045528
J01-9005-3,0.803,0.8863111111111112,0.5661411573989389
J01-9007-1 (J02P05),0.032,0.03390092879256966,0.014724259540311074
J01-9008-1 (J01P30),0.05,0.1246113537117904,0.22657418531129098
J01-9046-1,0.002,0.002482200647249191,0.001325513994351006
J01-9046-2,0.006,1.491722408026756,4.25134741213386
J01-9066-1 (J01P04),0,0.6895943060498221,4.154112483754111
J01-9066-2 (J01P03),0.195,0.9284466019417476,6.072333795335782
J01-9082-2,0.033,0.03667192429022082,0.01914153480862214
J01-9082-3,0.001,0.0010251572327044025,0.0012069707396482657
J01-9082-4,0.016,0.01787378640776699,0.0191914548819702
J01-9131-1 (J01P28),0.016,0.01873374613003096,0.018775322624382133
J01-9144-1 (J01P23),0.005,0.008126934984520124,0.01800515761733155
J01-9224-1 (J01P24),0.005,0.009563467492260062,0.012568254512044623
J01-9273-1,0,0.03923762376237624,0.40011754436445557
J01-9377-1,0.007,0.04575257731958763,0.16052463755005303
J01-9992-1 (J01P27),0.008,0.027326829268292684,0.06750530489099794
J03-9215-3,0.043,0.04407643312101911,0.012941767536976389
J03-9234-6,0.031,0.04194099378881987,0.1422550677325153
J03-9368-1 (J03TBN1),0,0.001125984251968504,0.009412792679299084
J06-10011-1 (J06P01),0.001,0.015899022801302932,0.18088399371433753
J06-9079-1 (J06P03),0.025,0.02613061224489796,0.010664369281143801
J07-9109-4 (J07P02),0.003,0.00460236220472441,0.006242414711752704
J07-9110-2,0.001,0.001,0
J07-9110-3,0,0.0012880258899676375,0.022413568891207086
