Station,median_all,average_all,sd_all,,,,Station,median_dry,average_dry,sd_dry,,Station,median_wet,average_wet,sd_wet
J01-10004-1 (J01P01),0.083,0.189655431,1.313353957,,,,J01-10004-1 (J01P01),0.116,0.310075188,1.856359837,,J01-10004-1 (J01P01),0.063,0.070180451,0.027339015
J01-10017-1 (J01TBN4),0,0.03522973,0.407611511,,,,J01-10017-1 (J01TBN4),0.001,0.00192126,0.006440948,,J01-10017-1 (J01TBN4),0,0.2485,1.108972426
J01-10019-1 (J01P33),0.017,0.017957237,0.008987054,,,,J01-10019-1 (J01P33),0.014,0.015354037,0.010186639,,J01-10019-1 (J01P33),0.021,0.020888112,0.006251878
J01-9005-1 (J03P05),0.012,0.012102167,0.004903297,,,,J01-9005-1 (J03P05),0.009,0.010296089,0.004864055,,J01-9005-1 (J03P05),0.014,0.014377622,0.003937548
J01-9005-3,0.803,0.886311111,0.566141157,,,,,,,,,J01-9005-3,0.803,0.886311111,0.566141157
J01-9007-1 (J02P05),0.032,0.033900929,0.01472426,,,,J01-9007-1 (J02P05),0.034,0.036396648,0.017267043,,J01-9007-1 (J02P05),0.029,0.03086014,0.00998633
J01-9008-1 (J01P30),0.05,0.124611354,0.226574185,,,,J01-9008-1 (J01P30),0.036,0.045850877,0.035571499,,J01-9008-1 (J01P30),0.083,0.202686957,0.298437609
J01-9046-1,0.002,0.002482201,0.001325514,,,,J01-9046-1,0.002,0.002531429,0.001038282,,J01-9046-1,0.002,0.002421053,0.00163397
J01-9046-2,0.006,1.491722408,4.251347412,,,,J01-9046-2,0.008,2.51552,5.325163715,,J01-9046-2,0.001,0.047178862,0.279869994
J01-9066-1 (J01P04),0,0.689594306,4.154112484,,,,J01-9066-1 (J01P04),0.002,1.078365714,5.228137535,,J01-9066-1 (J01P04),0,0.045333333,0.233366527
J01-9066-2 (J01P03),0.195,0.928446602,6.072333795,,,,J01-9066-2 (J01P03),0.256,0.8012,2.465449165,,J01-9066-2 (J01P03),0.116,1.098834586,8.830242077
J01-9082-2,0.033,0.036671924,0.019141535,,,,J01-9082-2,0.037,0.038566474,0.01487711,,J01-9082-2,0.028,0.03427972,0.023145104
J01-9082-3,0.001,0.001025157,0.001206971,,,,J01-9082-3,0,4.25E-04,5.92E-04,,J01-9082-3,0.002,0.001762238,0.001352921
J01-9082-4,0.016,0.017873786,0.019191455,,,,J01-9082-4,0.022,0.022982759,0.014993052,,J01-9082-4,0,0.011171642,0.021920405
J01-9131-1 (J01P28),0.016,0.018733746,0.018775323,,,,J01-9131-1 (J01P28),0.014,0.016463687,0.015171772,,J01-9131-1 (J01P28),0.018,0.021608392,0.02226759
J01-9144-1 (J01P23),0.005,0.008126935,0.018005158,,,,J01-9144-1 (J01P23),0.005,0.008620112,0.023031752,,J01-9144-1 (J01P23),0.006,0.007503497,0.008335292
J01-9224-1 (J01P24),0.005,0.009563467,0.012568255,,,,J01-9224-1 (J01P24),0.005,0.013184358,0.015703881,,J01-9224-1 (J01P24),0.004,0.005097902,0.003436168
J01-9273-1,0,0.039237624,0.400117544,,,,J01-9273-1,0,0.050822485,0.472382416,,J01-9273-1,0,0,0
J01-9377-1,0.007,0.045752577,0.160524638,,,,J01-9377-1,0.01,0.024291429,0.035665603,,J01-9377-1,0.002,0.077652174,0.248613631
J01-9992-1 (J01P27),0.008,0.027326829,0.067505305,,,,J01-9992-1 (J01P27),0.007,0.025482353,0.09286929,,J01-9992-1 (J01P27),0.01,0.028865546,0.041566961
J03-9215-3,0.043,0.044076433,0.012941768,,,,J03-9215-3,0.048,0.048273743,0.012973089,,J03-9215-3,0.038,0.038507463,0.010666331
J03-9234-6,0.031,0.041940994,0.142255068,,,,J03-9234-6,0.035,0.05003352,0.189251568,,J03-9234-6,0.027,0.031774648,0.02584992
J03-9368-1 (J03TBN1),0,0.001125984,0.009412793,,,,J03-9368-1 (J03TBN1),0,2.79E-04,0.002583475,,J03-9368-1 (J03TBN1),0,0.003189189,0.016873157
J06-10011-1 (J06P01),0.001,0.015899023,0.180883994,,,,J06-10011-1 (J06P01),0.001,0.001382857,0.001910871,,J06-10011-1 (J06P01),0,0.035412214,0.276299388
J06-9079-1 (J06P03),0.025,0.026130612,0.010664369,,,,J06-9079-1 (J06P03),0.024,0.025371429,0.011920922,,J06-9079-1 (J06P03),0.028,0.02815942,0.006168285
J07-9109-4 (J07P02),0.003,0.004602362,0.006242415,,,,J07-9109-4 (J07P02),0.003,0.004474286,0.006133399,,J07-9109-4 (J07P02),0.003,0.004923077,0.00654211
J07-9110-2,0.001,0.001,0,,,,,,,,,J07-9110-2,0.001,0.001,0
J07-9110-3,0,0.001288026,0.022413569,,,,J07-9110-3,0,1.14E-05,1.07E-04,,J07-9110-3,0,0.002977444,0.034163259
