Time,TRABUCO,SULPHURCREEK,ELTORO,PALISADES,LAGUNABEACH,DANAPOINT,TUCKER
and,11,11,11,11,11,11,11
Date,Point,Point,Point,Point,Point,Point,Point
7/25/2021 20:38,,,,,,0.01,
7/25/2021 20:40,,,,,,0.01,
7/25/2021 20:40,,,,,,0.01,
7/25/2021 20:42,,,,,,0.01,
7/25/2021 21:06,,,,,,,0.01
7/25/2021 21:12,,,,,,0.01,
7/25/2021 21:16,,,,,,0.01,
7/25/2021 22:00,,,,,0.01,,
7/25/2021 23:56,,,,,0.01,,
7/26/2021 0:44,,,0.01,,,,
7/26/2021 1:30,,0.01,,,,,
7/26/2021 5:52,,,,0.01,,,
7/26/2021 6:03,,,,,,0.01,
7/26/2021 6:06,,,,0.01,,,
7/26/2021 6:11,,,,,,0.01,
7/26/2021 6:13,,,,0.01,,,
7/26/2021 6:28,,,,,,0.01,
7/26/2021 6:32,,,,,,,0.01
7/26/2021 6:33,0.01,,,,,,
7/26/2021 6:35,,,,0.01,,,
7/26/2021 6:37,0.01,,,,,,
7/26/2021 6:39,,,,,,,0.01
7/26/2021 6:44,0.01,,,,,,
7/26/2021 6:52,,,,0.01,,,
7/26/2021 6:53,0.01,,,,,,
7/26/2021 6:56,,,,,,,0.01
7/26/2021 6:57,,,0.01,,,,
7/26/2021 7:02,,0.01,,,,,
7/26/2021 7:03,,,0.01,,,,
7/26/2021 7:03,,,,0.01,,,
7/26/2021 7:04,,,,,,0.01,
7/26/2021 7:06,,,,,0.01,,
7/26/2021 7:07,,,0.01,,,,
7/26/2021 7:09,,,,,,0.01,
7/26/2021 7:10,0.01,,,,,,
7/26/2021 7:13,,,0.01,,,,
7/26/2021 7:22,,,,,,0.01,
7/26/2021 7:26,,,0.01,,,,
7/26/2021 7:28,,,,0.01,,,
7/26/2021 7:32,,,,,,,0.01
7/26/2021 7:36,,0.01,,,,,
7/26/2021 7:44,,,,,0.01,,
7/26/2021 7:59,0.01,,,,,,
8/3/2021 5:28,,,,0.01,,,
8/3/2021 15:33,,,,0.01,,,
8/3/2021 15:33,,,,0.02,,,
8/3/2021 15:33,,,,0.01,,,
8/3/2021 15:33,,,,0.01,,,
8/12/2021 0:00,,,0,,,,
8/18/2021 0:00,,,,0,,,
8/18/2021 9:54,,,,,,0.01,
8/18/2021 9:55,,,,,,0.01,
8/18/2021 9:59,,,,,,0.01,
8/18/2021 10:10,,,,,,0.01,
8/18/2021 18:46,,,0.01,,,,
8/18/2021 19:16,,,,,,,0.01
8/18/2021 21:23,,,,,,,0.01
8/21/2021 3:07,,,0.01,,,,
8/21/2021 4:42,0.01,,,,,,
8/21/2021 4:57,0.01,,,,,,
8/21/2021 5:04,,,,0.01,,,
8/21/2021 5:11,,,,,,,0.01
8/21/2021 5:12,,,0.01,,,,
8/21/2021 5:37,0.01,,,,,,
8/21/2021 6:12,,,,,,,0.01
8/21/2021 6:21,0.01,,,,,,
8/21/2021 6:22,,,,0.01,,,
8/21/2021 6:32,,,,,,0.01,
8/21/2021 6:51,,,,,,0.01,
8/21/2021 6:55,,,,0.01,,,
8/21/2021 7:01,,,,,,0.01,
8/21/2021 7:15,,,,0.01,,,
8/21/2021 7:15,0.01,,,,,,
8/21/2021 7:30,,,,,0.01,,
8/21/2021 7:32,,,,,,,0.01
8/21/2021 7:39,,,,0.01,,,
8/21/2021 7:39,,,,,0.01,,
8/21/2021 7:57,,0.01,,,,,
8/21/2021 8:02,,,,,0.01,,
8/21/2021 8:19,,,,,0.01,,
8/21/2021 8:26,,,,,,,0.01
8/21/2021 8:38,,,,,,,0.01
8/21/2021 8:45,,0.01,,,,,
8/21/2021 9:06,,,,,,,0.01
8/21/2021 9:26,,,,0.01,,,
8/21/2021 9:35,0.01,,,,,,
8/21/2021 10:07,,,,,,,0.01
8/21/2021 10:22,,,,,,,0.01
8/21/2021 10:44,,,,,,,0.01
8/21/2021 10:49,0.01,,,,,,
8/21/2021 11:17,,,,,,,0.01
8/21/2021 11:24,,,,,,,0.01
8/21/2021 11:37,0.01,,,,,,
8/21/2021 11:58,,,,,,,0.01
8/21/2021 12:45,,,,,,,0.01
8/21/2021 13:10,,,,,,,0.01
8/21/2021 13:43,,,,,,,0.01
8/21/2021 14:00,0.01,,,,,,
8/21/2021 14:47,,,,,,,0.01
8/27/2021 3:51,,,,,,0.01,
8/27/2021 14:41,,,,,,0.01,
8/27/2021 14:41,,,,,,0.04,
8/27/2021 14:41,,,,,,0.01,
8/31/2021 8:19,,,,0.01,,,
8/31/2021 23:19,,,,,,,0.01
9/1/2021 1:39,,,,0.01,,,
9/1/2021 1:52,,,,,,,0.01
9/1/2021 12:18,0.01,,,,,,
9/3/2021 12:18,,,,,,,0.01
9/3/2021 12:33,,,,,,,0.01
9/3/2021 13:35,,,,,,,0.01
9/3/2021 14:23,,,,,,,0.01
9/9/2021 21:05,,0.01,,,,,
9/9/2021 21:13,,0.01,,,,,
9/9/2021 21:17,,0.01,,,,,
9/9/2021 22:18,,,,,,0.01,
9/9/2021 22:19,,,,,,0.01,
9/9/2021 22:19,,,,,,0.01,
9/9/2021 22:21,,,,,,0.01,
9/9/2021 22:22,,,,0.01,,,
9/9/2021 22:24,,,,,,0.01,
9/9/2021 22:25,,,,,,0.01,
9/9/2021 22:26,,,,0.01,,,
9/9/2021 22:26,,,,,,0.01,
9/9/2021 22:28,,,,,,0.01,
9/9/2021 22:29,,,,,,0.01,
9/9/2021 22:29,,,,,,0.01,
9/9/2021 22:30,,,,,,0.01,
9/9/2021 22:31,,,,,,0.01,
9/9/2021 22:32,,,,,,0.01,
9/9/2021 22:34,,,,,,0.01,
9/9/2021 22:37,,,,,,0.01,
9/9/2021 23:06,,,,,0.01,,
9/10/2021 1:01,,,,0.01,,,
9/16/2021 18:15,,,,,,0.01,
9/17/2021 1:41,,,,,,0.01,
9/17/2021 1:41,,,,,,0.02,
9/17/2021 1:41,,,,,,0.02,
9/17/2021 1:41,,,,,,0.04,
9/17/2021 1:41,,,,,,0.03,
9/17/2021 1:41,,,,,,0.01,
9/24/2021 14:10,,,,,,,0.01
9/24/2021 14:10,,,,,,,0.01
9/24/2021 14:10,,,,,,,0.01
9/24/2021 14:11,,,,,,,0.01
9/24/2021 14:12,,,,,,,0.01
9/24/2021 14:13,,,,,,,0.01
9/24/2021 14:14,,,,,,,0.01
9/24/2021 14:15,,,,,,,0.01
9/24/2021 14:17,,,,,,,0.01
9/24/2021 14:18,,,,,,,0.01
9/24/2021 14:28,,,,,,,0.01
9/24/2021 14:33,,0.01,,,,,
9/24/2021 14:34,,0.01,,,,,
9/24/2021 14:35,,0.01,,,,,
9/24/2021 14:36,0.01,,,,,,
9/24/2021 14:36,,0.01,,,,,
9/24/2021 14:36,0.01,,,,,,
9/24/2021 14:37,0.01,,,,,,
9/24/2021 14:46,,,0.01,,,,
9/24/2021 14:49,,0.01,,,,,
9/24/2021 14:49,,,0.01,,,,
9/24/2021 14:54,,,,,0.01,,
9/24/2021 14:55,,,,,0.01,,
9/24/2021 14:56,,,,,0.01,,
9/24/2021 14:59,,,,,0.01,,
9/24/2021 15:00,,0.01,,,,,
9/24/2021 15:11,,,,,,0.01,
9/24/2021 15:13,0.01,,,,,,
9/24/2021 15:15,,,,,0.01,,
9/26/2021 6:48,,,0.01,,,,
9/27/2021 8:34,0.01,,,,,,
9/27/2021 9:12,0.01,,,,,,
9/27/2021 16:09,0.01,,,,,,
9/27/2021 16:51,,,,,,,0.01
9/27/2021 17:08,0.01,,,,,,
9/27/2021 17:15,,,,,,,0.01
9/27/2021 18:00,0.01,,,,,,
9/27/2021 18:33,0.01,,,,,,
9/27/2021 18:34,,,,,,,0.01
9/27/2021 19:34,0.01,,,,,,
9/27/2021 20:04,0.01,,,,,,
9/27/2021 20:14,,,,,,,0.01
