,Program,Entry.Set,LogNumber,Station,Date,QA.Type,Sample.Type,Type,MatrixCode,SampleDepth,Filtered,Analysis,Parameter,Qualifier,Result,Units,Result.Type,Composite.Begin,Composite.End,Num.Sample,Status,QAFlagGen,Watershed
97,SDRWETODM,1978,1978001,J01-9992-1,10/8/2021 9:53,NA,Grab,ST,FW,S,Total,ECO,E. coli,,17000,CFU/100ml,Chem,,,NA,4,NA,NA
98,SDRWETODM,1978,1978001,J01-9992-1,10/8/2021 9:53,NA,Grab,ST,FW,S,Total,BactiMF,Enterococcus,,107000,CFU/100ml,Chem,,,NA,4,NA,NA
99,SDRWETODM,1978,1978001,J01-9992-1,10/8/2021 9:53,NA,Grab,ST,FW,S,Total,BactiMF,Total Coliform,>=,135000,CFU/100ml,Chem,,,NA,4,NA,NA
100,SDRWETODM,1978,1978001,J01-9992-1,10/8/2021 9:53,NA,Grab,ST,FW,S,Total,BactiMF,Fecal coliforms,>=,23000,CFU/100ml,Chem,,,NA,4,NA,NA
105,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,Cl,Chloride,,58,mg/L,Chem,,,NA,4,NA,NA
106,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,Mn,Manganese,NA,25,ug/L,Chem,,,NA,4,NA,NA
107,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,DOC,DOC,NA,13,mg/l,Chem,,,NA,4,NA,NA
108,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,pH,H,6.35,S.U.,Chem,,,NA,4,NA,NA
109,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,Turbidity,H,13,NTU,Chem,,,NA,4,NA,NA
110,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,Temperature,H,17.6,°C,Chem,,,NA,4,NA,NA
111,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,Ammonia as N,,0.93,mg/L,Chem,,,NA,4,NA,NA
112,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,Phosphorus as PO4,,2,mg/L,Chem,,,NA,4,NA,NA
113,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,Orthophosphate as P,H,0.31,mg/L,Chem,,,NA,4,NA,NA
114,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,Specific Conductivity,,650,umhos/cm,Chem,,,NA,4,NA,NA
115,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,Total Suspended Solids,,22,mg/L,Chem,,,NA,4,NA,NA
116,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,Total Kjeldahl Nitrogen,,3,mg/L,Chem,,,NA,4,NA,NA
117,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,Nitrate+Nitrite Nitrogen,,2,mg/L,Chem,,,NA,4,NA,NA
118,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,NUT,Volatile Suspended Solids,,8.3,mg/L,Chem,,,NA,4,NA,NA
119,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,Mirex,<,5,ng/L,Chem,,,NA,4,NA,NA
120,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,(TCMX),,46,% Recovery,Chem,,,NA,4,NA,NA
121,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,Aldrin,<,5,ng/L,Chem,,,NA,4,NA,NA
122,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,Endrin,<,5,ng/L,Chem,,,NA,4,NA,NA
123,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,"2,4-DDD",<,2,ng/L,Chem,,,NA,4,NA,NA
124,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,"2,4-DDE",<,2,ng/L,Chem,,,NA,4,NA,NA
125,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,"2,4-DDT",<,2,ng/L,Chem,,,NA,4,NA,NA
126,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,"4,4-DDD",<,2,ng/L,Chem,,,NA,4,NA,NA
127,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,"4,4-DDE",<,2,ng/L,Chem,,,NA,4,NA,NA
128,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,"4,4-DDT",<,2,ng/L,Chem,,,NA,4,NA,NA
129,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,(PCB030),,49,% Recovery,Chem,,,NA,4,NA,NA
130,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,(PCB112),,58,% Recovery,Chem,,,NA,4,NA,NA
131,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,(PCB198),,85,% Recovery,Chem,,,NA,4,NA,NA
132,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,Dieldrin,<,2,ng/L,Chem,,,NA,4,NA,NA
133,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,beta BHC,<,5,ng/L,Chem,,,NA,4,NA,NA
134,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,Toxaphene,<,25,ng/L,Chem,,,NA,4,NA,NA
135,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,alpha BHC,<,5,ng/L,Chem,,,NA,4,NA,NA
136,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,delta BHC,<,5,ng/L,Chem,,,NA,4,NA,NA
137,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,gamma BHC,<,5,ng/L,Chem,,,NA,4,NA,NA
138,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,Heptachlor,<,5,ng/L,Chem,,,NA,4,NA,NA
139,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,Endosulfan I,<,5,ng/L,Chem,,,NA,4,NA,NA
140,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,Methoxychlor,<,5,ng/L,Chem,,,NA,4,NA,NA
141,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,Endosulfan II,<,5,ng/L,Chem,,,NA,4,NA,NA
142,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,Endrin aldehyde,<,5,ng/L,Chem,,,NA,4,NA,NA
143,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,alpha Chlordane,<,2,ng/L,Chem,,,NA,4,NA,NA
144,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,gamma Chlordane,<,2,ng/L,Chem,,,NA,4,NA,NA
145,SDRWETODM,1979,1979002,J01-9992-1,10/8/2021 11:53,NA,Composite,ST,FW,S,Total,OCP,trans-Nonachlor,<,2,ng/L,Chem,,,NA,4,NA,NA
