"jurisdicti","EMC_Group","RC","EMC_Group_Area","Area_Rainfall","Juris_LU_Volume","Stormwater Volume (acre-ft)","Constituent","Fraction","Units","EMC_WMA_LU","LU_Load","PL_M"
"ALISO VIEJO","agriculture",0.222,12.713845295428296,6.7,1.5758811243683373,909.9516478678008,"Copper, Total","Dissolved","mg/L",0.007195275858728533,0.011338899410393474,0.0308345972476853
"ALISO VIEJO","agriculture",0.222,12.713845295428296,6.7,1.5758811243683373,909.9516478678008,"Copper, Total","Total","mg/L",0.043760403860667124,0.06896119443876063,0.18753060409808422
"ALISO VIEJO","agriculture",0.222,12.713845295428296,6.7,1.5758811243683373,909.9516478678008,"Fecal coliforms","Total","CFU/100 mL",256.0234041671853,403.4624500235932,4976636097.259072
"ALISO VIEJO","agriculture",0.222,12.713845295428296,6.7,1.5758811243683373,909.9516478678008,"Lead, Total","Total","mg/L",0.002138367614392031,0.003369813160480953,0.009163749306051388
"ALISO VIEJO","agriculture",0.222,12.713845295428296,6.7,1.5758811243683373,909.9516478678008,"TN","Total","mg/L",24.552987232229672,38.69258912612752,105.2192420968755
"ALISO VIEJO","agriculture",0.222,12.713845295428296,6.7,1.5758811243683373,909.9516478678008,"TP","Total","mg/L",2.87445800292234,4.5298041095948225,12.318187178046339
"ALISO VIEJO","agriculture",0.222,12.713845295428296,6.7,1.5758811243683373,909.9516478678008,"TSS","Total","mg/L",740.1407860602474,1166.3738941274876,3171.7954242251626
"ALISO VIEJO","agriculture",0.222,12.713845295428296,6.7,1.5758811243683373,909.9516478678008,"Zinc, Total","Dissolved","mg/L",0.00620536231337152,0.009778913339508819,0.026592426957009953
"ALISO VIEJO","agriculture",0.222,12.713845295428296,6.7,1.5758811243683373,909.9516478678008,"Zinc, Total","Total","mg/L",0.10037463940221603,0.1581784995992306,0.43014495074493087
"ALISO VIEJO","business",0.414,67.45681443990236,6.7,15.59264265778343,909.9516478678008,"Copper, Total","Dissolved","mg/L",0.010032365405752707,0.15643108878421041,0.4253931043128152
"ALISO VIEJO","business",0.414,67.45681443990236,6.7,15.59264265778343,909.9516478678008,"Copper, Total","Total","mg/L",0.029394369947765984,0.45833590674620317,1.2463822613786997
"ALISO VIEJO","business",0.414,67.45681443990236,6.7,15.59264265778343,909.9516478678008,"Fecal coliforms","Total","CFU/100 mL",19328.235873402406,301378.2751793143,3717446327655.391
"ALISO VIEJO","business",0.414,67.45681443990236,6.7,15.59264265778343,909.9516478678008,"Lead, Total","Total","mg/L",0.003914557566172833,0.0610382972926554,0.16598536115227766
"ALISO VIEJO","business",0.414,67.45681443990236,6.7,15.59264265778343,909.9516478678008,"TN","Total","mg/L",5.187196465843142,80.88210088760923,219.9478904566397
"ALISO VIEJO","business",0.414,67.45681443990236,6.7,15.59264265778343,909.9516478678008,"TP","Total","mg/L",0.49933870499831046,7.786009992238991,21.17299691864994
"ALISO VIEJO","business",0.414,67.45681443990236,6.7,15.59264265778343,909.9516478678008,"TSS","Total","mg/L",77.68355320177191,1211.2918854621373,3293.943802286388
