"jurisdicti","EMC_Group","RC","EMC_Group_Area","Area_Rainfall","Juris_LU_Volume"
"ALISO VIEJO","agriculture",0.222,12.713845295428296,6.7,1.5758811243683373
"ALISO VIEJO","business",0.414,67.45681443990236,6.7,15.59264265778343
"ALISO VIEJO","business",0.422,203.84030133874364,6.7,48.02817233376364
"ALISO VIEJO","business",0.486,515.2237748248427,6.7,139.8059712987211
"ALISO VIEJO","developed open space",0.217,965.3937189078367,6.7,116.965493993342
"ALISO VIEJO","highway/arterial",0.45,222.66752750617496,6.7,55.94521628592646
"ALISO VIEJO","multi-family",0.485,795.0498647189866,6.7,215.29287795036223
"ALISO VIEJO","open space",0.078,274.59559094128105,6.7,11.958637985492791
"ALISO VIEJO","single family",0.405,589.1525823100146,6.7,133.22212767485206
"ALISO VIEJO","surface street",0.471,652.3989982438969,6.7,171.5646265631888
"DANA POINT","agriculture",0.222,31.27477386830112,6.7,3.876508220975924
"DANA POINT","business",0.414,30.868449558783,6.7,7.13524211551269
"DANA POINT","business",0.422,62.57923053946657,6.7,14.744709702273981
"DANA POINT","business",0.486,356.9595247509444,6.7,96.86096704116876
"DANA POINT","developed open space",0.217,812.3868306572933,6.7,98.42743442438658
"DANA POINT","highway/arterial",0.45,52.36644150676027,6.7,13.157068428573517
"DANA POINT","multi-family",0.485,427.3359009687976,6.7,115.71900084984232
"DANA POINT","open space",0.078,136.1628092608208,6.7,5.929890343308746
"DANA POINT","single family",0.405,1438.7518159334993,6.7,325.3377543779626
"DANA POINT","surface street",0.471,701.1575647210418,6.7,184.38691058251595
"DANA POINT","water",0.797,21.733286051488772,6.7,9.671131182195408
"IRVINE","agriculture",0.222,1.753809622229611,6.7,0.21738470267536028
"IRVINE","developed open space",0.217,5.463935074238547,6.7,0.6620012670362854
"IRVINE","highway/arterial",0.45,41.808437818076314,6.7,10.504370001791674
"IRVINE","open space",0.078,47.015479306227,6.7,2.047524123786186
"IRVINE","single family",0.405,0.00995174989807072,6.7,0.0022503394457012416
"LAGUNA BEACH","agriculture",0.222,162.94633459290824,6.7,20.19719817279098
"LAGUNA BEACH","business",0.414,22.089434616369793,6.7,5.105972811573877
"LAGUNA BEACH","business",0.422,54.680814564051886,6.7,12.883711258200025
"LAGUNA BEACH","business",0.486,226.96410478445577,6.7,61.58670983326207
