Entry.Set,Station,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Stormflow Volume -cf,d10-Acenaphthene - ng/L,d10-Phenanthrene - ng/L,d12-Chrysene - ng/L,d12-Perylene - ng/L,d8-Naphthalene - ng/L,PCB030 - ng/L,PCB112 - ng/L,PCB198 - ng/L,TCMX - ng/L,"2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L",Acenaphthene - ng/L,Acenaphthylene - ng/L,Aldrin - ng/L,Anthracene - ng/L,Azinphos Methyl - ng/L,Benz[a]anthracene - ng/L,Benzo[a]pyrene - ng/L,Benzo[b]fluoranthene - ng/L,"Benzo[g,h,i]perylene - ng/L",Benzo[k]fluoranthene - ng/L,BHC-alpha - ng/L,BHC-beta - ng/L,BHC-delta - ng/L,BHC-gamma - ng/L,Biphenyl - ng/L,Bolstar (Sulprofos) - ng/L,Chlordane-alpha - ng/L,Chlordane-gamma - ng/L,Chlorpyrifos - ng/L,Chrysene - ng/L,Demeton - ng/L,Diazinon - ng/L,"Dibenz[a,h]anthracene - ng/L",Dibenzothiophene - ng/L,Dichlorvos - ng/L,Dieldrin - ng/L,Dimethoate - ng/L,Disulfoton - ng/L,Endosulfan-I - ng/L,Endosulfan-II - ng/L,Endosulfan Sulfate - ng/L,Endrin - ng/L,Endrin Aldehyde - ng/L,Ethoprop (Ethoprofos) - ng/L,Ethyl Parathion - ng/L,Fenchlorphos (Ronnel) - ng/L,Fensulfothion - ng/L,Fenthion - ng/L,Fluoranthene - ng/L,Fluorene - ng/L,Heptachlor - ng/L,Heptachlor Epoxide - ng/L,"Indeno[1,2,3-cd]pyrene - ng/L",Malathion - ng/L,Merphos - ng/L,Methoxychlor - ng/L,Methyl Parathion - ng/L,Mevinphos (Phosdrin) - ng/L,Mirex - ng/L,Naphthalene - ng/L,Phenanthrene - ng/L,Phorate - ng/L,Pyrene - ng/L,Tetrachlorvinphos (Stirofos) - ng/L,Tokuthion (Prothiofos) - ng/L,Toxaphene - ng/L,trans-Nonachlor - ng/L,Trichloronate - ng/L,"Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L",Dissolved Organic Carbon - mg/L,"Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L",MBAS - mg/L,"Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L",Total Organic Carbon (TOC) - mg/L,"Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L",Chloride - mg/L,Nitrate + Nitrite as N - mg/L,"Nitrogen, Total Kjeldahl - mg/L",Orthophosphate as P - mg/L,pH,Phosphorus as PO4 - mg/L,SpecificConductivity,Sulfate - mg/L,Temperature,Total Dissolved Solids - mg/L,VSS - mg/L,TSS - mg/L,Turbidity - NTU,Enterococcus - CFU/100 mL,E. coli - CFU/100 mL,Fecal coliforms - CFU/100 mL,Total Coliforms - CFU/100 mL,Field Specific Conductivity,Field Dissolved Oxygen,Field pH,Field Temperature,Field Turbidity - NTU,TN - mg/L,GlobalID_tribarea,area_acres,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,LOCDESC,OBJECTID_hydstra,station,Rain_Gage_Total,Composite Begin,Composite End,Rain_Event_Total,RC_Actual,RC_M,RC_CF,RC_Group,LSPC_LU_DESC,RC_WMA,RC_WMAcf,Stormwater Volume (acre-ft)_RC_M,Stormwater Volume (acre-ft)_RC_Actual,Stormwater Volume (acre-ft)_RC_WMAcf
2223,I01-11021-1,3/29/2022 8:50,2223001,Total,Grab,03/29/2022 08:50,03/29/2022 08:50,1.6199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4900,820,>=940,>=340000,NA,NA,NA,NA,NA,NA,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,5.84,2022-03-29,2022-03-29,3.63,8.182895528718129e-6,0.46548409472929275,1.7579323593165903e-5,Commercial,COMM,0.48599999999999993,NA,3.4035427115773853,5.983197868998018e-5,NA
2223,I01-11021-1,3/29/2022 8:50,2223001,Total,Grab,03/29/2022 08:50,03/29/2022 08:50,1.6199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4900,820,>=940,>=340000,NA,NA,NA,NA,NA,NA,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,5.84,2022-03-29,2022-03-29,3.63,8.182895528718129e-6,0.46548409472929275,1.7579323593165903e-5,Multi-family Residential,RESMF,0.48500000000000004,NA,3.4035427115773853,5.983197868998018e-5,NA
2223,I01-11021-1,3/29/2022 8:50,2223001,Total,Grab,03/29/2022 08:50,03/29/2022 08:50,1.6199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4900,820,>=940,>=340000,NA,NA,NA,NA,NA,NA,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,5.84,2022-03-29,2022-03-29,3.63,8.182895528718129e-6,0.46548409472929275,1.7579323593165903e-5,Single Family Residential,RESSFH,0.405,NA,3.4035427115773853,5.983197868998018e-5,NA
2223,I01-11021-1,3/29/2022 8:50,2223001,Total,Grab,03/29/2022 08:50,03/29/2022 08:50,1.6199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4900,820,>=940,>=340000,NA,NA,NA,NA,NA,NA,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,5.84,2022-03-29,2022-03-29,3.63,8.182895528718129e-6,0.46548409472929275,1.7579323593165903e-5,Streets and Roads,TRANS,0.471,NA,3.4035427115773853,5.983197868998018e-5,NA
2223,I01-11021-1,3/29/2022 8:50,2223002,Total,Grab,03/29/2022 08:50,03/29/2022 08:50,235356.00000000003,115,123,108,NA,95,45,44,63,40,<2,<2,<2,<2,<2,<2,<5,J1.23,<5,J1.09,NA,<5,<5,<5,6.7,<5,<5,<5,<5,<5,NA,<4,<2,<2,<1,8.24,<2,<1,<5,NA,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,NA,<4,<2,<4,29,J1.55,<5,<5,<5,<5,<2,<5,<2,<10,<5,15.6,9.84,<10,31,<4,<6,<25,<2,<2,1.8,<0.2,148,1.3,26,10,719,160,0.89,85.1,20,3.6,<0.05,2.7,7.1,<0.2,<0.2,13,60,0.36,640,1.4,1.4,0.28000000000000003,H7.69,1.3,3100,430,H22.4,2100,<6.7,9.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,5.84,2022-03-29,2022-03-29,3.63,1.1888231852203608,0.46548409472929275,2.5539501750575035,Commercial,COMM,0.48599999999999993,NA,3.4035427115773853,8.692478504048754,NA
2223,I01-11021-1,3/29/2022 8:50,2223002,Total,Grab,03/29/2022 08:50,03/29/2022 08:50,235356.00000000003,115,123,108,NA,95,45,44,63,40,<2,<2,<2,<2,<2,<2,<5,J1.23,<5,J1.09,NA,<5,<5,<5,6.7,<5,<5,<5,<5,<5,NA,<4,<2,<2,<1,8.24,<2,<1,<5,NA,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,NA,<4,<2,<4,29,J1.55,<5,<5,<5,<5,<2,<5,<2,<10,<5,15.6,9.84,<10,31,<4,<6,<25,<2,<2,1.8,<0.2,148,1.3,26,10,719,160,0.89,85.1,20,3.6,<0.05,2.7,7.1,<0.2,<0.2,13,60,0.36,640,1.4,1.4,0.28000000000000003,H7.69,1.3,3100,430,H22.4,2100,<6.7,9.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,5.84,2022-03-29,2022-03-29,3.63,1.1888231852203608,0.46548409472929275,2.5539501750575035,Multi-family Residential,RESMF,0.48500000000000004,NA,3.4035427115773853,8.692478504048754,NA
2223,I01-11021-1,3/29/2022 8:50,2223002,Total,Grab,03/29/2022 08:50,03/29/2022 08:50,235356.00000000003,115,123,108,NA,95,45,44,63,40,<2,<2,<2,<2,<2,<2,<5,J1.23,<5,J1.09,NA,<5,<5,<5,6.7,<5,<5,<5,<5,<5,NA,<4,<2,<2,<1,8.24,<2,<1,<5,NA,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,NA,<4,<2,<4,29,J1.55,<5,<5,<5,<5,<2,<5,<2,<10,<5,15.6,9.84,<10,31,<4,<6,<25,<2,<2,1.8,<0.2,148,1.3,26,10,719,160,0.89,85.1,20,3.6,<0.05,2.7,7.1,<0.2,<0.2,13,60,0.36,640,1.4,1.4,0.28000000000000003,H7.69,1.3,3100,430,H22.4,2100,<6.7,9.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,5.84,2022-03-29,2022-03-29,3.63,1.1888231852203608,0.46548409472929275,2.5539501750575035,Single Family Residential,RESSFH,0.405,NA,3.4035427115773853,8.692478504048754,NA
2223,I01-11021-1,3/29/2022 8:50,2223002,Total,Grab,03/29/2022 08:50,03/29/2022 08:50,235356.00000000003,115,123,108,NA,95,45,44,63,40,<2,<2,<2,<2,<2,<2,<5,J1.23,<5,J1.09,NA,<5,<5,<5,6.7,<5,<5,<5,<5,<5,NA,<4,<2,<2,<1,8.24,<2,<1,<5,NA,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,NA,<4,<2,<4,29,J1.55,<5,<5,<5,<5,<2,<5,<2,<10,<5,15.6,9.84,<10,31,<4,<6,<25,<2,<2,1.8,<0.2,148,1.3,26,10,719,160,0.89,85.1,20,3.6,<0.05,2.7,7.1,<0.2,<0.2,13,60,0.36,640,1.4,1.4,0.28000000000000003,H7.69,1.3,3100,430,H22.4,2100,<6.7,9.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,5.84,2022-03-29,2022-03-29,3.63,1.1888231852203608,0.46548409472929275,2.5539501750575035,Streets and Roads,TRANS,0.471,NA,3.4035427115773853,8.692478504048754,NA
2223,I01-11021-1,3/29/2022 8:50,2223003,Dissolved,Grab,03/29/2022 08:50,03/29/2022 08:50,235356.00000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,<0.2,NA,0.87,22,NA,NA,<20,0.47,NA,17,NA,<0.05,2.6,7.4,<0.2,<0.2,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,5.84,2022-03-29,2022-03-29,3.63,1.1888231852203608,0.46548409472929275,2.5539501750575035,Commercial,COMM,0.48599999999999993,NA,3.4035427115773853,8.692478504048754,NA
2223,I01-11021-1,3/29/2022 8:50,2223003,Dissolved,Grab,03/29/2022 08:50,03/29/2022 08:50,235356.00000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,<0.2,NA,0.87,22,NA,NA,<20,0.47,NA,17,NA,<0.05,2.6,7.4,<0.2,<0.2,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,5.84,2022-03-29,2022-03-29,3.63,1.1888231852203608,0.46548409472929275,2.5539501750575035,Multi-family Residential,RESMF,0.48500000000000004,NA,3.4035427115773853,8.692478504048754,NA
