jurisdicti,acres_juris_soc,acres_juris_total,acres_aliso,acres_dana_point,acres_laguna_coast,acres_san_clemente,acres_san_juan_creek,acres_san_mateo,acres_san_diego
ALISO VIEJO,4298.475848550746,4430.435138949828,3663.9894276518717,,634.503629406746,,,,4289.806463425991
DANA POINT,4071.5603518392572,4164.334638247638,,2446.5687810297936,,620.4183736749952,1004.5894989301682,,3993.828653046991
IRVINE,96.05123754093846,42220.14006786855,,,96.05162477727518,,,,56.42434881110104
LAGUNA BEACH,5632.041056195566,5653.443710528632,971.7494103307279,563.5595045462403,4096.754668831897,,,,5615.513849165013
LAGUNA HILLS,3498.3869598294223,4254.27731661454,2852.9152391986504,,,,645.4857271096846,,3498.33724841984
LAGUNA NIGUEL,9463.77397689814,9463.773978405856,5166.233889229518,3590.9074386276093,,,706.6705017232018,,9463.81183210848
LAGUNA WOODS,756.0075788948667,2115.917909875024,513.3091528337428,,242.70142047033733,,,,557.079981532816
LAKE FOREST,3303.943394927112,10742.178855563236,3303.9566352072093,,,,,,3141.3086937281255
MISSION VIEJO,11525.934391435894,11525.934387245423,2256.915216028361,,,,9269.065249145027,,11525.980495130802
NEWPORT BEACH,130.0087677517211,16513.35166864004,,,130.00928281708224,,,,91.39940984208451
ORANGE CO,94761.16101626148,175918.49462581915,3494.7570941810905,0.22882831899415448,7191.639850850329,838.3302200895699,72396.4312948328,10840.152575645077,93952.66977417756
RANCHO SANTA MARGARITA,8280.210526037783,8280.210527435187,9.234594680086767,,,,8271.00905324652,,8280.243646978224
SAN CLEMENTE,11739.016173821115,11739.037939947413,,,,10492.099021028927,2.098890097658844,1244.8651800994794,11736.146731055696
SAN JUAN CAPISTRANO,9220.309393249185,9220.309390041843,8.904885868091727,16.343089217959253,,690.3262725080534,8504.772041163025,,9220.346274596966
